TrueCount,Hit EV,Stand EV,Double EV,Hands Played
-54,0.000000,0.000000,0.000000,1
-51,-1.000000,0.000000,2.000000,1
-50,1.000000,0.000000,2.000000,1
-49,1.000000,0.000000,2.000000,1
-48,1.000000,0.000000,2.000000,2
-47,-1.000000,0.000000,0.000000,2
-46,0.500000,0.000000,0.000000,2
-45,1.000000,0.000000,-2.000000,1
-44,-0.333333,0.000000,-0.666667,3
-43,-0.500000,0.000000,-2.000000,4
-42,-0.166667,0.000000,0.333333,6
-41,0.400000,0.000000,-0.400000,10
-40,0.250000,0.000000,-1.250000,8
-39,0.421053,0.000000,-0.736842,19
-38,0.000000,0.000000,-1.142857,14
-37,-0.058824,0.000000,0.117647,17
-36,-0.090909,0.000000,0.363636,22
-35,0.040000,0.000000,-0.320000,25
-34,0.090909,0.000000,0.121212,33
-33,0.351852,0.000000,-0.148148,54
-32,0.000000,0.000000,-0.196721,61
-31,0.205479,0.000000,-0.136986,73
-30.5,-1.000000,0.000000,2.000000,1
-30,0.170455,0.000000,-0.113636,88
-29,-0.009259,0.000000,-0.407407,108
-28,-0.056911,0.000000,-0.406504,123
-27,0.156463,0.000000,-0.312925,147
-26.5,1.000000,0.000000,2.000000,1
-26,0.102857,0.000000,0.022857,175
-25.5,1.000000,0.000000,2.000000,1
-25,0.150235,0.000000,-0.056338,213
-24.5,-1.000000,0.000000,-2.000000,2
-24,0.157895,0.000000,-0.105263,285
-23.5,-0.285714,0.000000,-0.571429,7
-23,0.096875,0.000000,-0.012500,320
-22.5,0.363636,0.000000,0.000000,11
-22,0.047872,0.000000,-0.015957,376
-21.5,-0.100000,0.000000,0.100000,20
-21,0.110329,0.000000,-0.098592,426
-20.5,0.083333,0.000000,-0.416667,24
-20,0.177606,0.000000,-0.007722,518
-19.5,-0.022222,0.000000,0.044444,45
-19,0.143084,0.000000,-0.022258,629
-18.5,0.017241,0.000000,-0.103448,58
-18,0.082386,0.000000,-0.085227,704
-17.5,0.041667,0.000000,-0.291667,96
-17,0.093381,0.000000,-0.026005,846
-16.5,0.084615,0.000000,-0.123077,130
-16,0.085151,0.000000,-0.020768,963
-15.5,0.179825,0.000000,0.078947,228
-15,0.082051,0.000000,0.054701,1170
-14.5,-0.018462,0.000000,-0.227692,325
-14,0.118431,0.000000,-0.006275,1275
-13.5,0.119914,0.000000,-0.119914,467
-13,0.102119,0.000000,0.066795,1557
-12.5,0.113737,0.000000,0.109306,677
-12,0.109531,0.000000,0.016851,1899
-11.5,0.127682,0.000000,-0.025751,932
-11,0.106877,0.000000,-0.037670,2283
-10.5,0.170843,0.000000,-0.018223,1317
-10,0.150466,0.000000,0.052886,2685
-9.5,0.124929,0.000000,-0.018089,1769
-9,0.136966,0.000000,0.035521,3322
-8.5,0.084485,0.000000,-0.059140,2604
-8,0.150758,0.000000,0.016162,3960
-7.5,0.151549,0.000000,0.051912,3583
-7,0.123521,0.000000,0.065771,4987
-6.5,0.146740,0.000000,0.055998,4893
-6,0.149854,0.000000,0.060331,6166
-5.5,0.128476,0.000000,0.036578,6616
-5,0.145249,0.000000,0.064641,7766
-4.5,0.138880,0.000000,0.078628,8979
-4,0.169483,0.000000,0.095229,10060
-3.5,0.157868,0.000000,0.081764,11839
-3,0.145738,0.000000,0.091859,13586
-2.5,0.149474,0.000000,0.089370,15889
-2,0.148573,0.000000,0.103914,18496
-1.5,0.164425,0.000000,0.117685,21566
-1,0.167764,0.000000,0.134196,26126
-0.5,0.160900,0.000000,0.130333,28266
0,0.171774,0.000000,0.144340,31786
0.5,0.175432,0.000000,0.157691,42894
1,0.178600,0.000000,0.154941,43281
1.5,0.185551,0.000000,0.166499,30811
2,0.180800,0.000000,0.168067,30000
2.5,0.186513,0.000000,0.178594,23741
3,0.175038,0.000000,0.183061,21064
3.5,0.191864,0.000000,0.189051,17773
4,0.192774,0.000000,0.207889,15085
4.5,0.181481,0.000000,0.192619,13467
