UserValue,DealerValue,TrueCount,Hit EV,Stand EV,Double EV,Split EV,Surrender EV,Insurance Accept EV,Insurance Decline EV,Hands Played
9,2,-6,-0.500000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,4
9,2,-5,0.272727,0.000000,0.545455,0.000000,0.000000,0.000000,0.000000,11
9,2,-4,-0.047619,0.000000,-0.285714,0.000000,0.000000,0.000000,0.000000,21
9,2,-3,-0.090909,0.000000,0.036364,0.000000,0.000000,0.000000,0.000000,55
9,2,-2,0.064103,0.000000,0.153846,0.000000,0.000000,0.000000,0.000000,156
9,2,-1,0.011062,0.000000,0.013274,0.000000,0.000000,0.000000,0.000000,452
9,2,0,0.062963,0.000000,0.081481,0.000000,0.000000,0.000000,0.000000,810
9,2,0.5,-0.555556,0.000000,-0.222222,0.000000,0.000000,0.000000,0.000000,9
9,2,1,0.032041,0.000000,0.023773,0.000000,0.000000,0.000000,0.000000,1935
9,2,1.5,0.089337,0.000000,0.112370,0.000000,0.000000,0.000000,0.000000,18973
9,2,2,0.078360,0.000000,0.089258,0.000000,0.000000,0.000000,0.000000,3854
9,2,2.5,0.092463,0.000000,0.107132,0.000000,0.000000,0.000000,0.000000,44039
9,2,3,0.052354,0.000000,0.044188,0.000000,0.000000,0.000000,0.000000,6246
9,2,3.5,0.118397,0.000000,0.183971,0.000000,0.000000,0.000000,0.000000,1098
9,2,4,0.075920,0.000000,0.069690,0.000000,0.000000,0.000000,0.000000,8667
9,2,4.5,0.068340,0.000000,0.086471,0.000000,0.000000,0.000000,0.000000,717
9,2,5,0.061716,0.000000,0.057385,0.000000,0.000000,0.000000,0.000000,11083
9,2,5.5,0.204082,0.000000,0.326531,0.000000,0.000000,0.000000,0.000000,196
9,2,6,0.072394,0.000000,0.076114,0.000000,0.000000,0.000000,0.000000,13979
9,2,6.5,0.133333,0.000000,0.266667,0.000000,0.000000,0.000000,0.000000,60
9,2,7,0.066097,0.000000,0.052492,0.000000,0.000000,0.000000,0.000000,16612
9,2,7.5,0.125000,0.000000,0.166667,0.000000,0.000000,0.000000,0.000000,24
9,2,8,0.091020,0.000000,0.106346,0.000000,0.000000,0.000000,0.000000,18073
9,2,8.5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4
9,2,9,0.093255,0.000000,0.110027,0.000000,0.000000,0.000000,0.000000,19377
9,2,9.5,-1.000000,0.000000,-2.000000,0.000000,0.000000,0.000000,0.000000,2
9,2,10,0.084754,0.000000,0.096316,0.000000,0.000000,0.000000,0.000000,20412
9,2,11,0.078817,0.000000,0.088578,0.000000,0.000000,0.000000,0.000000,20592
9,2,12,0.090253,0.000000,0.112295,0.000000,0.000000,0.000000,0.000000,20642
9,2,13,0.081030,0.000000,0.081705,0.000000,0.000000,0.000000,0.000000,20733
9,2,14,0.082624,0.000000,0.096272,0.000000,0.000000,0.000000,0.000000,20442
9,2,15,0.088369,0.000000,0.102722,0.000000,0.000000,0.000000,0.000000,20833
9,2,16,0.079616,0.000000,0.091239,0.000000,0.000000,0.000000,0.000000,20649
9,2,17,0.089833,0.000000,0.107492,0.000000,0.000000,0.000000,0.000000,20783
9,2,18,0.071928,0.000000,0.079888,0.000000,0.000000,0.000000,0.000000,20729
9,2,19,0.082813,0.000000,0.083781,0.000000,0.000000,0.000000,0.000000,20649
9,2,20,0.081153,0.000000,0.086261,0.000000,0.000000,0.000000,0.000000,20751
9,2,21,0.081599,0.000000,0.093464,0.000000,0.000000,0.000000,0.000000,20564
9,2,22,0.078128,0.000000,0.084550,0.000000,0.000000,0.000000,0.000000,20556
9,2,23,0.088228,0.000000,0.105186,0.000000,0.000000,0.000000,0.000000,20345
9,2,24,0.091045,0.000000,0.115178,0.000000,0.000000,0.000000,0.000000,20056
9,2,25,0.080523,0.000000,0.095026,0.000000,0.000000,0.000000,0.000000,19721
9,2,26,0.089470,0.000000,0.098193,0.000000,0.000000,0.000000,0.000000,19146
9,2,27,0.100949,0.000000,0.121349,0.000000,0.000000,0.000000,0.000000,18970
9,2,28,0.091718,0.000000,0.106721,0.000000,0.000000,0.000000,0.000000,18197
9,2,29,0.092877,0.000000,0.104408,0.000000,0.000000,0.000000,0.000000,17604
9,2,30,0.110900,0.000000,0.156376,0.000000,0.000000,0.000000,0.000000,16844
9,2,31,0.101770,0.000000,0.127951,0.000000,0.000000,0.000000,0.000000,15928
9,2,32,0.101870,0.000000,0.137837,0.000000,0.000000,0.000000,0.000000,14597
9,2,33,0.113975,0.000000,0.156262,0.000000,0.000000,0.000000,0.000000,13503
9,2,34,0.124856,0.000000,0.169500,0.000000,0.000000,0.000000,0.000000,12118
