UserValue,DealerValue,TrueCount,Hit EV,Stand EV,Double EV,Split EV,Surrender EV,Insurance Accept EV,Insurance Decline EV,Hands Played
4,11,-inf,0.000000,0.000000,0.000000,0.000000,0.000000,-0.519865,-0.443316,14775
4,11,-32,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1
4,11,-30,0.000000,0.000000,0.000000,0.000000,0.000000,-1.500000,-1.000000,3
4,11,-29,0.000000,0.000000,0.000000,0.000000,0.000000,-1.500000,-1.000000,1
4,11,-28,0.000000,0.000000,0.000000,0.000000,0.000000,-0.750000,-1.000000,2
4,11,-27,0.000000,0.000000,0.000000,0.000000,0.000000,0.166667,0.666667,3
4,11,-26,0.000000,0.000000,0.000000,0.000000,0.000000,-0.200000,0.000000,5
4,11,-25,0.000000,0.000000,0.000000,0.000000,0.000000,-1.200000,-1.000000,5
4,11,-24,0.000000,0.000000,0.000000,0.000000,0.000000,-0.552632,-0.210526,19
4,11,-23,0.000000,0.000000,0.000000,0.000000,0.000000,-0.568182,-0.545455,22
4,11,-22,0.000000,0.000000,0.000000,0.000000,0.000000,-0.513514,-0.216216,37
4,11,-21,0.000000,0.000000,0.000000,0.000000,0.000000,-0.526667,-0.266667,75
4,11,-20,0.000000,0.000000,0.000000,0.000000,0.000000,-0.572289,-0.361446,83
4,11,-19,0.000000,0.000000,0.000000,0.000000,0.000000,-0.390756,-0.193277,119
4,11,-18,0.000000,0.000000,0.000000,0.000000,0.000000,-0.514205,-0.431818,176
4,11,-17,0.000000,0.000000,0.000000,0.000000,0.000000,-0.588889,-0.368889,225
4,11,-16,0.000000,0.000000,0.000000,0.000000,0.000000,-0.543333,-0.433333,300
4,11,-15,0.000000,0.000000,0.000000,0.000000,0.000000,-0.537473,-0.394004,467
4,11,-14,0.000000,0.000000,0.000000,0.000000,0.000000,-0.588652,-0.434397,564
4,11,-13,0.000000,0.000000,0.000000,0.000000,0.000000,-0.502528,-0.362832,791
4,11,-12,0.000000,0.000000,0.000000,0.000000,0.000000,-0.561484,-0.459350,984
4,11,-11,0.000000,0.000000,0.000000,0.000000,0.000000,-0.562911,-0.444079,1216
4,11,-10,0.000000,0.000000,0.000000,0.000000,0.000000,-0.520500,-0.449071,1561
4,11,-9,0.000000,0.000000,0.000000,0.000000,0.000000,-0.553914,-0.461379,1929
4,11,-8,0.000000,0.000000,0.000000,0.000000,0.000000,-0.533333,-0.458166,2235
4,11,-7,0.000000,0.000000,0.000000,0.000000,0.000000,-0.536984,-0.474395,2812
4,11,-6,0.000000,0.000000,0.000000,0.000000,0.000000,-0.505523,-0.438171,3259
4,11,-5,0.000000,0.000000,0.000000,0.000000,0.000000,-0.512330,-0.467539,3974
4,11,-4,0.000000,0.000000,0.000000,0.000000,0.000000,-0.526152,-0.471845,4493
4,11,-3,0.000000,0.000000,0.000000,0.000000,0.000000,-0.519729,-0.472921,5170
4,11,-2,0.000000,0.000000,0.000000,0.000000,0.000000,-0.516018,-0.471220,5681
4,11,-1,0.000000,0.000000,0.000000,0.000000,0.000000,-0.533000,-0.504072,5894
4,11,0,0.000000,0.000000,0.000000,0.000000,0.000000,-0.513175,-0.469340,6034
4,11,0.5,0.000000,0.000000,0.000000,0.000000,0.000000,-0.514148,-0.484535,10249
4,11,1,0.000000,0.000000,0.000000,0.000000,0.000000,-0.513141,-0.483739,6088
4,11,2,0.000000,0.000000,0.000000,0.000000,0.000000,-0.518633,-0.499571,5823
4,11,3,0.000000,0.000000,0.000000,0.000000,0.000000,-0.509578,-0.498605,5377
4,11,4,0.000000,0.000000,0.000000,0.000000,0.000000,-0.541776,-0.543088,4955
4,11,5,0.000000,0.000000,0.000000,0.000000,0.000000,-0.510528,-0.510754,4417
4,11,6,0.000000,0.000000,0.000000,0.000000,0.000000,-0.505479,-0.493629,3924
4,11,7,0.000000,0.000000,0.000000,0.000000,0.000000,-0.497617,-0.515729,3147
4,11,8,0.000000,0.000000,0.000000,0.000000,0.000000,-0.536202,-0.558182,2707
4,11,9,0.000000,0.000000,0.000000,0.000000,0.000000,-0.468329,-0.510782,2226
4,11,10,0.000000,0.000000,0.000000,0.000000,0.000000,-0.500279,-0.507804,1794
4,11,11,0.000000,0.000000,0.000000,0.000000,0.000000,-0.517363,-0.561415,1555
4,11,12,0.000000,0.000000,0.000000,0.000000,0.000000,-0.497872,-0.532766,1175
4,11,13,0.000000,0.000000,0.000000,0.000000,0.000000,-0.520518,-0.538877,926
4,11,14,0.000000,0.000000,0.000000,0.000000,0.000000,-0.573374,-0.611195,661
4,11,15,0.000000,0.000000,0.000000,0.000000,0.000000,-0.472022,-0.537906,554
4,11,16,0.000000,0.000000,0.000000,0.000000,0.000000,-0.519767,-0.567442,430
4,11,17,0.000000,0.000000,0.000000,0.000000,0.000000,-0.532423,-0.600683,293
4,11,18,0.000000,0.000000,0.000000,0.000000,0.000000,-0.518817,-0.526882,186
4,11,19,0.000000,0.000000,0.000000,0.000000,0.000000,-0.401198,-0.485030,167
4,11,20,0.000000,0.000000,0.000000,0.000000,0.000000,-0.533708,-0.674157,89
4,11,21,0.000000,0.000000,0.000000,0.000000,0.000000,-0.415663,-0.530120,83
4,11,22,0.000000,0.000000,0.000000,0.000000,0.000000,-0.482456,-0.666667,57
4,11,23,0.000000,0.000000,0.000000,0.000000,0.000000,-0.234375,-0.625000,32
4,11,24,0.000000,0.000000,0.000000,0.000000,0.000000,-0.393939,-0.484848,33
4,11,25,0.000000,0.000000,0.000000,0.000000,0.000000,-0.470588,-0.764706,17
4,11,26,0.000000,0.000000,0.000000,0.000000,0.000000,-0.500000,-0.642857,14
4,11,27,0.000000,0.000000,0.000000,0.000000,0.000000,0.333333,0.333333,3
4,11,28,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1
4,11,29,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,2
4,11,30,0.000000,0.000000,0.000000,0.000000,0.000000,-0.500000,0.000000,2
4,11,33,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,1.000000,1
4,11,inf,0.000000,0.000000,0.000000,0.000000,0.000000,-0.501799,-0.537007,14173
5,11,-inf,0.000000,0.000000,0.000000,0.000000,0.000000,-0.539274,-0.464789,33228
5,11,-36,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,1.000000,1
5,11,-32,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,1.000000,1
5,11,-30,0.000000,0.000000,0.000000,0.000000,0.000000,-1.500000,-1.000000,1
