UserValue,DealerValue,TrueCount,Hit EV,Stand EV,Double EV,Split EV,Surrender EV,Insurance Accept EV,Insurance Decline EV,Hands Played
14,10,-30,0.000000,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,1
14,10,-27,1.000000,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,1
14,10,-26,-0.400000,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,5
14,10,-25,0.000000,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,9
14,10,-24,0.142857,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,21
14,10,-23.5,-1.000000,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,1
14,10,-23,-0.270270,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,37
14,10,-22,-0.057692,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,52
14,10,-21.5,1.000000,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,3
14,10,-21,-0.186275,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,102
14,10,-20.5,-0.500000,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,12
14,10,-20,-0.282927,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,205
14,10,-19.5,-0.394737,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,38
14,10,-19,-0.299674,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,307
14,10,-18.5,-0.086207,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,58
14,10,-18,-0.236607,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,672
14,10,-17.5,-0.162162,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,222
14,10,-17,-0.295024,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,844
14,10,-16.5,-0.259459,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,370
14,10,-16,-0.286550,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,2052
14,10,-15.5,-0.239238,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,1208
14,10,-15,-0.259170,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,2072
14,10,-14.5,-0.223909,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,2108
14,10,-14,-0.251129,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,6423
14,10,-13.5,-0.278000,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,5500
14,10,-13,-0.286996,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,5014
14,10,-12.5,-0.254977,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,9193
14,10,-12,-0.282401,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,19745
14,10,-11.5,-0.270673,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,21018
14,10,-11,-0.291002,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,13725
14,10,-10.5,-0.291486,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,33758
14,10,-10,-0.305617,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,58858
14,10,-9.5,-0.305512,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,68891
14,10,-9,-0.321331,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,45713
14,10,-8.5,-0.318186,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,110382
14,10,-8,-0.324554,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,163609
14,10,-7.5,-0.328439,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,203639
14,10,-7,-0.335736,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,166792
14,10,-6.5,-0.339110,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,332346
14,10,-6,-0.344031,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,422380
14,10,-5.5,-0.353903,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,571049
14,10,-5,-0.359722,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,569849
14,10,-4.5,-0.364462,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,964552
14,10,-4,-0.370928,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,1092194
14,10,-3.5,-0.378784,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,1616134
14,10,-3,-0.384819,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,1839766
14,10,-2.5,-0.390236,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,2711462
14,10,-2,-0.395964,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,3352354
14,10,-1.5,-0.402655,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,4683633
14,10,-1,-0.409345,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,5775118
14,10,-0.5,-0.415586,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,8104244
14,10,0,-0.422281,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,9910740
14,10,0.5,-0.428517,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,6753022
14,10,1,-0.435249,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,4802906
14,10,1.5,-0.440374,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,3892640
14,10,2,-0.447264,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,2744523
14,10,2.5,-0.453489,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,2281008
14,10,3,-0.459534,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,1515855
14,10,3.5,-0.464118,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,1357786
14,10,4,-0.471726,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,925073
14,10,4.5,-0.477270,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,808748
14,10,5,-0.480361,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,466684
14,10,5.5,-0.488974,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,478381
