UserValue,DealerValue,TrueCount,Hit EV,Stand EV,Double EV,Split EV,Surrender EV,Insurance Accept EV,Insurance Decline EV,Hands Played
20,5,-2.5,0.000000,0.333333,0.000000,10.416667,0.000000,0.000000,0.000000,6
20,5,-2,0.000000,0.450000,0.000000,6.666667,0.000000,0.000000,0.000000,60
20,5,-1.5,0.000000,0.687861,0.000000,4.985549,0.000000,0.000000,0.000000,346
20,5,-1,0.000000,0.668820,0.000000,6.330749,0.000000,0.000000,0.000000,2322
20,5,-0.5,0.000000,0.671229,0.000000,6.480915,0.000000,0.000000,0.000000,38434
20,5,0,0.000000,0.673640,0.000000,6.553879,0.000000,0.000000,0.000000,44405
20,5,0.5,0.000000,0.673409,0.000000,7.516972,0.000000,0.000000,0.000000,158498
20,5,1,0.000000,0.677357,0.000000,11.056223,0.000000,0.000000,0.000000,88336
20,5,1.5,0.000000,0.673874,0.000000,34.846425,0.000000,0.000000,0.000000,101335
20,5,2,0.000000,0.676295,0.000000,64.853320,0.000000,0.000000,0.000000,104172
20,5,2.5,0.000000,0.675046,0.000000,82.319146,0.000000,0.000000,0.000000,95035
20,5,3,0.000000,0.674245,0.000000,90.098276,0.000000,0.000000,0.000000,79572
20,5,3.5,0.000000,0.674517,0.000000,133.533178,0.000000,0.000000,0.000000,83565
20,5,4,0.000000,0.676073,0.000000,160.393392,0.000000,0.000000,0.000000,96494
20,5,4.5,0.000000,0.672021,0.000000,275.541557,0.000000,0.000000,0.000000,69291
20,5,5,0.000000,0.677283,0.000000,302.545894,0.000000,0.000000,0.000000,84489
20,5,5.5,0.000000,0.677461,0.000000,407.459441,0.000000,0.000000,0.000000,62994
20,5,6,0.000000,0.675775,0.000000,435.343374,0.000000,0.000000,0.000000,90761
20,5,6.5,0.000000,0.673058,0.000000,522.955163,0.000000,0.000000,0.000000,60396
20,5,7,0.000000,0.677322,0.000000,528.485984,0.000000,0.000000,0.000000,69385
20,5,7.5,0.000000,0.672736,0.000000,512.427766,0.000000,0.000000,0.000000,57452
20,5,8,0.000000,0.676241,0.000000,515.427787,0.000000,0.000000,0.000000,80180
20,5,8.5,0.000000,0.672363,0.000000,527.737674,0.000000,0.000000,0.000000,55412
20,5,9,0.000000,0.675653,0.000000,528.003117,0.000000,0.000000,0.000000,56458
20,5,9.5,0.000000,0.671363,0.000000,531.827402,0.000000,0.000000,0.000000,54230
20,5,10,0.000000,0.675856,0.000000,533.570779,0.000000,0.000000,0.000000,65980
20,5,10.5,0.000000,0.675646,0.000000,524.642135,0.000000,0.000000,0.000000,51416
20,5,11,0.000000,0.676493,0.000000,519.926056,0.000000,0.000000,0.000000,51390
20,5,11.5,0.000000,0.671793,0.000000,507.388012,0.000000,0.000000,0.000000,51367
20,5,12,0.000000,0.679484,0.000000,528.315092,0.000000,0.000000,0.000000,51439
20,5,12.5,0.000000,0.676889,0.000000,533.184161,0.000000,0.000000,0.000000,50054
20,5,13,0.000000,0.672470,0.000000,510.637450,0.000000,0.000000,0.000000,50200
20,5,13.5,0.000000,0.679339,0.000000,504.739806,0.000000,0.000000,0.000000,50424
20,5,14,0.000000,0.676348,0.000000,525.884754,0.000000,0.000000,0.000000,40661
20,5,14.5,0.000000,0.677465,0.000000,521.710926,0.000000,0.000000,0.000000,47787
20,5,15,0.000000,0.676311,0.000000,512.505245,0.000000,0.000000,0.000000,47660
20,5,15.5,0.000000,0.676175,0.000000,519.883792,0.000000,0.000000,0.000000,47501
20,5,16,0.000000,0.680950,0.000000,523.879013,0.000000,0.000000,0.000000,30152
20,5,16.5,0.000000,0.671128,0.000000,517.524608,0.000000,0.000000,0.000000,46021
20,5,17,0.000000,0.673448,0.000000,526.277289,0.000000,0.000000,0.000000,43745
20,5,17.5,0.000000,0.677743,0.000000,521.016248,0.000000,0.000000,0.000000,44989
20,5,18,0.000000,0.678435,0.000000,541.969082,0.000000,0.000000,0.000000,24387
20,5,18.5,0.000000,0.674151,0.000000,521.942829,0.000000,0.000000,0.000000,44183
20,5,19,0.000000,0.676284,0.000000,549.223209,0.000000,0.000000,0.000000,37848
20,5,19.5,0.000000,0.678352,0.000000,521.930034,0.000000,0.000000,0.000000,41906
20,5,20,0.000000,0.677016,0.000000,521.306347,0.000000,0.000000,0.000000,21097
20,5,20.5,0.000000,0.673273,0.000000,527.626459,0.000000,0.000000,0.000000,41120
20,5,21,0.000000,0.680367,0.000000,555.807807,0.000000,0.000000,0.000000,29512
20,5,21.5,0.000000,0.673085,0.000000,513.846776,0.000000,0.000000,0.000000,39576
20,5,22,0.000000,0.672898,0.000000,500.715088,0.000000,0.000000,0.000000,19578
20,5,22.5,0.000000,0.671789,0.000000,516.696796,0.000000,0.000000,0.000000,39828
20,5,23,0.000000,0.674097,0.000000,524.792867,0.000000,0.000000,0.000000,23777
20,5,23.5,0.000000,0.676717,0.000000,514.663021,0.000000,0.000000,0.000000,38771
20,5,24,0.000000,0.670213,0.000000,506.043352,0.000000,0.000000,0.000000,20022
20,5,24.5,0.000000,0.673906,0.000000,517.230617,0.000000,0.000000,0.000000,38449
20,5,25,0.000000,0.671892,0.000000,510.254789,0.000000,0.000000,0.000000,22136
20,5,25.5,0.000000,0.674769,0.000000,530.473169,0.000000,0.000000,0.000000,36245
20,5,26,0.000000,0.680284,0.000000,514.090156,0.000000,0.000000,0.000000,18701
20,5,26.5,0.000000,0.679679,0.000000,550.604322,0.000000,0.000000,0.000000,32764
20,5,27,0.000000,0.677590,0.000000,496.942036,0.000000,0.000000,0.000000,21910
20,5,27.5,0.000000,0.681219,0.000000,554.649603,0.000000,0.000000,0.000000,29067
20,5,28,0.000000,0.680325,0.000000,521.564874,0.000000,0.000000,0.000000,16717
20,5,28.5,0.000000,0.679925,0.000000,556.131812,0.000000,0.000000,0.000000,25066
20,5,29,0.000000,0.674902,0.000000,457.133508,0.000000,0.000000,0.000000,24448
20,5,29.5,0.000000,0.673972,0.000000,563.996989,0.000000,0.000000,0.000000,22587
20,5,30,0.000000,0.677196,0.000000,495.911106,0.000000,0.000000,0.000000,16019
20,5,30.5,0.000000,0.673004,0.000000,528.247483,0.000000,0.000000,0.000000,20462
20,5,31,0.000000,0.667377,0.000000,483.200693,0.000000,0.000000,0.000000,30031
20,5,31.5,0.000000,0.678261,0.000000,552.351894,0.000000,0.000000,0.000000,19665
20,5,32,0.000000,0.676535,0.000000,500.058052,0.000000,0.000000,0.000000,17226
20,5,32.5,0.000000,0.674200,0.000000,502.499202,0.000000,0.000000,0.000000,18806
20,5,33,0.000000,0.678531,0.000000,518.815075,0.000000,0.000000,0.000000,35344
20,5,33.5,0.000000,0.681205,0.000000,510.640539,0.000000,0.000000,0.000000,18984
20,5,34,0.000000,0.671102,0.000000,526.747602,0.000000,0.000000,0.000000,18039
20,5,34.5,0.000000,0.682025,0.000000,527.699480,0.000000,0.000000,0.000000,18448
20,5,35,0.000000,0.677085,0.000000,543.296250,0.000000,0.000000,0.000000,34876
20,5,35.5,0.000000,0.674264,0.000000,551.413733,0.000000,0.000000,0.000000,17330
20,5,36,0.000000,0.680830,0.000000,552.470055,0.000000,0.000000,0.000000,16781
20,5,36.5,0.000000,0.667358,0.000000,547.467968,0.000000,0.000000,0.000000,16390
20,5,37,0.000000,0.679047,0.000000,578.316135,0.000000,0.000000,0.000000,29266
20,5,37.5,0.000000,0.689868,0.000000,576.628352,0.000000,0.000000,0.000000,14094
20,5,38,0.000000,0.687065,0.000000,571.344815,0.000000,0.000000,0.000000,13645
20,5,38.5,0.000000,0.671490,0.000000,563.577586,0.000000,0.000000,0.000000,12992
20,5,39,0.000000,0.681221,0.000000,593.330507,0.000000,0.000000,0.000000,21231
20,5,39.5,0.000000,0.673468,0.000000,555.436242,0.000000,0.000000,0.000000,11175
20,5,40,0.000000,0.683635,0.000000,552.053662,0.000000,0.000000,0.000000,10883
20,5,40.5,0.000000,0.677641,0.000000,509.207589,0.000000,0.000000,0.000000,10752
20,5,41,0.000000,0.676053,0.000000,546.067710,0.000000,0.000000,0.000000,15271
20,5,41.5,0.000000,0.673146,0.000000,510.501123,0.000000,0.000000,0.000000,10237
20,5,42,0.000000,0.668694,0.000000,444.117088,0.000000,0.000000,0.000000,10522
20,5,42.5,0.000000,0.660477,0.000000,456.923489,0.000000,0.000000,0.000000,11201
20,5,43,0.000000,0.677469,0.000000,477.234401,0.000000,0.000000,0.000000,13639
20,5,43.5,0.000000,0.665195,0.000000,438.247332,0.000000,0.000000,0.000000,12461
20,5,44,0.000000,0.676168,0.000000,426.872952,0.000000,0.000000,0.000000,13121
20,5,44.5,0.000000,0.655127,0.000000,465.308209,0.000000,0.000000,0.000000,13692
20,5,45,0.000000,0.667084,0.000000,466.385447,0.000000,0.000000,0.000000,15172
20,5,45.5,0.000000,0.670982,0.000000,460.702668,0.000000,0.000000,0.000000,15370
20,5,46,0.000000,0.673533,0.000000,473.158552,0.000000,0.000000,0.000000,16020
20,5,46.5,0.000000,0.673349,0.000000,481.057216,0.000000,0.000000,0.000000,16761
20,5,47,0.000000,0.672105,0.000000,494.865944,0.000000,0.000000,0.000000,17530
20,5,47.5,0.000000,0.674606,0.000000,476.153113,0.000000,0.000000,0.000000,17843
20,5,48,0.000000,0.670282,0.000000,513.692628,0.000000,0.000000,0.000000,18258
20,5,48.5,0.000000,0.667776,0.000000,532.093581,0.000000,0.000000,0.000000,18337
20,5,49,0.000000,0.679217,0.000000,539.976198,0.000000,0.000000,0.000000,18486
20,5,49.5,0.000000,0.673838,0.000000,529.862594,0.000000,0.000000,0.000000,18267
20,5,50,0.000000,0.682036,0.000000,561.467786,0.000000,0.000000,0.000000,17741
20,5,50.5,0.000000,0.687663,0.000000,564.927922,0.000000,0.000000,0.000000,17273
20,5,51,0.000000,0.685337,0.000000,559.580210,0.000000,0.000000,0.000000,16675
20,5,51.5,0.000000,0.675316,0.000000,584.406566,0.000000,0.000000,0.000000,15840
20,5,52,0.000000,0.682887,0.000000,608.482323,0.000000,0.000000,0.000000,14878
20,5,52.5,0.000000,0.680575,0.000000,610.367417,0.000000,0.000000,0.000000,14044
20,5,53,0.000000,0.679919,0.000000,603.580563,0.000000,0.000000,0.000000,12903
