TrueCount,HandsPlayed,TotalPayout,EV,StdError
-28.0,1,-25.000000,-25.000000,0.000000
-25.5,1,25.000000,25.000000,0.000000
-25.0,1,0.000000,0.000000,0.000000
-24.5,2,-25.000000,-12.500000,8.838835
-24.0,3,-100.000000,-33.333333,6.804138
-23.5,4,-75.000000,-18.750000,13.621559
-23.0,20,50.000000,2.500000,7.685213
-22.5,16,-50.000000,-3.125000,7.614683
-22.0,58,-350.000000,-6.034483,3.821910
-21.5,52,-625.000000,-12.019231,4.272650
-21.0,206,-750.000000,-3.640777,2.126839
-20.5,150,-975.000000,-6.500000,2.637128
-20.0,463,-2575.000000,-5.561555,1.397734
-19.5,438,-1875.000000,-4.280822,1.480895
-19.0,1046,-3362.500000,-3.214627,0.929039
-18.5,1359,-4300.000000,-3.164091,0.827657
-18.0,1066,-3937.500000,-3.693715,0.908141
-17.5,4858,-16812.500000,-3.460786,0.436002
-17.0,2495,-8775.000000,-3.517034,0.596224
-16.5,11283,-36000.000000,-3.190641,0.282270
-16.0,6710,-21712.500000,-3.235842,0.367822
-15.5,17287,-50162.500000,-2.901747,0.227807
-15.0,21279,-50837.500000,-2.389093,0.205303
-14.5,37824,-103387.500000,-2.733384,0.152604
-14.0,43964,-116900.000000,-2.658994,0.142111
-13.5,74207,-184137.500000,-2.481403,0.108841
-13.0,84414,-196112.500000,-2.323222,0.101796
-12.5,98692,-215712.500000,-2.185714,0.094066
-12.0,211201,-432987.500000,-2.050121,0.064232
-11.5,201509,-377187.500000,-1.871815,0.065514
-11.0,397556,-720487.500000,-1.812292,0.046604
-10.5,340819,-553387.500000,-1.623699,0.050292
-10.0,726605,-1217100.000000,-1.675050,0.034304
-9.5,691228,-1066762.500000,-1.543286,0.035053
-9.0,1014012,-1458775.000000,-1.438617,0.028912
-8.5,1368009,-1834537.500000,-1.341027,0.024858
-8.0,1458050,-1820962.500000,-1.248903,0.024028
-7.5,2583527,-3091037.500000,-1.196441,0.018009
-7.0,2398853,-2606387.500000,-1.086514,0.018651
-6.5,3900134,-3916687.500000,-1.004244,0.014598
-6.0,4641402,-4202625.000000,-0.905465,0.013353
-5.5,5936597,-4966087.500000,-0.836521,0.011783
-5.0,6908744,-5355137.500000,-0.775125,0.010901
-4.5,9067003,-6126100.000000,-0.675648,0.009496
-4.0,11812253,-7307612.500000,-0.618647,0.008303
-3.5,13849560,-7306862.500000,-0.527588,0.007654
-3.0,17555210,-8100050.000000,-0.461404,0.006784
-2.5,19738636,-7854962.500000,-0.397949,0.006387
-2.0,28837516,-9202787.500000,-0.319126,0.005278
-1.5,29508320,-7838337.500000,-0.265631,0.005213
-1.0,39657660,-8076937.500000,-0.203667,0.004491
-0.5,36620010,-5893600.000000,-0.160939,0.004671
0.0,109046835,-9038750.000000,-0.082889,0.002700
0.5,34263239,123175.000000,0.003595,0.004806
1.0,34791987,2443437.500000,0.070230,0.005146
1.5,26092437,11668387.500000,0.447479,0.022128
2.0,25654637,45628712.500000,1.788725,0.041847
2.5,18054476,68972787.500000,3.863874,0.075436
3.0,16376040,109484725.000000,6.807500,0.105546
3.5,12034555,134768062.500000,11.567950,0.151278
4.0,10668825,174994862.500000,17.058814,0.194458
4.5,7989975,174433150.000000,22.858233,0.259928
5.0,6270815,178548712.500000,29.974964,0.336079
5.5,5328422,188458937.500000,37.330118,0.403428
6.0,4119037,175693925.000000,45.138217,0.515974
6.5,3513032,179099575.000000,53.936289,0.612254
7.0,2099000,124761000.000000,62.988110,0.861051
7.5,2306949,155133712.500000,71.225715,0.892799
8.0,1260226,92138012.500000,77.513463,1.289250
8.5,1214029,99958525.000000,87.445242,1.408794
9.0,901268,83413337.500000,98.327743,1.728307
9.5,569588,60389737.500000,112.316448,2.312565
10.0,659379,76604912.500000,123.412997,2.263833
10.5,276444,33778387.500000,129.961282,3.703177
11.0,357757,51472512.500000,152.612315,3.396941
11.5,164897,24600700.000000,157.512320,5.287982
12.0,185744,33882950.000000,193.611311,5.188327
12.5,78832,14703962.500000,197.509639,8.338348
13.0,71507,15097650.000000,224.516711,9.095522
13.5,63591,11476175.000000,190.062970,9.941237
14.0,36050,7286925.000000,215.555309,13.754719
14.5,32012,7309437.500000,241.684000,15.091731
15.0,17059,4035762.500000,251.438698,21.492828
15.5,14510,3493900.000000,259.469606,24.075840
16.0,5245,1831500.000000,374.250291,41.575199
16.5,9059,3368775.000000,400.572460,32.363744
17.0,1886,614425.000000,365.041018,73.436676
17.5,3853,1548875.000000,430.835614,52.650763
18.0,815,350350.000000,456.561809,119.529858
18.5,1029,278187.500000,274.256968,108.226468
19.0,788,442050.000000,586.634727,127.028581
19.5,344,44900.000000,140.755837,196.104588
20.0,362,28587.500000,96.862562,193.654579
20.5,99,42250.000000,442.302000,382.841091
21.0,118,47312.500000,359.019595,381.021038
21.5,35,35112.500000,1037.012987,649.075869
22.0,26,2037.500000,126.021635,790.724806
22.5,15,-16100.000000,-1073.333333,1105.007458
23.0,21,8612.500000,370.595238,905.995882
23.5,2,-8475.000000,-4237.500000,8.838835
24.0,3,0.000000,0.000000,2027.039439
24.5,2,-6600.000000,-2200.000000,1555.634919
25.0,4,18000.000000,4500.000000,2638.358865
