TrueCount,HandsPlayed,TotalPayout,EV,StdError
-34.5,3,-50.000000,-16.666667,18.002057
-34.0,1,-25.000000,-25.000000,0.000000
-33.0,3,50.000000,16.666667,18.002057
-32.5,6,-25.000000,-4.166667,12.383718
-32.0,1,25.000000,25.000000,0.000000
-31.5,4,-50.000000,-12.500000,13.975425
-31.0,21,-450.000000,-21.428571,6.794212
-30.5,8,25.000000,3.125000,14.946193
-30.0,22,-50.000000,-2.272727,6.205230
-29.5,12,-200.000000,-16.666667,7.414638
-29.0,96,-700.000000,-7.291667,3.530863
-28.5,59,-725.000000,-12.288136,4.295067
-28.0,40,-50.000000,-1.250000,5.299617
-27.5,280,-1512.500000,-5.401786,1.737468
-27.0,198,-1025.000000,-5.176768,2.120348
-26.5,152,-75.000000,-0.493421,2.433659
-26.0,871,-5587.500000,-6.415040,1.021023
-25.5,466,-2462.500000,-5.284335,1.440957
-25.0,561,-4175.000000,-7.442068,1.308588
-24.5,2256,-14737.500000,-6.532580,0.633901
-24.0,1196,-8162.500000,-6.824833,0.862516
-23.5,2008,-9550.000000,-4.755976,0.690265
-23.0,5496,-26937.500000,-4.901292,0.412962
-22.5,3173,-13787.500000,-4.345257,0.548814
-22.0,5089,-23225.000000,-4.563765,0.428771
-21.5,7117,-33350.000000,-4.685963,0.358727
-21.0,14331,-61200.000000,-4.270463,0.256303
-20.5,11269,-47237.500000,-4.191809,0.286075
-20.0,16201,-67575.000000,-4.171039,0.238495
-19.5,31496,-118175.000000,-3.752064,0.170734
-19.0,34136,-131212.500000,-3.843816,0.163644
-18.5,35730,-126000.000000,-3.526448,0.159957
-18.0,70710,-245100.000000,-3.466271,0.113552
-17.5,74493,-245800.000000,-3.299639,0.110198
-17.0,72169,-237237.500000,-3.287249,0.111820
-16.5,132204,-398987.500000,-3.017968,0.082773
-16.0,138997,-409287.500000,-2.944578,0.080352
-15.5,153263,-418875.000000,-2.733047,0.076409
-15.0,171860,-452675.000000,-2.633975,0.071867
-14.5,299553,-760200.000000,-2.537781,0.054460
-14.0,380847,-909575.000000,-2.388295,0.048092
-13.5,407271,-911300.000000,-2.237576,0.046425
-13.0,441948,-937075.000000,-2.120329,0.044507
-12.5,681476,-1410387.500000,-2.069607,0.035753
-12.0,770200,-1489875.000000,-1.934400,0.033592
-11.5,953337,-1714412.500000,-1.798328,0.030104
-11.0,1184245,-1979562.500000,-1.671582,0.026973
-10.5,1374202,-2208775.000000,-1.607315,0.024977
-10.0,2002737,-3055175.000000,-1.525500,0.020641
-9.5,1864942,-2683962.500000,-1.439167,0.021355
-9.0,2534711,-3362637.500000,-1.326635,0.018286
-8.5,2828231,-3526387.500000,-1.246853,0.017274
-8.0,3904363,-4423212.500000,-1.132890,0.014669
-7.5,4551407,-4867950.000000,-1.069548,0.013560
-7.0,4833022,-4790025.000000,-0.991103,0.013139
-6.5,6450629,-5802400.000000,-0.899509,0.011345
-6.0,8230712,-6743350.000000,-0.819291,0.010024
-5.5,8148547,-6091362.500000,-0.747540,0.010053
-5.0,9955540,-6755300.000000,-0.678547,0.009077
-4.5,13608265,-8136825.000000,-0.597933,0.007749
-4.0,15305647,-7954462.500000,-0.519708,0.007293
-3.5,17321932,-8034475.000000,-0.463832,0.006843
-3.0,22400275,-8789112.500000,-0.392366,0.006006
-2.5,26790985,-8740350.000000,-0.326242,0.005484
-2.0,28919580,-7977737.500000,-0.275859,0.005269
-1.5,38073632,-7059300.000000,-0.185412,0.004588
-1.0,43967127,-6340162.500000,-0.144202,0.004265
-0.5,36780822,-3672575.000000,-0.099850,0.004659
0.0,122258661,-2231175.000000,-0.018250,0.002549
0.5,34435112,1678512.500000,0.048744,0.004794
1.0,39023582,5081987.500000,0.130229,0.005071
1.5,34629401,27320737.500000,0.790677,0.018549
2.0,25787570,52266275.000000,2.038708,0.041740
2.5,24957613,108959787.500000,4.415626,0.064161
3.0,21128178,163441700.000000,7.870014,0.093212
3.5,15396596,186488650.000000,12.463953,0.134625
4.0,14075308,246646000.000000,18.204127,0.169113
4.5,12419040,285432300.000000,23.984930,0.209877
5.0,9205990,270751600.000000,30.855286,0.277105
5.5,7448768,272029512.500000,38.467754,0.342917
6.0,7579225,327848450.000000,45.593999,0.378378
6.5,5957423,309179850.000000,54.841122,0.468033
7.0,4405586,264550087.500000,63.635469,0.593442
7.5,4172749,291136237.500000,73.949944,0.661586
8.0,3582207,284972337.500000,84.277676,0.764447
8.5,2585271,230709650.000000,94.666713,0.964325
9.0,2310780,226842350.000000,104.184959,1.086294
9.5,1675515,180130537.500000,114.115035,1.349608
10.0,1855182,221017862.500000,126.606566,1.347562
10.5,1226788,161465825.000000,139.800267,1.760769
