TrueCount,HandsPlayed,TotalPayout,EV,StdError
-8.5,3,37.500000,12.500000,15.590239
-8.0,10,-175.000000,-17.500000,5.062114
-7.5,21,62.500000,2.976190,7.802151
-7.0,83,-625.000000,-7.530120,2.880719
-6.5,202,37.500000,0.185644,2.060704
-6.0,429,650.000000,1.515152,1.422585
-5.5,1292,687.500000,0.532121,0.814572
-5.0,3320,-2137.500000,-0.643825,0.509748
-4.5,7882,-9250.000000,-1.173560,0.325230
-4.0,20841,-14687.500000,-0.704741,0.199699
-3.5,51992,-35375.000000,-0.680393,0.125663
-3.0,103469,-60950.000000,-0.589065,0.089007
-2.5,276820,-166875.000000,-0.602829,0.054238
-2.0,645506,-271600.000000,-0.420755,0.035434
-1.5,1334997,-478325.000000,-0.358297,0.024654
-1.0,2564808,-804037.500000,-0.313488,0.017762
-0.5,4275749,-1193287.500000,-0.279083,0.013756
0.0,57679331,-4447075.000000,-0.077100,0.003715
0.5,8657739,-2072275.000000,-0.239355,0.009645
1.0,10738194,-2093312.500000,-0.194941,0.008649
1.5,11814877,-1846462.500000,-0.156283,0.008236
2.0,12861606,-2043075.000000,-0.158851,0.007889
2.5,12376392,-1491725.000000,-0.120530,0.008038
3.0,12505796,-1450187.500000,-0.115961,0.007995
3.5,12664000,-1691575.000000,-0.133574,0.007945
4.0,12605504,-1473525.000000,-0.116895,0.007961
4.5,10756335,-1366212.500000,-0.127015,0.008627
5.0,9786786,-1596225.000000,-0.163100,0.009036
5.5,11802130,-1336887.500000,-0.113275,0.008228
6.0,11383379,-1274937.500000,-0.112000,0.008376
6.5,10572702,-1274687.500000,-0.120564,0.008693
7.0,9855801,-1327450.000000,-0.134687,0.009009
7.5,10413782,-981125.000000,-0.094214,0.008755
8.0,9672538,-1258737.500000,-0.130135,0.009090
8.5,8987090,-1048550.000000,-0.116673,0.009423
9.0,10066835,-1025987.500000,-0.101918,0.008902
9.5,9185280,-1041612.500000,-0.113400,0.009323
10.0,8845936,-1119900.000000,-0.126601,0.009504
10.5,8691921,-1064225.000000,-0.122438,0.009589
11.0,8645600,-1005550.000000,-0.116308,0.009607
11.5,8252714,-747062.500000,-0.090523,0.009834
12.0,8672759,-680487.500000,-0.078463,0.009586
12.5,7803421,-724737.500000,-0.092874,0.010104
13.0,7803486,-1047262.500000,-0.134204,0.010121
13.5,7733386,-671675.000000,-0.086854,0.010150
14.0,7758243,-620437.500000,-0.079971,0.010140
14.5,6824172,-782825.000000,-0.114714,0.010821
15.0,7219191,-523650.000000,-0.072536,0.010506
15.5,7355765,-538212.500000,-0.073169,0.010404
16.0,6590337,-770400.000000,-0.116898,0.011001
16.5,6859841,-617562.500000,-0.090026,0.010777
17.0,6306544,-634900.000000,-0.100673,0.011249
17.5,6487870,-715225.000000,-0.110240,0.011099
18.0,6902953,-643837.500000,-0.093270,0.010742
18.5,6151077,-324300.000000,-0.052722,0.011373
19.0,6376688,-505787.500000,-0.079318,0.011181
19.5,5936938,-567337.500000,-0.095561,0.011592
20.0,5976406,-500100.000000,-0.083679,0.011539
20.5,5458684,-459800.000000,-0.084233,0.012082
21.0,6029906,-404712.500000,-0.067118,0.011493
21.5,5845136,-430550.000000,-0.073660,0.011684
22.0,5075227,-455150.000000,-0.089681,0.012520
22.5,5365570,-368212.500000,-0.068625,0.012187
23.0,5592100,-561587.500000,-0.100425,0.011939
23.5,5226760,-432925.000000,-0.082829,0.012344
24.0,4963332,-399412.500000,-0.080473,0.012666
24.5,5189786,-408087.500000,-0.078633,0.012406
25.0,5752052,-163762.500000,-0.028470,0.011743
25.5,4456447,-250887.500000,-0.056298,0.013361
26.0,4141164,-464712.500000,-0.112218,0.013885
26.5,4298799,-329537.500000,-0.076658,0.013618
27.0,5165919,-75675.000000,-0.014649,0.012389
27.5,4864056,-440875.000000,-0.090639,0.012801
28.0,4302117,-410212.500000,-0.095351,0.013603
28.5,4378019,-204600.000000,-0.046733,0.013489
29.0,4521013,-158462.500000,-0.035050,0.013259
29.5,4466361,-579350.000000,-0.129714,0.013367
30.0,3682985,-195575.000000,-0.053102,0.014698
30.5,4315706,-175475.000000,-0.040660,0.013566
31.0,4539936,-538787.500000,-0.118677,0.013251
31.5,3605703,-179537.500000,-0.049793,0.014834
32.0,4064163,-461250.000000,-0.113492,0.014020
32.5,4049666,-70337.500000,-0.017369,0.013994
33.0,3597446,-163725.000000,-0.045512,0.014872
33.5,3786020,-386900.000000,-0.102193,0.014527
34.0,3199618,28100.000000,0.008782,0.015728
34.5,4788108,-517900.000000,-0.108169,0.012907
35.0,2496596,-269337.500000,-0.107895,0.017862
