TrueCount,HandsPlayed,TotalPayout,EV,StdError
-11.5,1,25.000000,25.000000,0.000000
-10.5,2,25.000000,12.500000,8.838835
-10.0,2,0.000000,0.000000,17.677670
-9.5,14,-225.000000,-16.071429,6.965267
-9.0,21,-87.500000,-4.166667,5.667800
-8.5,65,-87.500000,-1.346154,3.588722
-8.0,176,-275.000000,-1.562500,2.242846
-7.5,360,-225.000000,-0.625000,1.579422
-7.0,817,-1800.000000,-2.203182,0.987834
-6.5,1701,-3187.500000,-1.873898,0.707484
-6.0,3675,-3562.500000,-0.969388,0.479446
-5.5,8046,-6262.500000,-0.778337,0.321464
-5.0,17807,-9337.500000,-0.524372,0.216485
-4.5,37042,-36300.000000,-0.979969,0.149927
-4.0,85426,-68775.000000,-0.805083,0.098390
-3.5,185881,-130425.000000,-0.701659,0.066502
-3.0,275233,-178462.500000,-0.648405,0.054626
-2.5,637168,-334775.000000,-0.525411,0.035790
-2.0,1239367,-487725.000000,-0.393528,0.025627
-1.5,2220720,-867175.000000,-0.390493,0.019109
-1.0,4177263,-1368200.000000,-0.327535,0.013912
-0.5,6902360,-1922950.000000,-0.278593,0.010829
0.0,61340799,-5013325.000000,-0.081729,0.003604
0.5,12955004,-2936212.500000,-0.226647,0.007884
1.0,14291832,-2379650.000000,-0.166504,0.007490
1.5,13894554,-2384812.500000,-0.171636,0.007592
2.0,15087031,-2349487.500000,-0.155729,0.007288
2.5,13003763,-2015600.000000,-0.155001,0.007851
3.0,14855906,-2131512.500000,-0.143479,0.007339
3.5,14270094,-2198225.000000,-0.154044,0.007490
4.0,14608280,-1736912.500000,-0.118899,0.007396
4.5,13463793,-1924912.500000,-0.142970,0.007707
5.0,11907811,-1683000.000000,-0.141336,0.008190
5.5,13361176,-1679862.500000,-0.125727,0.007733
6.0,11874885,-1523862.500000,-0.128327,0.008206
6.5,11519988,-1408150.000000,-0.122235,0.008327
7.0,11858136,-1566725.000000,-0.132122,0.008211
7.5,10841681,-1227312.500000,-0.113203,0.008580
8.0,11008663,-1043375.000000,-0.094778,0.008513
8.5,9607947,-1174937.500000,-0.122288,0.009121
9.0,10495691,-1011925.000000,-0.096413,0.008715
9.5,9810033,-989700.000000,-0.100887,0.009018
10.0,9445276,-1221462.500000,-0.129320,0.009200
10.5,9452208,-781562.500000,-0.082686,0.009176
11.0,9263465,-517225.000000,-0.055835,0.009268
11.5,8986023,-741462.500000,-0.082513,0.009421
12.0,8087882,-483137.500000,-0.059736,0.009920
12.5,7623114,-347850.000000,-0.045631,0.010211
13.0,9265387,-920500.000000,-0.099348,0.009275
13.5,7062569,-513500.000000,-0.072707,0.010607
14.0,7369663,-106987.500000,-0.014517,0.010375
14.5,7782401,-463625.000000,-0.059574,0.010110
15.0,6608753,-70050.000000,-0.010600,0.010953
15.5,6399731,-64812.500000,-0.010127,0.011122
16.0,6420668,-28875.000000,-0.004497,0.011107
16.5,6611732,10175.000000,0.001539,0.010956
17.0,5192511,448550.000000,0.086384,0.012308
17.5,6605224,4712.500000,0.000713,0.010947
18.0,5626943,610100.000000,0.108425,0.011825
18.5,4702968,279262.500000,0.059380,0.012948
19.0,4906882,570312.500000,0.116227,0.012648
19.5,5255936,422250.000000,0.080338,0.012240
20.0,4131720,506212.500000,0.122519,0.013776
20.5,4061321,551200.000000,0.135719,0.013887
21.0,4150337,586950.000000,0.141422,0.013728
21.5,4182147,761787.500000,0.182152,0.013680
22.0,2812539,714762.500000,0.254134,0.016634
22.5,3499727,680937.500000,0.194569,0.014929
23.0,2999491,863162.500000,0.287770,0.016082
23.5,2901879,916300.000000,0.315761,0.016353
24.0,2330443,735100.000000,0.315434,0.018220
24.5,2574214,966212.500000,0.375343,0.017329
25.0,1895650,835000.000000,0.440482,0.020142
25.5,1868856,619112.500000,0.331279,0.020325
26.0,1437284,488500.000000,0.339877,0.023112
26.5,1568278,654262.500000,0.417185,0.022132
27.0,1211094,597912.500000,0.493696,0.025135
27.5,1380261,698450.000000,0.506027,0.023534
28.0,962398,474412.500000,0.492948,0.028121
28.5,1071369,489900.000000,0.457265,0.026654
29.0,762953,358087.500000,0.469344,0.031526
29.5,858622,498150.000000,0.580174,0.029741
30.0,429500,264787.500000,0.616502,0.041961
30.5,659589,407400.000000,0.617657,0.033844
31.0,450066,284200.000000,0.631463,0.040843
31.5,368815,242525.000000,0.657579,0.045116
32.0,304449,183950.000000,0.604206,0.049632
32.5,382138,263725.000000,0.690130,0.044342
33.0,119073,95025.000000,0.798040,0.078844
33.5,254166,182500.000000,0.718035,0.054240
34.0,77199,67237.500000,0.870963,0.098176
34.5,191623,135562.500000,0.707444,0.062314
35.0,35506,29537.500000,0.831902,0.144276
35.5,128408,117862.500000,0.917875,0.076023
36.0,32068,37462.500000,1.168221,0.151430
36.5,74336,66500.000000,0.894587,0.099777
37.0,19100,16600.000000,0.869110,0.196092
37.5,48627,49687.500000,1.021809,0.122982
38.0,9961,7000.000000,0.702741,0.270698
38.5,29483,26037.500000,0.883136,0.158242
39.0,18158,18737.500000,1.033003,0.199941
39.5,7606,7850.000000,1.033441,0.309702
40.0,8233,11237.500000,1.366398,0.299940
40.5,4213,12075.000000,2.876924,0.823186
41.0,4703,18975.000000,4.093243,0.788691
41.5,2172,11350.000000,5.341746,1.152596
42.0,2498,8750.000000,3.531476,1.067343
42.5,1257,2650.000000,2.223222,1.481288
43.0,1188,2225.000000,1.983069,1.569796
43.5,598,4125.000000,7.171902,2.181797
44.0,615,9325.000000,15.531277,3.158080
44.5,292,187.500000,0.405814,4.670498
45.0,304,1650.000000,4.908392,4.655892
45.5,133,-225.000000,-1.180266,6.776427
46.0,191,450.000000,2.343559,6.191038
46.5,16,600.000000,37.500000,22.723499
47.0,79,525.000000,6.714409,8.667717
47.5,6,-112.500000,-6.250000,31.145659
48.0,42,-400.000000,-10.002692,16.681684
49.0,10,200.000000,24.125000,27.756313
50.0,4,350.000000,112.500000,3.608439
51.0,3,300.000000,100.000000,0.000000
