TrueCount,HandsPlayed,TotalPayout,EV,StdError
-10.5,5,25.000000,5.000000,10.954451
-10.0,3,0.000000,0.000000,11.785113
-9.5,15,100.000000,6.666667,7.252075
-9.0,26,-250.000000,-9.615385,5.578071
-8.5,59,-37.500000,-0.635593,3.841981
-8.0,136,-875.000000,-6.433824,2.490064
-7.5,332,-650.000000,-1.957831,1.668502
-7.0,790,-687.500000,-0.870253,1.040602
-6.5,1689,-2100.000000,-1.243339,0.705113
-6.0,3667,-3625.000000,-0.988546,0.474948
-5.5,8041,-7012.500000,-0.872093,0.323940
-5.0,17529,-23550.000000,-1.343488,0.217876
-4.5,36785,-39700.000000,-1.079244,0.149995
-4.0,85377,-78737.500000,-0.922233,0.098543
-3.5,186143,-143712.500000,-0.772054,0.066462
-3.0,275690,-193187.500000,-0.700742,0.054627
-2.5,635123,-388612.500000,-0.611870,0.035840
-2.0,1237521,-615625.000000,-0.497466,0.025647
-1.5,2214954,-1005025.000000,-0.453745,0.019127
-1.0,4172208,-1557800.000000,-0.373375,0.013923
-0.5,6891039,-2335225.000000,-0.338879,0.010837
0.0,61307956,-8146437.500000,-0.132877,0.003606
0.5,12895621,-3890187.500000,-0.301667,0.007903
1.0,14202288,-3042787.500000,-0.214246,0.007514
1.5,13800810,-3082112.500000,-0.223328,0.007619
2.0,15008051,-3070600.000000,-0.204597,0.007309
2.5,12941454,-2786737.500000,-0.215334,0.007873
3.0,14834292,-2819512.500000,-0.190067,0.007346
3.5,14174415,-2771412.500000,-0.195522,0.007518
4.0,14594079,-2603200.000000,-0.178374,0.007402
4.5,13383633,-2612550.000000,-0.195205,0.007735
5.0,11907153,-2070125.000000,-0.173856,0.008193
5.5,13306644,-2241512.500000,-0.168451,0.007752
6.0,11813460,-2071362.500000,-0.175339,0.008228
6.5,11480957,-1936525.000000,-0.168673,0.008345
7.0,11815975,-2394087.500000,-0.202614,0.008227
7.5,10829495,-1638350.000000,-0.151286,0.008588
8.0,11003318,-1576400.000000,-0.143266,0.008520
8.5,9601563,-1738025.000000,-0.181015,0.009127
9.0,10540516,-1438350.000000,-0.136459,0.008702
9.5,9807815,-1388262.500000,-0.141547,0.009022
10.0,9463204,-1891675.000000,-0.199898,0.009199
10.5,9479026,-1156787.500000,-0.122037,0.009170
11.0,9416307,-1242050.000000,-0.131904,0.009203
11.5,9005650,-1384787.500000,-0.153769,0.009420
12.0,8264954,-1240537.500000,-0.150096,0.009828
12.5,7749732,-1066937.500000,-0.137674,0.010139
13.0,9394556,-1418675.000000,-0.151010,0.009218
13.5,7297719,-1062287.500000,-0.145564,0.010458
14.0,7684550,-1092175.000000,-0.142126,0.010178
14.5,8117361,-1415537.500000,-0.174384,0.009922
15.0,7040017,-1053275.000000,-0.149613,0.010642
15.5,6847673,-911787.500000,-0.133153,0.010789
16.0,6934781,-911900.000000,-0.131497,0.010719
16.5,7316229,-1216812.500000,-0.166317,0.010449
17.0,5821659,-383612.500000,-0.065894,0.011677
