TrueCount,HandsPlayed,TotalPayout,EV,StdError
-49.0,1,-25.000000,-25.000000,0.000000
-45.0,1,25.000000,25.000000,0.000000
-44.5,1,25.000000,25.000000,0.000000
-44.0,3,-25.000000,-8.333333,13.608276
-43.5,1,25.000000,25.000000,0.000000
-43.0,3,25.000000,8.333333,13.608276
-42.5,2,50.000000,25.000000,0.000000
-41.5,3,-50.000000,-16.666667,18.002057
-41.0,7,-150.000000,-21.428571,9.352195
-40.5,6,125.000000,20.833333,13.714179
-40.0,10,-50.000000,-5.000000,9.874209
-39.5,4,-75.000000,-18.750000,20.491995
-39.0,19,-250.000000,-13.157895,5.991806
-38.5,35,-137.500000,-3.928571,5.070207
-38.0,10,0.000000,0.000000,12.247449
-37.5,45,100.000000,2.222222,4.501181
-37.0,38,-550.000000,-14.473684,4.617613
-36.5,98,-650.000000,-6.632653,3.212686
-36.0,75,-150.000000,-2.000000,3.674537
-35.5,203,-937.500000,-4.618227,2.151907
-35.0,79,-12.500000,-0.158228,3.520302
-34.5,325,-1287.500000,-3.961538,1.686334
-34.0,190,-575.000000,-3.026316,2.152898
-33.5,485,-712.500000,-1.469072,1.412668
-33.0,296,-1562.500000,-5.278716,1.702970
-32.5,856,-2812.500000,-3.285631,1.051590
-32.0,786,-2575.000000,-3.276081,1.044305
-31.5,1075,-3675.000000,-3.418605,0.922760
-31.0,1383,-3062.500000,-2.214389,0.814934
-30.5,2091,-5275.000000,-2.522716,0.655098
-30.0,1538,-3475.000000,-2.259428,0.763363
-29.5,3292,-10600.000000,-3.219927,0.521067
-29.0,3335,-9075.000000,-2.721139,0.525165
-28.5,5055,-12675.000000,-2.507418,0.417739
-28.0,5022,-16475.000000,-3.280566,0.421599
-27.5,7835,-19925.000000,-2.543076,0.337931
-27.0,7759,-20312.500000,-2.617928,0.338641
-26.5,10899,-23775.000000,-2.181393,0.286058
-26.0,10813,-19262.500000,-1.781421,0.286359
-25.5,16006,-39000.000000,-2.436586,0.234776
-25.0,18040,-30387.500000,-1.684451,0.221395
-24.5,27147,-69950.000000,-2.576712,0.179927
-24.0,26461,-59350.000000,-2.242924,0.182548
-23.5,39064,-86650.000000,-2.218155,0.150068
-23.0,42690,-84700.000000,-1.984071,0.143253
-22.5,60146,-122912.500000,-2.043569,0.120311
-22.0,50427,-91987.500000,-1.824172,0.131470
-21.5,89446,-173225.000000,-1.936643,0.098512
-21.0,97698,-159575.000000,-1.633350,0.093734
-20.5,108241,-204350.000000,-1.887917,0.089319
-20.0,125231,-203937.500000,-1.628491,0.083000
-19.5,190188,-314787.500000,-1.655139,0.067252
-19.0,171956,-270437.500000,-1.572713,0.070516
-18.5,222834,-350425.000000,-1.572583,0.061890
-18.0,245982,-375425.000000,-1.526230,0.058873
-17.5,386398,-582500.000000,-1.507513,0.046898
-17.0,275549,-393087.500000,-1.426561,0.055481
-16.5,501938,-680800.000000,-1.356343,0.041079
-16.0,480452,-634650.000000,-1.320944,0.041956
-15.5,579389,-779050.000000,-1.344606,0.038152
-15.0,627214,-744850.000000,-1.187553,0.036607
-14.5,898273,-1012250.000000,-1.126885,0.030574
-14.0,836801,-959200.000000,-1.146270,0.031643
-13.5,1027768,-1108000.000000,-1.078064,0.028494
-13.0,1528403,-1610475.000000,-1.053698,0.023357
-12.5,1295041,-1295937.500000,-1.000692,0.025350
-12.0,1588107,-1550512.500000,-0.976327,0.022861
-11.5,1936787,-1757075.000000,-0.907211,0.020676
-11.0,2146705,-1842625.000000,-0.858350,0.019620
-10.5,2383503,-2018500.000000,-0.846863,0.018611
-10.0,2981576,-2295137.500000,-0.769773,0.016602
-9.5,3049937,-2315087.500000,-0.759061,0.016397
-9.0,3682504,-2610350.000000,-0.708852,0.014921
-8.5,4156150,-2847712.500000,-0.685180,0.014026
-8.0,4568800,-2839925.000000,-0.621591,0.013359
