TrueCount,HandsPlayed,TotalPayout,EV,StdError
-8.0,4,-75.000000,-18.750000,13.621559
-7.5,14,-162.500000,-11.607143,8.228277
-7.0,38,-387.500000,-10.197368,4.875867
-6.5,153,-50.000000,-0.326797,2.222305
-6.0,420,-725.000000,-1.726190,1.361258
-5.5,1450,-3912.500000,-2.698276,0.765614
-5.0,3937,-8487.500000,-2.155829,0.470864
-4.5,9462,-13800.000000,-1.458465,0.302041
-4.0,28508,-42837.500000,-1.502648,0.173453
-3.5,75701,-76125.000000,-1.005601,0.105558
-3.0,178906,-169637.500000,-0.948193,0.068459
-2.5,465379,-407250.000000,-0.875093,0.042248
-2.0,1164893,-849087.500000,-0.728897,0.026605
-1.5,3173753,-1826375.000000,-0.575462,0.016025
-1.0,7926988,-3323862.500000,-0.419310,0.010097
-0.5,16052628,-5909637.500000,-0.368141,0.007081
0.0,62572017,-8430300.000000,-0.134730,0.003558
0.5,27875566,-7754787.500000,-0.278193,0.005356
1.0,28743984,-5700162.500000,-0.198308,0.005262
1.5,26709033,-4772750.000000,-0.178694,0.005454
2.0,25851329,-4142350.000000,-0.160237,0.005544
2.5,22337336,-3085925.000000,-0.138151,0.005968
3.0,20207290,-1984650.000000,-0.098215,0.006274
3.5,19482971,-1616737.500000,-0.082982,0.006388
4.0,17816380,-1090537.500000,-0.061210,0.006671
4.5,14343957,-221262.500000,-0.015425,0.007426
5.0,13503889,413087.500000,0.030590,0.007643
5.5,12114228,610975.000000,0.050434,0.008061
6.0,9723787,862525.000000,0.088703,0.008979
6.5,7718458,1141312.500000,0.147868,0.010061
7.0,7022374,1263750.000000,0.179961,0.010534
7.5,5613676,1377175.000000,0.245325,0.011767
8.0,4203445,1110762.500000,0.264251,0.013572
8.5,3243132,974175.000000,0.300381,0.015419
9.0,2693247,939687.500000,0.348905,0.016899
9.5,1800333,710037.500000,0.394392,0.020626
10.0,1380114,646900.000000,0.468729,0.023518
10.5,1041825,527075.000000,0.505915,0.027024
11.0,628219,286725.000000,0.456409,0.034725
11.5,436141,228400.000000,0.523684,0.041633
12.0,288213,203387.500000,0.705685,0.050982
12.5,168147,113537.500000,0.675228,0.066790
13.0,112133,83925.000000,0.748442,0.081608
13.5,57559,53237.500000,0.924921,0.113764
14.0,40543,32275.000000,0.796068,0.135035
14.5,19554,11975.000000,0.612407,0.194975
15.0,9038,7250.000000,0.802169,0.324032
15.5,6393,13275.000000,2.076490,0.675728
16.0,2258,5025.000000,2.225421,1.142543
16.5,984,2275.000000,2.311992,1.994303
17.0,663,-675.000000,-1.018100,3.124462
17.5,165,1312.500000,7.954545,6.353790
18.0,79,25.000000,0.316456,12.873904
18.5,48,-100.000000,-2.083333,14.505621
19.0,7,-200.000000,-28.571429,33.284707
19.5,2,-125.000000,-62.500000,44.194174
20.0,2,125.000000,62.500000,44.194174
20.5,2,375.000000,187.500000,44.194174
