TrueCount,HandsPlayed,TotalPayout,EV,StdError
-77.0,2,0.000000,0.000000,0.000000
-74.5,5,-50.000000,-10.000000,13.416408
-73.5,2,-75.000000,-37.500000,8.838835
-73.0,1,-25.000000,-25.000000,0.000000
-72.5,2,0.000000,0.000000,35.355339
-72.0,6,-175.000000,-29.166667,7.013545
-71.0,6,-75.000000,-12.500000,12.842529
-70.0,2,0.000000,0.000000,17.677670
-69.5,26,-500.000000,-19.230769,5.657196
-68.5,19,-100.000000,-5.263158,7.576696
-68.0,6,0.000000,0.000000,14.433757
-67.0,54,-950.000000,-17.592593,4.470872
-66.5,4,25.000000,6.250000,16.237976
-66.0,31,-375.000000,-12.096774,6.830694
-65.5,26,-475.000000,-18.269231,5.363574
-65.0,11,-100.000000,-9.090909,9.244569
-64.5,97,-1375.000000,-14.175258,3.217156
-64.0,78,-675.000000,-8.653846,4.024368
-63.5,48,-700.000000,-14.583333,4.590036
-63.0,31,-550.000000,-17.741935,5.125068
-62.5,17,-125.000000,-7.352941,7.430388
-62.0,215,-2187.500000,-10.174419,2.312871
-61.5,157,-2000.000000,-12.738854,2.493631
-61.0,85,-1450.000000,-17.058824,3.118528
-60.5,107,-1200.000000,-11.214953,3.086123
-60.0,21,-225.000000,-10.714286,7.636035
-59.5,397,-4525.000000,-11.397985,1.622656
-59.0,433,-3962.500000,-9.151270,1.576679
-58.5,98,-837.500000,-8.545918,3.284764
-58.0,160,-1250.000000,-7.812500,2.432562
-57.5,34,-300.000000,-8.823529,5.684385
-57.0,718,-7462.500000,-10.393454,1.187501
-56.5,1071,-8175.000000,-7.633053,0.985978
-56.0,331,-2787.500000,-8.421450,1.786841
-55.5,114,-900.000000,-7.894737,2.897988
-55.0,10,-125.000000,-12.500000,10.752907
-54.5,2865,-25062.500000,-8.747818,0.607004
-54.0,1201,-9550.000000,-7.951707,0.931268
-53.5,80,-800.000000,-10.000000,3.579455
-52.0,7730,-65137.500000,-8.426585,0.362485
-50.5,368,-3100.000000,-8.423913,1.644832
-50.0,4111,-24737.500000,-6.017392,0.503554
-49.5,9376,-66925.000000,-7.137905,0.328286
-49.0,263,-1400.000000,-5.323194,1.942460
-48.5,1296,-10075.000000,-7.773920,0.871518
-48.0,3758,-26037.500000,-6.928552,0.517146
-47.5,11331,-69612.500000,-6.143544,0.300430
-47.0,8193,-49412.500000,-6.031063,0.350769
-46.5,1672,-9837.500000,-5.883672,0.774002
