TrueCount,HandsPlayed,TotalPayout,EV,StdError
-4.0,2,25.000000,12.500000,26.516504
-3.5,12,-50.000000,-4.166667,7.701761
-3.0,109,37.500000,0.344037,2.696582
-2.5,994,-850.000000,-0.855131,0.908688
-2.0,8144,675.000000,0.082883,0.315981
-1.5,57849,-26325.000000,-0.455064,0.117781
-1.0,427809,-128275.000000,-0.299842,0.043257
-0.5,3153243,-777312.500000,-0.246512,0.015889
0.0,28381504,-5193787.500000,-0.182999,0.005282
0.5,18078615,-3624900.000000,-0.200508,0.006622
1.0,17741163,-3536112.500000,-0.199317,0.006682
1.5,16762822,-3427550.000000,-0.204473,0.006877
2.0,17318293,-3289437.500000,-0.189940,0.006763
2.5,16626823,-3400987.500000,-0.204548,0.006900
3.0,15570930,-2947812.500000,-0.189315,0.007132
3.5,15347291,-2965025.000000,-0.193195,0.007184
4.0,14761534,-2499400.000000,-0.169318,0.007325
4.5,14347407,-2464225.000000,-0.171754,0.007430
5.0,13666216,-2137100.000000,-0.156378,0.007613
5.5,13088940,-2474050.000000,-0.189018,0.007776
6.0,13104122,-2170512.500000,-0.165636,0.007774
6.5,12358174,-2208625.000000,-0.178718,0.008000
7.0,11978256,-2050725.000000,-0.171204,0.008128
7.5,11591953,-1915712.500000,-0.165262,0.008261
8.0,11123750,-1927225.000000,-0.173253,0.008430
8.5,10823984,-1764675.000000,-0.163034,0.008547
9.0,9934451,-1364162.500000,-0.137316,0.008919
9.5,9603780,-1374812.500000,-0.143153,0.009069
10.0,8764366,-984987.500000,-0.112385,0.009486
10.5,8410730,-815775.000000,-0.096992,0.009681
11.0,7542328,-414400.000000,-0.054943,0.010216
11.5,6792721,-588687.500000,-0.086664,0.010757
12.0,5968581,-347812.500000,-0.058274,0.011468
12.5,5055509,-152387.500000,-0.030143,0.012451
13.0,4406887,35637.500000,0.008087,0.013321
13.5,3513264,90525.000000,0.025767,0.014909
14.0,2863990,105037.500000,0.036675,0.016492
14.5,2207515,150262.500000,0.068069,0.018777
15.0,1701474,141412.500000,0.083112,0.021361
15.5,1229364,162112.500000,0.131867,0.025100
16.0,868898,154525.000000,0.177840,0.029820
16.5,594206,124150.000000,0.208934,0.035996
17.0,393089,89337.500000,0.227270,0.044265
17.5,242667,85362.500000,0.351768,0.056195
18.0,155960,48512.500000,0.311057,0.070076
18.5,91755,16812.500000,0.183233,0.091228
19.0,52265,25150.000000,0.481202,0.120734
19.5,28047,8287.500000,0.295486,0.164742
20.0,14898,6625.000000,0.444691,0.226210
20.5,7207,-225.000000,-0.031220,0.324676
21.0,3175,2350.000000,0.740157,0.483064
21.5,1813,1012.500000,0.558467,0.639732
22.0,784,1062.500000,1.355230,0.964543
22.5,327,225.000000,0.688073,1.516100
23.0,116,762.500000,6.573276,2.753486
23.5,55,-225.000000,-4.090909,3.817296
24.0,20,-87.500000,-4.375000,6.689252
24.5,8,212.500000,26.562500,4.654834
25.0,2,50.000000,25.000000,0.000000
25.5,1,0.000000,0.000000,0.000000
