TrueCount,HandsPlayed,TotalPayout,EV,StdError
-6.0,1,-25.000000,-25.000000,0.000000
-5.5,18,-187.500000,-10.416667,6.230680
-5.0,70,-400.000000,-5.714286,3.221081
-4.5,230,-212.500000,-0.923913,1.907402
-4.0,901,550.000000,0.610433,0.949077
-3.5,3170,-2525.000000,-0.796530,0.510051
-3.0,11187,-6137.500000,-0.548628,0.272091
-2.5,40935,-15750.000000,-0.384756,0.142013
-2.0,128556,-65350.000000,-0.508339,0.079947
-1.5,431183,-152712.500000,-0.354171,0.043547
-1.0,1445908,-396487.500000,-0.274214,0.023741
-0.5,3970405,-1000075.000000,-0.251882,0.014318
0.0,25207990,-4752700.000000,-0.188539,0.005666
0.5,11142067,-2484112.500000,-0.222949,0.008532
1.0,11908416,-2490225.000000,-0.209115,0.008250
1.5,11692247,-2585862.500000,-0.221160,0.008324
2.0,11835749,-2347737.500000,-0.198360,0.008273
2.5,11710608,-2419725.000000,-0.206627,0.008317
3.0,11313384,-2363562.500000,-0.208917,0.008462
3.5,11056236,-2215300.000000,-0.200367,0.008558
4.0,10849187,-2277012.500000,-0.209879,0.008641
4.5,10607180,-2218537.500000,-0.209154,0.008740
5.0,10217620,-2071650.000000,-0.202753,0.008904
5.5,9964606,-1893612.500000,-0.190034,0.009017
6.0,9971371,-1928700.000000,-0.193424,0.009015
6.5,9589914,-1715750.000000,-0.178912,0.009187
7.0,9337034,-1757862.500000,-0.188268,0.009311
7.5,9260503,-1885862.500000,-0.203646,0.009351
8.0,8934108,-1660737.500000,-0.185887,0.009519
8.5,8884709,-1739937.500000,-0.195835,0.009543
9.0,8574929,-1641775.000000,-0.191462,0.009713
9.5,8327520,-1699525.000000,-0.204085,0.009859
10.0,8306822,-1698762.500000,-0.204502,0.009871
10.5,8049888,-1590062.500000,-0.197526,0.010029
11.0,7969907,-1426387.500000,-0.178972,0.010076
11.5,7748104,-1485800.000000,-0.191763,0.010222
12.0,7619539,-1511950.000000,-0.198431,0.010306
12.5,7362639,-1422337.500000,-0.193183,0.010486
13.0,7341522,-1346962.500000,-0.183472,0.010500
13.5,7106860,-1207087.500000,-0.169848,0.010671
14.0,7052716,-1354937.500000,-0.192116,0.010712
14.5,6793572,-1250512.500000,-0.184073,0.010914
15.0,6782901,-1218762.500000,-0.179682,0.010921
15.5,6629222,-1300362.500000,-0.196156,0.011049
16.0,6444567,-1155412.500000,-0.179285,0.011203
16.5,6437365,-1225050.000000,-0.190303,0.011207
17.0,6213032,-1255612.500000,-0.202093,0.011413
17.5,6211215,-1008050.000000,-0.162295,0.011407
18.0,6027850,-1127862.500000,-0.187109,0.011584
18.5,5931425,-939537.500000,-0.158400,0.011681
19.0,5835710,-1006675.000000,-0.172503,0.011775
19.5,5706534,-1059037.500000,-0.185583,0.011903
20.0,5605678,-893912.500000,-0.159466,0.012011
20.5,5673227,-1101787.500000,-0.194208,0.011940
21.0,5326289,-867700.000000,-0.162909,0.012322
21.5,5308096,-873637.500000,-0.164586,0.012345
22.0,5384199,-935412.500000,-0.173733,0.012257
22.5,4982087,-814187.500000,-0.163423,0.012741
23.0,5141779,-924662.500000,-0.179833,0.012541
23.5,4995437,-878512.500000,-0.175863,0.012723
24.0,4975789,-908412.500000,-0.182567,0.012747
24.5,4817561,-776050.000000,-0.161088,0.012955
25.0,4718901,-794562.500000,-0.168379,0.013093
25.5,4972781,-883500.000000,-0.177667,0.012746
26.0,4026576,-749762.500000,-0.186203,0.014177
26.5,4816681,-729437.500000,-0.151440,0.012952
27.0,4427877,-848800.000000,-0.191695,0.013515
27.5,4378625,-782500.000000,-0.178709,0.013587
28.0,4376375,-701000.000000,-0.160178,0.013593
28.5,4246515,-656262.500000,-0.154541,0.013800
29.0,4134086,-792475.000000,-0.191693,0.013989
29.5,4098387,-661487.500000,-0.161402,0.014041
30.0,4178680,-763887.500000,-0.182806,0.013909
30.5,4006865,-685800.000000,-0.171156,0.014200
31.0,3817641,-679387.500000,-0.177960,0.014555
31.5,4054183,-675225.000000,-0.166550,0.014124
32.0,3812391,-687200.000000,-0.180254,0.014556
32.5,3772577,-557112.500000,-0.147674,0.014639
33.0,3735517,-633212.500000,-0.169511,0.014711
33.5,3699591,-670375.000000,-0.181202,0.014789
34.0,3630833,-559200.000000,-0.154014,0.014922
34.5,3350924,-514800.000000,-0.153629,0.015526
35.0,3751648,-521350.000000,-0.138966,0.014681
35.5,3371134,-526712.500000,-0.156242,0.015489
36.0,3476393,-469062.500000,-0.134928,0.015265
36.5,3408219,-501262.500000,-0.147075,0.015427
37.0,3367459,-601862.500000,-0.178729,0.015538
37.5,3175543,-562075.000000,-0.177001,0.015997
38.0,3270723,-563737.500000,-0.172359,0.015762
38.5,3207405,-492687.500000,-0.153609,0.015927
39.0,3032071,-403175.000000,-0.132970,0.016360
39.5,3181380,-422225.000000,-0.132718,0.015988
40.0,3034395,-406825.000000,-0.134071,0.016364
40.5,2970324,-414637.500000,-0.139593,0.016538
41.0,2933969,-407012.500000,-0.138724,0.016644
41.5,2947892,-334937.500000,-0.113619,0.016595
42.0,2736779,-396050.000000,-0.144714,0.017225
42.5,2848803,-345150.000000,-0.121156,0.016883
43.0,2696059,-289687.500000,-0.107449,0.017353
43.5,2721076,-399387.500000,-0.146776,0.017266
44.0,2650607,-217225.000000,-0.081953,0.017489
44.5,2612232,-203362.500000,-0.077850,0.017616
45.0,2452157,-429925.000000,-0.175325,0.033103
45.5,2478938,-618925.000000,-0.249673,0.036144
46.0,2364359,-451650.000000,-0.191024,0.037011
46.5,2350844,-427275.000000,-0.181754,0.037100
47.0,2327985,-279850.000000,-0.120211,0.037263
47.5,2133501,-213250.000000,-0.099953,0.038923
48.0,2061334,-141850.000000,-0.068815,0.039559
48.5,2073313,-55650.000000,-0.026841,0.039470
49.0,2101108,-219887.500000,-0.104653,0.057028
49.5,1927771,-39300.000000,-0.020386,0.061327
50.0,1745852,355387.500000,0.203561,0.064331
50.5,1408355,178725.000000,0.126903,0.071676
51.0,2280279,-430312.500000,-0.188710,0.056417
51.5,1514639,526987.500000,0.347929,0.068939
52.0,1180435,124687.500000,0.105628,0.078174
52.5,1335010,429825.000000,0.321964,0.077191
53.0,1940083,699550.000000,0.360577,0.081358
53.5,1011021,391900.000000,0.387628,0.112513
54.0,1065752,605950.000000,0.568566,0.109406
54.5,1108451,829550.000000,0.748387,0.107252
55.0,1141486,631450.000000,0.553182,0.105767
55.5,1047118,911900.000000,0.870867,0.110393
56.0,806403,708050.000000,0.878035,0.125563
56.5,772430,773850.000000,1.001838,0.134380
57.0,773250,782812.500000,1.012367,0.160126
57.5,708716,919000.000000,1.296711,0.167113
58.0,674347,842437.500000,1.249264,0.171251
58.5,551622,742187.500000,1.345464,0.189067
59.0,464998,680625.000000,1.463716,0.205954
59.5,474958,636812.500000,1.340776,0.203387
60.0,410145,735375.000000,1.792963,0.219262
60.5,434315,756187.500000,1.741104,0.235642
61.0,300211,594825.000000,1.981356,0.306672
61.5,294140,764475.000000,2.599017,0.309954
62.0,257278,798525.000000,3.103744,0.330833
62.5,225464,584250.000000,2.591323,0.353436
63.0,206005,557250.000000,2.705031,0.370204
63.5,159604,441150.000000,2.764028,0.419088
64.0,141692,561000.000000,3.959292,0.444544
64.5,126414,449637.500000,3.556865,0.517639
65.0,113409,328737.500000,2.898690,0.578928
65.5,102025,261012.500000,2.558319,0.610881
66.0,73997,328300.000000,4.436666,0.713644
66.5,66217,343262.500000,5.183903,0.756927
67.0,50019,230300.000000,4.604250,0.871231
67.5,49467,242375.000000,4.899731,0.875423
68.0,41480,189525.000000,4.569069,0.955073
68.5,30851,221175.000000,7.169136,1.240993
69.0,26520,157200.000000,5.927602,1.366490
69.5,22998,96100.000000,4.178624,1.461882
70.0,14476,81900.000000,5.657640,1.835662
70.5,17126,109600.000000,6.399626,1.691618
71.0,11407,68500.000000,6.005085,2.067305
71.5,7841,73200.000000,9.335544,2.493416
72.0,8120,60400.000000,7.438424,2.449565
72.5,5468,46462.500000,8.497165,3.359833
73.0,5331,51075.000000,9.580754,3.358050
73.5,3483,19912.500000,5.717054,4.214096
74.0,2564,14062.500000,5.484594,4.878201
74.5,2339,23737.500000,10.148568,5.171310
75.0,1670,15750.000000,9.431138,6.025432
75.5,1621,33412.500000,20.612276,6.186710
76.0,903,1075.000000,1.190476,8.401644
76.5,683,13875.000000,20.314788,10.201339
77.0,666,10750.000000,16.141141,10.488526
77.5,355,-875.000000,-2.464789,14.367155
78.0,417,7125.000000,17.086331,13.382903
78.5,192,1875.000000,9.765625,19.507669
79.0,204,8875.000000,43.504902,18.988072
79.5,105,-750.000000,-7.142857,26.018296
80.0,73,100.000000,1.369863,30.511721
80.5,99,550.000000,5.555556,28.458275
81.0,37,962.500000,26.013514,43.286450
81.5,43,1237.500000,28.779070,45.572894
82.0,31,-137.500000,-4.435484,49.979016
82.5,17,550.000000,32.352941,60.016027
83.0,19,-275.000000,-14.473684,62.165052
83.5,7,-275.000000,-39.285714,116.918027
84.0,4,-1175.000000,-293.750000,5.412659
84.5,3,0.000000,0.000000,141.421356
85.0,8,-450.000000,-56.250000,98.993963
85.5,3,-900.000000,-300.000000,141.421356
86.0,1,300.000000,300.000000,0.000000
