TrueCount,HandsPlayed,TotalPayout,EV,StdError
-32.0,1,-25.000000,-25.000000,0.000000
-30.5,1,25.000000,25.000000,0.000000
-28.0,2,25.000000,12.500000,26.516504
-27.5,5,-50.000000,-10.000000,13.416408
-27.0,1,-25.000000,-25.000000,0.000000
-26.5,1,25.000000,25.000000,0.000000
-26.0,3,50.000000,16.666667,18.002057
-25.5,7,-175.000000,-25.000000,5.050763
-25.0,18,-275.000000,-15.277778,4.866619
-24.5,31,-100.000000,-3.225806,5.067435
-24.0,39,-25.000000,-0.641026,4.901829
-23.5,83,62.500000,0.753012,2.899629
-23.0,116,187.500000,1.616379,2.593068
-22.5,193,-450.000000,-2.331606,2.115889
-22.0,261,-375.000000,-1.436782,1.844057
-21.5,409,-25.000000,-0.061125,1.419091
-21.0,676,-2025.000000,-2.995562,1.101919
-20.5,780,-687.500000,-0.881410,1.031524
-20.0,1287,-812.500000,-0.631313,0.804540
-19.5,1778,-3225.000000,-1.813836,0.673617
-19.0,2777,-3962.500000,-1.426900,0.550679
-18.5,4061,-4725.000000,-1.163507,0.452263
-18.0,5422,-6525.000000,-1.203430,0.389594
-17.5,8434,-3862.500000,-0.457968,0.312837
-17.0,10507,-16662.500000,-1.585848,0.279542
-16.5,15847,-17937.500000,-1.131918,0.227928
-16.0,21618,-17887.500000,-0.827435,0.194391
-15.5,29221,-24137.500000,-0.826033,0.167491
-15.0,41018,-29875.000000,-0.728339,0.141318
-14.5,54201,-29137.500000,-0.537582,0.122698
-14.0,75656,-57725.000000,-0.762993,0.103715
-13.5,98225,-61862.500000,-0.629804,0.091213
-13.0,134039,-91225.000000,-0.680586,0.077955
-12.5,169435,-109675.000000,-0.647298,0.069231
-12.0,230538,-155300.000000,-0.673642,0.059351
-11.5,293134,-187162.500000,-0.638488,0.052619
-11.0,386496,-249462.500000,-0.645447,0.045821
-10.5,488797,-266112.500000,-0.544423,0.040716
-10.0,618117,-282937.500000,-0.457741,0.036146
-9.5,795757,-422125.000000,-0.530470,0.031858
-9.0,981187,-472750.000000,-0.481814,0.028697
-8.5,1265917,-572550.000000,-0.452281,0.025233
-8.0,1559732,-637650.000000,-0.408820,0.022723
-7.5,1920982,-784612.500000,-0.408443,0.020465
-7.0,2360469,-931787.500000,-0.394747,0.018441
-6.5,2855180,-1022175.000000,-0.358007,0.016761
