TrueCount,HandsPlayed,TotalPayout,EV,StdError
-3.0,19,-150.000000,-7.894737,6.722804
-2.5,158,-412.500000,-2.610759,2.235031
-2.0,2085,-50.000000,-0.023981,0.638426
-1.5,27751,-14525.000000,-0.523405,0.171047
-1.0,370784,-202425.000000,-0.545938,0.046689
-0.5,5529791,-1618250.000000,-0.292642,0.012020
0.0,38909243,-6986525.000000,-0.179560,0.004517
0.5,37411420,-6978175.000000,-0.186525,0.004608
1.0,33601440,-5990575.000000,-0.178283,0.004861
1.5,31346287,-5404462.500000,-0.172412,0.005032
2.0,29237896,-5201912.500000,-0.177917,0.005210
2.5,27357146,-4924912.500000,-0.180023,0.005385
3.0,25459002,-4443212.500000,-0.174524,0.005582
3.5,24340822,-4046412.500000,-0.166240,0.005709
4.0,22530590,-3886462.500000,-0.172497,0.005932
4.5,21409370,-3573975.000000,-0.166935,0.006085
5.0,20186464,-3192637.500000,-0.158157,0.006266
5.5,18955920,-3194237.500000,-0.168509,0.006468
6.0,18068766,-2814162.500000,-0.155747,0.006623
6.5,17125919,-2733887.500000,-0.159634,0.006801
7.0,16279748,-2431262.500000,-0.149343,0.006977
7.5,15484835,-2395175.000000,-0.154679,0.007152
8.0,14713586,-2170062.500000,-0.147487,0.007337
8.5,13783573,-2092837.500000,-0.151836,0.007581
9.0,13625100,-2073550.000000,-0.152186,0.007623
9.5,12558114,-1643962.500000,-0.130908,0.007942
10.0,12441933,-1715712.500000,-0.137898,0.007979
10.5,11712186,-1669950.000000,-0.142582,0.008222
11.0,11185756,-1574225.000000,-0.140735,0.008414
11.5,10745758,-1332087.500000,-0.123964,0.008582
12.0,10302312,-1352012.500000,-0.131234,0.008766
12.5,9959999,-1318912.500000,-0.132421,0.008915
13.0,9307045,-1162862.500000,-0.124944,0.009217
13.5,9225705,-1306100.000000,-0.141572,0.009260
14.0,8785660,-1176625.000000,-0.133926,0.009489
14.5,8443658,-1067037.500000,-0.126371,0.009681
15.0,8155421,-1200500.000000,-0.147203,0.013678
15.5,7745671,-1701375.000000,-0.219655,0.020200
16.0,7338235,-1846050.000000,-0.251566,0.020753
16.5,7353288,-1887837.500000,-0.256734,0.026556
17.0,6624114,-1332225.000000,-0.201117,0.032743
17.5,6764159,-1664175.000000,-0.246028,0.032397
18.0,6206605,-1285475.000000,-0.207114,0.042330
18.5,5808630,-981200.000000,-0.168921,0.046562
19.0,5458842,-377000.000000,-0.069062,0.047969
19.5,5026398,244787.500000,0.048700,0.062007
20.0,4742544,816812.500000,0.172231,0.064229
20.5,4015653,1306987.500000,0.325473,0.071556
21.0,3809044,2708775.000000,0.711143,0.085795
21.5,3486676,2609400.000000,0.748392,0.089589
22.0,2787687,2664562.500000,0.955833,0.105868
22.5,2610543,4345950.000000,1.664769,0.120438
23.0,2098629,3458525.000000,1.647993,0.134060
23.5,1750185,4129125.000000,2.359251,0.158912
24.0,1392162,3518000.000000,2.527005,0.187605
24.5,1089641,3290800.000000,3.020077,0.211998
25.0,815510,3635450.000000,4.457885,0.267404
25.5,629236,2465437.500000,3.918144,0.313355
26.0,683256,3356325.000000,4.912251,0.299996
26.5,320797,2061875.000000,6.427351,0.485754
27.0,234361,1660875.000000,7.086823,0.567372
27.5,169566,1061100.000000,6.257740,0.674151
28.0,120418,954250.000000,7.924480,0.866821
28.5,82063,547250.000000,6.668657,1.049094
29.0,55462,696775.000000,12.563106,1.317342
29.5,34420,331050.000000,9.617955,1.761259
30.0,18796,196650.000000,10.462332,2.374703
30.5,13479,171275.000000,12.706803,2.939031
31.0,6542,119600.000000,18.281871,4.353167
31.5,3713,53950.000000,14.530030,5.747135
32.0,2188,31087.500000,14.208181,7.830368
32.5,1240,18375.000000,14.818548,10.709182
33.0,588,2250.000000,3.826531,15.371896
33.5,358,14062.500000,39.280726,21.513586
34.0,128,8812.500000,68.847656,34.656550
34.5,94,1037.500000,11.037234,44.026946
35.0,35,1200.000000,34.285714,70.675211
35.5,17,1400.000000,82.352941,92.723234
36.0,7,-775.000000,-110.714286,135.135716
36.5,3,425.000000,141.666667,231.340698
37.0,2,850.000000,425.000000,0.000000
