TrueCount,HandsPlayed,TotalPayout,EV,StdError
-28.0,2,0.000000,0.000000,17.677670
-27.5,1,25.000000,25.000000,0.000000
-27.0,7,12.500000,1.785714,9.592651
-26.5,3,25.000000,8.333333,13.608276
-26.0,29,-425.000000,-14.655172,4.802466
-25.5,21,-25.000000,-1.190476,6.405645
-25.0,47,25.000000,0.531915,3.871622
-24.5,57,-387.500000,-6.798246,3.537032
-24.0,99,-400.000000,-4.040404,3.060812
-23.5,172,-712.500000,-4.142442,2.128890
-23.0,268,175.000000,0.652985,1.871068
-22.5,349,-825.000000,-2.363897,1.588708
-22.0,544,-225.000000,-0.413603,1.307403
-21.5,866,-800.000000,-0.923788,1.021188
-21.0,1210,-3350.000000,-2.768595,0.865592
-20.5,1770,-1437.500000,-0.812147,0.707680
-20.0,2723,-4212.500000,-1.547007,0.573527
-19.5,3517,-5200.000000,-1.478533,0.502745
-19.0,5282,-12275.000000,-2.323930,0.405232
-18.5,7985,-14912.500000,-1.867564,0.327437
-18.0,9583,-15412.500000,-1.608317,0.300102
-17.5,14726,-21675.000000,-1.471886,0.243485
-17.0,21291,-33950.000000,-1.594570,0.200907
-16.5,28699,-48612.500000,-1.693874,0.173577
-16.0,37872,-56075.000000,-1.480645,0.150625
-15.5,52215,-71125.000000,-1.362156,0.127667
-15.0,69028,-93650.000000,-1.356696,0.111087
-14.5,93062,-121050.000000,-1.300746,0.095768
-14.0,122387,-149812.500000,-1.224088,0.083412
-13.5,168798,-196675.000000,-1.165150,0.070737
-13.0,211899,-254437.500000,-1.200749,0.063070
-12.5,287154,-329262.500000,-1.146641,0.054066
-12.0,365978,-368950.000000,-1.008121,0.047902
-11.5,469173,-507162.500000,-1.080971,0.042196
-11.0,607680,-605187.500000,-0.995898,0.037054
-10.5,781310,-706100.000000,-0.903739,0.032665
-10.0,1023152,-930825.000000,-0.909762,0.028465
-9.5,1221351,-1103275.000000,-0.903323,0.026021
-9.0,1558215,-1132487.500000,-0.726785,0.023020
-8.5,2008653,-1488025.000000,-0.740807,0.020253
-8.0,2480811,-1758837.500000,-0.708977,0.018196
-7.5,3078179,-2083025.000000,-0.676707,0.016318
-7.0,3768853,-2358262.500000,-0.625724,0.014728
-6.5,4711225,-2707662.500000,-0.574726,0.013152
-6.0,5723700,-3070437.500000,-0.536443,0.011918
-5.5,7170362,-3344650.000000,-0.466455,0.010638
-5.0,8740781,-4093262.500000,-0.468295,0.009621
