UserValue,DealerValue,TrueCount,Hit EV,Stand EV,Double EV,Split EV,Surrender EV,Insurance Accept EV,Insurance Decline EV,Hands Played
14,10,-36,-1.000000,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,2
14,10,-34,0.166667,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,6
14,10,-32,-0.421053,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,19
14,10,-30,-0.224490,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,49
14,10,-28,-0.116279,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,86
14,10,-26,-0.265537,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,177
14,10,-24,-0.281553,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,412
14,10,-22,-0.306122,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,784
14,10,-21,-1.000000,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,1
14,10,-20,-0.254610,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,1410
14,10,-19,-0.030303,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,33
14,10,-18,-0.292954,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,2427
14,10,-17,-0.244048,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,168
14,10,-16,-0.320553,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,4121
14,10,-15.5,1.000000,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,1
14,10,-15,-0.303406,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,969
14,10,-14.5,-1.000000,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,1
14,10,-14,-0.327108,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,7282
14,10,-13.5,-0.333333,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,3
14,10,-13,-0.311719,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,3840
14,10,-12.5,-0.750000,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,4
14,10,-12,-0.337267,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,15338
14,10,-11.5,-0.425926,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,54
14,10,-11,-0.328842,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,13137
14,10,-10.5,-0.295775,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,142
14,10,-10,-0.355477,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,33237
14,10,-9.5,-0.362003,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,779
14,10,-9,-0.346434,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,36180
14,10,-8.5,-0.335668,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,1856
14,10,-8,-0.360323,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,71608
14,10,-7.5,-0.370521,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,7646
14,10,-7,-0.376706,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,78637
14,10,-6.5,-0.379082,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,14667
14,10,-6,-0.389286,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,149407
14,10,-5.5,-0.401153,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,43694
14,10,-5,-0.403382,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,139984
14,10,-4.5,-0.411436,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,70898
14,10,-4,-0.414164,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,298138
14,10,-3.5,-0.422487,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,154045
14,10,-3,-0.424164,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,216289
14,10,-2.5,-0.432150,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,226995
14,10,-2,-0.439644,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,547802
14,10,-1.5,-0.446476,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,387031
14,10,-1,-0.451854,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,395595
14,10,-0.5,-0.457412,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,831170
14,10,0,-0.465276,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,861089
14,10,0.5,-0.471439,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,372612
14,10,1,-0.476582,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,310150
14,10,1.5,-0.483524,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,256070
14,10,2,-0.486990,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,410462
14,10,2.5,-0.497784,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,135408
14,10,3,-0.502628,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,177899
14,10,3.5,-0.499751,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,88422
14,10,4,-0.512508,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,215294
14,10,4.5,-0.525030,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,35817
14,10,5,-0.528023,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,109088
14,10,5.5,-0.533687,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,20943
14,10,6,-0.537543,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,105919
14,10,6.5,-0.548201,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,6224
14,10,7,-0.551107,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,55795
14,10,7.5,-0.535568,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,2924
14,10,8,-0.551325,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,49196
14,10,8.5,-0.508170,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,612
14,10,9,-0.572495,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,22912
14,10,9.5,-0.548000,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,250
14,10,10,-0.569884,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,22194
14,10,10.5,-0.511628,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,43
14,10,11,-0.608204,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,7435
14,10,11.5,-0.923077,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,13
14,10,12,-0.579776,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,9978
14,10,12.5,-1.000000,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,1
14,10,13,-0.594019,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,1973
14,10,13.5,1.000000,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,1
14,10,14,-0.596339,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,5190
14,10,15,-0.631696,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,448
14,10,16,-0.610619,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,2825
14,10,17,-0.620690,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,58
14,10,18,-0.614656,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,1583
14,10,19,-0.444444,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,9
14,10,20,-0.619100,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,911
14,10,22,-0.647948,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,463
14,10,24,-0.648000,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,250
14,10,26,-0.736842,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,95
14,10,28,-0.782609,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,46
14,10,30,-0.850000,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,20
14,10,32,-0.142857,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,7
14,10,34,-0.600000,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,5
15,9,-34,1.000000,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,1
15,9,-32,0.333333,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,6
15,9,-30,-1.000000,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,5
15,9,-28,-0.650000,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,20
15,9,-26,-0.361111,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,36
15,9,-24,-0.055556,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,72
15,9,-22,-0.337349,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,166
15,9,-20,-0.212963,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,324
15,9,-19,-0.666667,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,3
15,9,-18,-0.272189,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,507
15,9,-17,-0.214286,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,28
