TrueCount,Hit EV,Stand EV,Double EV,Split EV,Hands Played
-9.5,-14.285714,-10.714286,0.000000,0.000000,7
-9,-7.142857,3.571429,0.000000,0.000000,7
-8.5,-13.461538,-12.179487,0.000000,0.000000,39
-8,-13.750000,-2.500000,0.000000,0.000000,20
-7.5,-11.088710,-14.919355,0.000000,0.000000,124
-7,-9.722222,-15.476190,0.000000,0.000000,126
-6.5,-12.216625,-14.168766,0.000000,0.000000,397
-6,-10.941828,-14.889197,0.000000,0.000000,361
-5.5,-12.365591,-13.585608,0.000000,0.000000,1209
-5,-12.337662,-12.750885,0.000000,0.000000,1694
-4.5,-12.295448,-13.500446,0.000000,0.000000,3361
-4,-12.038294,-13.647474,0.000000,0.000000,3682
-3.5,-12.388586,-13.276801,0.000000,0.000000,8078
-3,-12.706249,-13.261366,0.000000,0.000000,11394
-2.5,-12.836773,-13.359587,0.000000,0.000000,18410
-2,-13.016324,-13.298562,0.000000,0.000000,26219
-1.5,-13.028248,-13.311592,0.000000,0.000000,40322
-1,-13.134702,-13.136484,0.000000,0.000000,56109
-0.5,-13.257111,-13.344541,0.000000,0.000000,81494
-0,-13.415317,-13.452626,0.000000,0.000000,101850
0.5,-30.234209,-30.192120,0.000000,0.000000,60587
1,-54.935204,-53.666691,0.000000,0.000000,41052
1.5,-105.890819,-101.335023,0.000000,0.000000,29007
2,-167.959778,-164.388153,0.000000,0.000000,18199
2.5,-218.771692,-215.708465,0.000000,0.000000,13254
3,-283.981458,-274.504249,0.000000,0.000000,7766
3.5,-401.750973,-398.213654,0.000000,0.000000,5654
4,-584.398571,-566.931322,0.000000,0.000000,2519
4.5,-728.450201,-680.571684,0.000000,0.000000,2239
5,-952.558140,-885.581395,0.000000,0.000000,1075
5.5,-1084.065934,-1009.890110,0.000000,0.000000,728
6,-1077.586207,-1379.310345,0.000000,0.000000,232
6.5,-1193.548387,-1145.161290,0.000000,0.000000,248
7,-1172.413793,-1402.298851,0.000000,0.000000,87
7.5,-918.032787,-1278.688525,0.000000,0.000000,61
8,-2000.000000,-2000.000000,0.000000,0.000000,9
8.5,-1600.000000,-400.000000,0.000000,0.000000,15
9,2000.000000,-2000.000000,0.000000,0.000000,2
9.5,-666.666667,-2000.000000,0.000000,0.000000,3
10,2000.000000,-2000.000000,0.000000,0.000000,1
10.5,-2000.000000,-2000.000000,0.000000,0.000000,2
11.5,-2000.000000,-2000.000000,0.000000,0.000000,1
