TrueCount,Hit EV,Stand EV,Double EV,Split EV,Hands Played
-11.5,-25.000000,-25.000000,0.000000,0.000000,2
-11,18.750000,-12.500000,0.000000,0.000000,4
-10.5,-12.500000,-12.500000,0.000000,0.000000,4
-10,-25.000000,-10.714286,0.000000,0.000000,7
-9.5,-10.833333,-18.333333,0.000000,0.000000,30
-9,-5.882353,-13.235294,0.000000,0.000000,17
-8.5,-8.177570,-11.915888,0.000000,0.000000,107
-8,-9.308511,-16.489362,0.000000,0.000000,94
-7.5,-10.876623,-14.772727,0.000000,0.000000,308
-7,-13.484252,-13.779528,0.000000,0.000000,254
-6.5,-11.379482,-12.699203,0.000000,0.000000,1004
-6,-10.288809,-12.364621,0.000000,0.000000,831
-5.5,-10.816647,-12.436199,0.000000,0.000000,2547
-5,-11.409783,-13.024919,0.000000,0.000000,2167
-4.5,-11.855539,-13.046622,0.000000,0.000000,5877
-4,-11.206739,-13.710859,0.000000,0.000000,5461
-3.5,-11.651431,-13.183625,0.000000,0.000000,12580
-3,-12.017851,-12.830730,0.000000,0.000000,12548
-2.5,-12.021168,-13.052107,0.000000,0.000000,24565
-2,-11.973760,-13.013625,0.000000,0.000000,27744
-1.5,-12.097903,-13.273648,0.000000,0.000000,45014
-1,-12.307090,-13.196978,0.000000,0.000000,61946
-0.5,-12.493078,-13.356923,0.000000,0.000000,77647
0,-12.605038,-13.547622,0.000000,0.000000,95323
0.5,-26.543287,-27.897281,0.000000,0.000000,63922
1,-52.145591,-54.292294,0.000000,0.000000,44941
1.5,-88.622278,-91.923965,0.000000,0.000000,35497
2,-154.093699,-159.232650,0.000000,0.000000,20043
2.5,-197.508155,-197.534891,0.000000,0.000000,18701
3,-259.295806,-259.150034,0.000000,0.000000,8918
3.5,-364.403588,-353.538598,0.000000,0.000000,9029
4,-552.681218,-529.506871,0.000000,0.000000,3711
4.5,-655.045199,-623.259223,0.000000,0.000000,4093
5,-899.371069,-865.129280,0.000000,0.000000,1431
5.5,-973.573201,-934.119107,0.000000,0.000000,1612
6,-1047.398844,-1215.799615,0.000000,0.000000,519
6.5,-1112.762520,-1115.993538,0.000000,0.000000,619
7,-1256.818182,-956.818182,0.000000,0.000000,176
7.5,-1276.923077,-1248.076923,0.000000,0.000000,208
8,-1255.813953,-883.720930,0.000000,0.000000,43
8.5,-1389.830508,-1050.847458,0.000000,0.000000,59
9,-2000.000000,-1272.727273,0.000000,0.000000,11
9.5,-1111.111111,-1111.111111,0.000000,0.000000,9
10,-1666.666667,-2000.000000,0.000000,0.000000,6
10.5,-2000.000000,-666.666667,0.000000,0.000000,3
