TrueCount,Hit EV,Stand EV,Double EV,Split EV,Hands Played
-2,25.000000,-25.000000,0.000000,0.000000,1
-1.5,-8.333333,-13.888889,0.000000,0.000000,9
-1,-3.571429,-8.928571,0.000000,0.000000,56
-0.5,-5.981375,-6.805158,0.000000,0.000000,698
0,-5.676431,-6.053166,0.000000,0.000000,5906
0.5,-5.992868,-5.672588,0.000000,0.000000,15143
1,-12.911893,-12.969182,0.000000,0.000000,12655
1.5,-22.785216,-22.494588,0.000000,0.000000,12473
2,-35.952642,-38.059974,0.000000,0.000000,10938
2.5,-57.242354,-67.578480,0.000000,0.000000,9907
3,-82.245550,-83.386581,0.000000,0.000000,8764
3.5,-103.769960,-110.181294,0.000000,0.000000,8329
4,-151.245937,-155.025882,0.000000,0.000000,8307
4.5,-202.052082,-203.012120,0.000000,0.000000,8333
5,-253.439981,-254.342074,0.000000,0.000000,8314
5.5,-331.097100,-349.432535,0.000000,0.000000,7930
6,-381.409110,-392.665474,0.000000,0.000000,7267
6.5,-397.289586,-467.253130,0.000000,0.000000,6309
7,-391.419492,-501.730226,0.000000,0.000000,5664
7.5,-440.757927,-473.240526,0.000000,0.000000,5172
8,-435.874439,-506.400326,0.000000,0.000000,4906
8.5,-428.174683,-476.474140,0.000000,0.000000,4969
9,-446.594982,-485.543608,0.000000,0.000000,5022
9.5,-434.385698,-488.398631,0.000000,0.000000,5258
10,-480.446927,-479.702048,0.000000,0.000000,5370
10.5,-414.984472,-507.763975,0.000000,0.000000,5152
11,-496.492595,-527.669525,0.000000,0.000000,5132
11.5,-427.800561,-477.012735,0.000000,0.000000,4633
12,-454.852728,-455.818445,0.000000,0.000000,4142
12.5,-390.752749,-436.989005,0.000000,0.000000,3547
13,-427.190936,-408.530490,0.000000,0.000000,3001
13.5,-355.981659,-387.661526,0.000000,0.000000,2399
14,-380.368098,-349.135527,0.000000,0.000000,1793
14.5,-376.701967,-263.237519,0.000000,0.000000,1322
15,-520.039101,-303.030303,0.000000,0.000000,1023
15.5,-394.088670,-390.804598,0.000000,0.000000,609
16,-539.215686,-352.941176,0.000000,0.000000,408
16.5,-300.000000,-166.666667,0.000000,0.000000,240
17,-442.953020,67.114094,0.000000,0.000000,149
17.5,-162.162162,-810.810811,0.000000,0.000000,74
18,-590.909091,272.727273,0.000000,0.000000,44
18.5,-470.588235,823.529412,0.000000,0.000000,17
19,571.428571,-857.142857,0.000000,0.000000,7
19.5,-1333.333333,-1333.333333,0.000000,0.000000,6
20,0.000000,666.666667,0.000000,0.000000,3
20.5,-2000.000000,-2000.000000,0.000000,0.000000,1
21,2000.000000,-2000.000000,0.000000,0.000000,1
