TrueCount,Hit EV,Stand EV,Double EV,Split EV,Hands Played
-20.5,-25.000000,25.000000,0.000000,0.000000,1
-18.5,-25.000000,25.000000,0.000000,0.000000,2
-17.5,-8.333333,-8.333333,0.000000,0.000000,3
-17,0.000000,-25.000000,0.000000,0.000000,2
-16.5,-15.000000,5.000000,0.000000,0.000000,5
-16,5.000000,5.000000,0.000000,0.000000,5
-15.5,-7.142857,-10.714286,0.000000,0.000000,14
-15,0.000000,-5.000000,0.000000,0.000000,5
-14.5,-4.347826,-11.956522,0.000000,0.000000,23
-14,-8.333333,-5.000000,0.000000,0.000000,15
-13.5,-11.585366,-3.048780,0.000000,0.000000,41
-13,-11.111111,-13.888889,0.000000,0.000000,27
-12.5,-6.884058,-11.231884,0.000000,0.000000,69
-12,-4.629630,-9.259259,0.000000,0.000000,54
-11.5,-5.033557,-5.201342,0.000000,0.000000,149
-11,-2.250000,-4.500000,0.000000,0.000000,100
-10.5,-4.347826,-9.782609,0.000000,0.000000,230
-10,-4.411765,-7.720588,0.000000,0.000000,136
-9.5,-7.177033,-6.578947,0.000000,0.000000,418
-9,-5.245902,-7.295082,0.000000,0.000000,305
-8.5,-7.126524,-7.774390,0.000000,0.000000,656
-8,-7.426304,-7.653061,0.000000,0.000000,441
-7.5,-4.610266,-8.412548,0.000000,0.000000,1052
-7,-6.616766,-7.694611,0.000000,0.000000,835
-6.5,-5.459770,-6.699940,0.000000,0.000000,1653
-6,-5.799848,-7.069750,0.000000,0.000000,1319
-5.5,-5.538982,-7.438345,0.000000,0.000000,2514
-5,-5.319149,-6.796690,0.000000,0.000000,2115
-4.5,-4.680111,-6.835883,0.000000,0.000000,3595
-4,-5.497667,-5.839813,0.000000,0.000000,3215
-3.5,-5.049380,-7.058482,0.000000,0.000000,5164
-3,-5.334951,-6.572816,0.000000,0.000000,5150
-2.5,-5.794592,-6.071000,0.000000,0.000000,7507
-2,-5.731261,-6.584400,0.000000,0.000000,8205
-1.5,-5.373679,-6.680853,0.000000,0.000000,10691
-1,-5.106944,-5.936144,0.000000,0.000000,12904
-0.5,-5.448580,-5.791021,0.000000,0.000000,13944
0,-5.757627,-5.668810,0.000000,0.000000,17733
0.5,-5.686275,-5.946292,0.000000,0.000000,17595
1,-11.510153,-14.079648,0.000000,0.000000,15217
1.5,-16.517894,-17.739613,0.000000,0.000000,12155
2,-43.301166,-40.070540,0.000000,0.000000,10207
2.5,-49.171318,-48.080647,0.000000,0.000000,8779
3,-85.315096,-84.194231,0.000000,0.000000,6379
3.5,-104.094898,-79.326454,0.000000,0.000000,6154
4,-153.774842,-147.945952,0.000000,0.000000,4126
4.5,-166.024125,-160.193945,0.000000,0.000000,4228
5,-236.972830,-218.015004,0.000000,0.000000,2466
5.5,-280.568720,-250.304672,0.000000,0.000000,2954
6,-388.562691,-319.694190,0.000000,0.000000,1635
6.5,-399.900941,-349.579000,0.000000,0.000000,2019
7,-429.100529,-418.941799,0.000000,0.000000,945
7.5,-466.171875,-236.796875,0.000000,0.000000,1280
8,-388.318584,-395.398230,0.000000,0.000000,565
8.5,-597.760358,-358.118701,0.000000,0.000000,893
9,-431.840796,-247.761194,0.000000,0.000000,402
9.5,-541.501976,-355.731225,0.000000,0.000000,506
10,-502.512563,-211.055276,0.000000,0.000000,199
10.5,-445.901639,-150.819672,0.000000,0.000000,305
11,-482.142857,-178.571429,0.000000,0.000000,112
11.5,-500.000000,-266.666667,0.000000,0.000000,180
12,-394.366197,-197.183099,0.000000,0.000000,71
12.5,-333.333333,-431.372549,0.000000,0.000000,102
13,206.896552,-482.758621,0.000000,0.000000,29
13.5,-217.391304,-260.869565,0.000000,0.000000,46
14,148.148148,-370.370370,0.000000,0.000000,27
14.5,-370.370370,74.074074,0.000000,0.000000,27
15,-285.714286,0.000000,0.000000,0.000000,14
15.5,-1200.000000,-400.000000,0.000000,0.000000,10
16,-2000.000000,1000.000000,0.000000,0.000000,4
16.5,-285.714286,857.142857,0.000000,0.000000,7
17,-2000.000000,400.000000,0.000000,0.000000,5
17.5,-2000.000000,0.000000,0.000000,0.000000,2
18,-2000.000000,-2000.000000,0.000000,0.000000,1
