TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar
-16.0,1,25.000000,-25.000000,-1.000000,0.000000
-15.0,2,50.000000,0.000000,0.000000,0.141421
-14.5,1,25.000000,-25.000000,-1.000000,0.000000
-14.0,1,50.000000,50.000000,1.000000,0.000000
-13.5,4,150.000000,75.000000,0.500000,0.062361
-13.0,10,300.000000,-150.000000,-0.500000,0.050000
-12.5,13,375.000000,25.000000,0.066667,0.044087
-12.0,18,550.000000,25.000000,0.045455,0.041615
-11.5,25,675.000000,25.000000,0.037037,0.038464
-11.0,58,1725.000000,-375.000000,-0.217391,0.022403
-10.5,98,2800.000000,75.000000,0.026786,0.018551
-10.0,149,4275.000000,25.000000,0.005848,0.014538
-9.5,187,5600.000000,-137.500000,-0.024554,0.013352
-9.0,286,8100.000000,-537.500000,-0.066358,0.010760
-8.5,450,13025.000000,-1162.500000,-0.089251,0.008529
-8.0,645,18875.000000,-475.000000,-0.025166,0.007162
-7.5,984,27775.000000,-300.000000,-0.010801,0.005854
-7.0,1238,35025.000000,-1037.500000,-0.029622,0.005262
-6.5,1744,48975.000000,-2412.500000,-0.049260,0.004366
-6.0,2585,73900.000000,-3775.000000,-0.051083,0.003603
-5.5,3466,98950.000000,-1000.000000,-0.010106,0.003111
-5.0,4654,131125.000000,-4375.000000,-0.033365,0.002696
-4.5,6372,179575.000000,-3012.500000,-0.016776,0.002313
-4.0,8601,241875.000000,-6437.500000,-0.026615,0.001993
-3.5,11998,335725.000000,-7362.500000,-0.021930,0.001696
-3.0,16103,449400.000000,-5362.500000,-0.011933,0.001464
-2.5,20959,585250.000000,-11125.000000,-0.019009,0.001285
-2.0,28248,789075.000000,-6250.000000,-0.007921,0.001105
-1.5,36533,1013175.000000,-12000.000000,-0.011844,0.000974
-1.0,53156,1473250.000000,-6925.000000,-0.004700,0.000809
-0.5,73328,2033625.000000,-7125.000000,-0.003504,0.000689
0.0,72531,2009975.000000,1387.500000,0.000690,0.000693
0.5,69110,1910775.000000,112.500000,0.000059,0.000711
1.0,48850,1344750.000000,1500.000000,0.001115,0.000849
1.5,33805,1132475.000000,11975.000000,0.010574,0.000928
2.0,25831,2433962.500000,26900.000000,0.011052,0.000634
2.5,19713,3348612.500000,13212.500000,0.003946,0.000541
3.0,15682,3814462.500000,66375.000000,0.017401,0.000508
3.5,12162,3826000.000000,83450.000000,0.021811,0.000514
4.0,8697,3369137.500000,56500.000000,0.016770,0.000548
4.5,6565,2981075.000000,41587.500000,0.013951,0.000582
5.0,4906,2572962.500000,111037.500000,0.043156,0.000631
5.5,3752,2239962.500000,69200.000000,0.030893,0.000675
6.0,2766,1861637.500000,4900.000000,0.002632,0.000741
6.5,1760,1309537.500000,77187.500000,0.058943,0.000885
7.0,1329,1057550.000000,45950.000000,0.043449,0.000985
7.5,958,818650.000000,18787.500000,0.022949,0.001129
8.0,668,622887.500000,-4175.000000,-0.006703,0.001293
8.5,417,412000.000000,6437.500000,0.015625,0.001606
9.0,284,305850.000000,15150.000000,0.049534,0.001831
9.5,184,215775.000000,46887.500000,0.217298,0.002136
10.0,120,148475.000000,23837.500000,0.160549,0.002613
10.5,75,99437.500000,6412.500000,0.064488,0.003331
11.0,51,69550.000000,-6375.000000,-0.091661,0.003715
11.5,23,32175.000000,15412.500000,0.479021,0.005535
12.0,18,26050.000000,-10937.500000,-0.419866,0.005475
12.5,11,16137.500000,9200.000000,0.570101,0.008093
13.0,7,11112.500000,3987.500000,0.358830,0.009891
13.5,5,6712.500000,887.500000,0.132216,0.013912
14.0,2,3450.000000,0.000000,0.000000,0.017025
