TrueCount,HandsPlayed,TotalPayout,EV,StdError
-12.0,5,75.000000,15.000000,11.401754
-11.5,12,-225.000000,-18.750000,6.669921
-11.0,25,-100.000000,-4.000000,6.112283
-10.5,86,-125.000000,-1.453488,2.974638
-10.0,252,-337.500000,-1.339286,1.796777
-9.5,629,-737.500000,-1.172496,1.128990
-9.0,1762,-2500.000000,-1.418842,0.685511
-8.5,4168,-3737.500000,-0.896713,0.453892
-8.0,10403,-18762.500000,-1.803566,0.285147
-7.5,23046,-21512.500000,-0.933459,0.191206
-7.0,51018,-76400.000000,-1.497511,0.127978
-6.5,109182,-108512.500000,-0.993868,0.087368
-6.0,204250,-213012.500000,-1.042901,0.063809
-5.5,448622,-420025.000000,-0.936256,0.042907
-5.0,821948,-692125.000000,-0.842054,0.031632
-4.5,1414015,-1087825.000000,-0.769316,0.024060
-4.0,2662481,-1852775.000000,-0.695883,0.017502
-3.5,4463241,-2756550.000000,-0.617612,0.013492
-3.0,7205435,-4044750.000000,-0.561347,0.010597
-2.5,12067770,-5884250.000000,-0.487600,0.008172
-2.0,18730916,-7672700.000000,-0.409628,0.006546
-1.5,28895749,-9891650.000000,-0.342322,0.005260
-1.0,44196936,-12039925.000000,-0.272415,0.004245
-0.5,63042037,-13133675.000000,-0.208332,0.003548
0.0,100625507,-14593987.500000,-0.145033,0.002809
0.5,58467238,-4552275.000000,-0.077860,0.003683
1.0,41446260,-707337.500000,-0.017066,0.004835
1.5,26903921,5314237.500000,0.197527,0.020554
2.0,17376198,16348837.500000,0.940875,0.050009
2.5,11157980,23158962.500000,2.075847,0.094155
3.0,6626066,30223112.500000,4.607711,0.163592
3.5,4104563,41082550.000000,10.397409,0.258264
4.0,2435399,38656200.000000,16.743163,0.402642
4.5,1285369,26905212.500000,22.116036,0.646658
5.0,741455,19231050.000000,27.440366,0.968567
5.5,402616,13608312.500000,35.967243,1.480755
6.0,182218,7024575.000000,40.693519,2.434945
6.5,96957,4378600.000000,47.870148,3.661105
7.0,45236,2473912.500000,57.879086,5.835683
7.5,20409,1549312.500000,81.296034,9.397565
8.0,9106,702187.500000,82.297013,15.057108
8.5,3645,511462.500000,149.579889,25.599781
9.0,1471,134337.500000,95.838092,42.271285
9.5,569,67525.000000,124.459688,72.117957
10.0,213,1837.500000,27.292118,132.670157
10.5,82,-812.500000,-8.430859,219.826354
11.0,31,10212.500000,321.517595,318.712059
11.5,16,1812.500000,220.117188,531.899060
