TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar
-6.5,2,50.000000,25.000000,0.500000,0.070711
-6.0,2,50.000000,50.000000,1.000000,0.000000
-5.5,4,125.000000,25.000000,0.200000,0.087636
-5.0,14,375.000000,-175.000000,-0.466667,0.045672
-4.5,55,1475.000000,-225.000000,-0.152542,0.024824
-4.0,151,4450.000000,-112.500000,-0.025281,0.014395
-3.5,461,13075.000000,25.000000,0.001912,0.008611
-3.0,1365,38175.000000,-1112.500000,-0.029142,0.005014
-2.5,3076,85725.000000,-2250.000000,-0.026247,0.003344
-2.0,7023,195325.000000,-2037.500000,-0.010431,0.002221
-1.5,14723,410525.000000,-6387.500000,-0.015559,0.001530
-1.0,30030,834150.000000,-14850.000000,-0.017803,0.001074
-0.5,59359,1645275.000000,-6550.000000,-0.003981,0.000766
0.0,75989,2100425.000000,-10150.000000,-0.004832,0.000679
0.5,54339,1500600.000000,-837.500000,-0.000558,0.000802
1.0,27107,749225.000000,1112.500000,0.001485,0.001140
1.5,13196,423775.000000,1500.000000,0.003540,0.001513
2.0,6375,576675.000000,-3325.000000,-0.005766,0.001300
2.5,2830,471425.000000,-4987.500000,-0.010580,0.001427
3.0,1291,310125.000000,6200.000000,0.019992,0.001780
3.5,476,143575.000000,-16725.000000,-0.116490,0.002607
4.0,161,59387.500000,-662.500000,-0.011156,0.004115
4.5,55,23000.000000,-2712.500000,-0.117935,0.006611
5.0,22,12000.000000,3612.500000,0.301042,0.009141
5.5,12,6987.500000,-2087.500000,-0.298748,0.010912
