TrueCount,HandsPlayed,TotalPayout,EV,StdError
-11.0,2,0.000000,0.000000,17.677670
-10.5,3,-12.500000,-4.166667,17.010345
-10.0,21,-225.000000,-10.714286,5.473972
-9.5,44,-150.000000,-3.409091,4.044952
-9.0,153,212.500000,1.388889,2.318176
-8.5,586,425.000000,0.725256,1.216437
-8.0,1684,-375.000000,-0.222684,0.710478
-7.5,5141,-4937.500000,-0.960416,0.405872
-7.0,13991,-14625.000000,-1.045315,0.244771
-6.5,35497,-35225.000000,-0.992337,0.153824
-6.0,90252,-68537.500000,-0.759401,0.095838
-5.5,202080,-174037.500000,-0.861231,0.063984
-5.0,454653,-367500.000000,-0.808309,0.042524
-4.5,988701,-731912.500000,-0.740277,0.028771
-4.0,1985503,-1217100.000000,-0.612993,0.020265
-3.5,3847601,-2198712.500000,-0.571450,0.014528
-3.0,6976706,-3459925.000000,-0.495925,0.010765
-2.5,12757934,-5575337.500000,-0.437009,0.007946
-2.0,21940497,-7922600.000000,-0.361095,0.006047
-1.5,36733388,-10866137.500000,-0.295811,0.004664
-1.0,59944103,-13871587.500000,-0.231409,0.003644
-0.5,100257712,-16659137.500000,-0.166163,0.002812
0.0,131004359,-13466975.000000,-0.102798,0.002459
0.5,94092468,-4170925.000000,-0.044328,0.002903
1.0,56441020,1994262.500000,0.035334,0.004171
1.5,34568448,12503450.000000,0.361701,0.017921
2.0,20544003,23090537.500000,1.123955,0.045979
2.5,11882099,28834237.500000,2.426696,0.091061
3.0,6461971,33362087.500000,5.221552,0.165336
3.5,3563304,43098525.000000,12.665513,0.277389
4.0,1828804,32133737.500000,18.587125,0.464197
4.5,906952,19457237.500000,22.666546,0.769584
5.0,412346,10910887.500000,28.031658,1.302418
5.5,182466,6636325.000000,38.484555,2.192067
6.0,81090,3046662.500000,39.815609,3.646110
6.5,32039,1527475.000000,50.098198,6.379672
7.0,12726,374175.000000,30.509677,11.017830
7.5,4442,356937.500000,83.480777,19.996786
8.0,1412,141950.000000,108.380441,38.067089
8.5,474,32287.500000,69.475538,70.137145
9.0,165,22262.500000,140.766679,132.155248
9.5,43,1775.000000,41.279070,266.631905
10.0,10,-4212.500000,-421.250000,692.964758
10.5,1,3600.000000,3600.000000,0.000000
11.5,2,-1950.000000,-975.000000,689.429112
