TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar
-20.5,2,50.000000,25.000000,0.500000,0.070711
-20.0,1,25.000000,25.000000,1.000000,0.000000
-19.5,3,75.000000,-75.000000,-1.000000,0.000000
-19.0,2,50.000000,-25.000000,-0.500000,0.070711
-18.5,2,50.000000,0.000000,0.000000,0.141421
-18.0,2,75.000000,25.000000,0.333333,0.108866
-17.5,6,175.000000,-50.000000,-0.285714,0.066569
-17.0,8,225.000000,25.000000,0.111111,0.066254
-16.5,16,475.000000,-212.500000,-0.447368,0.042690
-16.0,10,275.000000,-125.000000,-0.454545,0.053713
-15.5,21,575.000000,50.000000,0.086957,0.038719
-15.0,24,725.000000,-237.500000,-0.327586,0.035259
-14.5,50,1425.000000,-212.500000,-0.149123,0.025053
-14.0,54,1450.000000,-187.500000,-0.129310,0.025754
-13.5,76,2200.000000,62.500000,0.028409,0.020728
-13.0,97,2825.000000,-112.500000,-0.039823,0.018653
-12.5,126,3500.000000,212.500000,0.060714,0.016551
-12.0,220,6250.000000,-400.000000,-0.064000,0.012341
-11.5,253,7175.000000,-500.000000,-0.069686,0.011474
-11.0,360,10625.000000,200.000000,0.018824,0.009515
-10.5,510,14475.000000,-412.500000,-0.028497,0.008184
-10.0,662,18425.000000,-700.000000,-0.037992,0.007143
-9.5,598,16775.000000,-462.500000,-0.027571,0.007515
-9.0,968,26950.000000,-2137.500000,-0.079314,0.005956
-8.5,1165,32775.000000,-1200.000000,-0.036613,0.005384
-8.0,1538,43350.000000,-3175.000000,-0.073241,0.004687
-7.5,1774,49450.000000,150.000000,0.003033,0.004430
-7.0,2341,65425.000000,-3300.000000,-0.050439,0.003833
-6.5,2965,83700.000000,-2662.500000,-0.031810,0.003387
-6.0,3633,101075.000000,1012.500000,0.010017,0.003082
-5.5,4366,121725.000000,-1887.500000,-0.015506,0.002817
-5.0,4292,120525.000000,-2712.500000,-0.022506,0.002831
-4.5,6279,175200.000000,-1187.500000,-0.006778,0.002353
-4.0,7761,216975.000000,-3825.000000,-0.017629,0.002113
-3.5,9072,253775.000000,-1962.500000,-0.007733,0.001949
-3.0,10631,295175.000000,-3000.000000,-0.010163,0.001805
-2.5,12439,346000.000000,-5425.000000,-0.015679,0.001666
-2.0,14337,398175.000000,-4200.000000,-0.010548,0.001557
-1.5,14424,400925.000000,-6100.000000,-0.015215,0.001551
-1.0,15664,434725.000000,-2887.500000,-0.006642,0.001492
-0.5,18316,507900.000000,-4800.000000,-0.009451,0.001380
0.0,69780,1933600.000000,400.000000,0.000207,0.000708
0.5,18101,499875.000000,-2212.500000,-0.004426,0.001390
1.0,13669,378275.000000,2525.000000,0.006675,0.001600
1.5,12054,332950.000000,-2525.000000,-0.007584,0.001704
2.0,12283,338225.000000,-3050.000000,-0.009018,0.001692
2.5,10473,288600.000000,-2237.500000,-0.007753,0.001831
3.0,8925,423475.000000,-4987.500000,-0.011778,0.001511
3.5,6988,631937.500000,-13725.000000,-0.021719,0.001244
4.0,6915,912487.500000,15462.500000,0.016945,0.001036
4.5,5001,868925.000000,3237.500000,0.003726,0.001062
5.0,4427,940962.500000,17862.500000,0.018983,0.001024
5.5,3671,925725.000000,-27225.000000,-0.029409,0.001039
6.0,2990,895025.000000,387.500000,0.000433,0.001048
6.5,2576,870812.500000,11700.000000,0.013436,0.001074
7.0,1885,705612.500000,-21112.500000,-0.029921,0.001197
7.5,1569,649075.000000,-1012.500000,-0.001560,0.001244
8.0,1383,633962.500000,812.500000,0.001282,0.001259
8.5,1065,519450.000000,-7437.500000,-0.014318,0.001378
9.0,831,459762.500000,37225.000000,0.080966,0.001479
9.5,473,276512.500000,21325.000000,0.077121,0.001912
10.0,428,264312.500000,7300.000000,0.027619,0.001950
10.5,408,265000.000000,24612.500000,0.092877,0.001899
11.0,329,223862.500000,-10012.500000,-0.044726,0.002140
11.5,233,175200.000000,-4225.000000,-0.024115,0.002395
12.0,150,112687.500000,11225.000000,0.099612,0.003010
12.5,104,87437.500000,1550.000000,0.017727,0.003380
13.0,77,64875.000000,762.500000,0.011753,0.003757
13.5,65,53537.500000,6062.500000,0.113238,0.004589
14.0,34,30362.500000,-3375.000000,-0.111157,0.006090
14.5,29,27125.000000,2775.000000,0.102304,0.006277
15.0,20,19150.000000,887.500000,0.046345,0.007445
15.5,9,11150.000000,2125.000000,0.190583,0.010346
16.0,7,8400.000000,6300.000000,0.750000,0.004725
16.5,5,5400.000000,1100.000000,0.203704,0.013323
17.0,4,5675.000000,-1075.000000,-0.189427,0.013034
18.0,1,1200.000000,0.000000,0.000000,0.000000
18.5,1,1250.000000,-1250.000000,-1.000000,0.000000
19.5,1,1325.000000,0.000000,0.000000,0.000000
