TrueCount,HandsPlayed,TotalPayout,EV,StdError
-3.5,1,25.000000,25.000000,0.000000
-3.0,6,-100.000000,-16.666667,7.607258
-2.5,165,-187.500000,-1.136364,2.221178
-2.0,1431,-1937.500000,-1.353948,0.749505
-1.5,16342,-7000.000000,-0.428344,0.221463
-1.0,197454,-50337.500000,-0.254933,0.063921
-0.5,1771049,-391950.000000,-0.221310,0.021267
0.0,24424448,-2899162.500000,-0.118699,0.005709
0.5,13029475,-1979500.000000,-0.151925,0.007823
1.0,14857769,-2059287.500000,-0.138600,0.007324
1.5,13678901,-1756037.500000,-0.128376,0.007631
2.0,13408767,-1763750.000000,-0.131537,0.007709
2.5,13272084,-1914900.000000,-0.144280,0.007750
3.0,12960926,-1906287.500000,-0.147080,0.007840
3.5,12572866,-1653425.000000,-0.131507,0.007961
4.0,12316002,-1655100.000000,-0.134386,0.008042
4.5,12015563,-1603175.000000,-0.133425,0.008141
5.0,11512039,-1409575.000000,-0.122444,0.008319
5.5,11230860,-1388612.500000,-0.123643,0.008419
6.0,11158714,-1495962.500000,-0.134062,0.008449
6.5,10748056,-1324400.000000,-0.123222,0.008610
7.0,10347558,-1198262.500000,-0.115801,0.008775
7.5,10345065,-1351650.000000,-0.130657,0.008774
8.0,9881229,-1254062.500000,-0.126914,0.008979
8.5,9831633,-1173050.000000,-0.119314,0.009001
9.0,9447289,-1187050.000000,-0.125650,0.009181
9.5,9145983,-1325062.500000,-0.144879,0.009332
10.0,9099013,-1270337.500000,-0.139613,0.009354
10.5,8832203,-1149762.500000,-0.130178,0.009495
11.0,8714263,-1100100.000000,-0.126241,0.009559
11.5,8459265,-1086862.500000,-0.128482,0.009704
12.0,8298134,-970925.000000,-0.117005,0.009795
12.5,7918780,-1059687.500000,-0.133820,0.010024
13.0,8082540,-969575.000000,-0.119959,0.009927
13.5,7629454,-1017075.000000,-0.133309,0.010213
14.0,7610248,-863650.000000,-0.113485,0.010227
14.5,7273794,-932325.000000,-0.128176,0.010459
15.0,7310199,-977200.000000,-0.133676,0.010434
15.5,7121458,-822312.500000,-0.115470,0.010568
16.0,6894395,-735850.000000,-0.106732,0.010744
16.5,6857057,-814250.000000,-0.118746,0.010776
17.0,6760348,-920550.000000,-0.136169,0.010854
17.5,6425933,-558487.500000,-0.086912,0.011121
18.0,6466083,-888100.000000,-0.137347,0.011094
18.5,6304411,-699187.500000,-0.110904,0.011231
19.0,6198166,-686750.000000,-0.110799,0.011331
19.5,6045930,-604725.000000,-0.100022,0.011474
20.0,5914755,-588350.000000,-0.099472,0.011599
20.5,6098408,-729187.500000,-0.119570,0.011424
21.0,5535903,-669400.000000,-0.120920,0.011987
21.5,5563579,-661487.500000,-0.118896,0.011957
22.0,5701503,-770300.000000,-0.135105,0.011810
22.5,5162148,-580250.000000,-0.112405,0.012414
23.0,5426264,-718425.000000,-0.132398,0.012111
23.5,5220403,-661387.500000,-0.126693,0.012343
24.0,5183658,-674375.000000,-0.130096,0.012385
24.5,5026552,-543325.000000,-0.108091,0.012578
25.0,4875295,-533862.500000,-0.109504,0.012779
25.5,5166978,-511037.500000,-0.098905,0.012401
26.0,4268436,-625237.500000,-0.146479,0.013656
26.5,4902235,-536637.500000,-0.109468,0.012734
27.0,4639867,-643450.000000,-0.138679,0.013100
27.5,4522914,-518337.500000,-0.114603,0.013266
28.0,4532391,-507175.000000,-0.111900,0.013264
28.5,4383201,-554337.500000,-0.126469,0.013508
29.0,4260970,-412987.500000,-0.096923,0.013704
29.5,4231773,-475025.000000,-0.112252,0.013754
30.0,4293235,-541225.000000,-0.126065,0.013658
30.5,4130230,-357525.000000,-0.086563,0.013919
31.0,3924716,-428650.000000,-0.109218,0.014282
31.5,4145633,-465787.500000,-0.112356,0.013897
32.0,3896236,-370687.500000,-0.095140,0.014332
32.5,3880708,-498350.000000,-0.128417,0.014360
33.0,3824402,-513262.500000,-0.134207,0.014463
33.5,3816092,-527825.000000,-0.138316,0.014481
34.0,3758793,-377900.000000,-0.100538,0.014586
34.5,3361517,-345837.500000,-0.102881,0.015441
35.0,3850494,-425225.000000,-0.110434,0.014416
35.5,3399968,-328425.000000,-0.096596,0.015345
36.0,3529013,-348637.500000,-0.098792,0.015059
36.5,3504630,-334487.500000,-0.095442,0.015114
37.0,3450332,-314012.500000,-0.091009,0.015230
37.5,3215086,-369412.500000,-0.114900,0.015784
38.0,3319104,-248750.000000,-0.074945,0.015525
38.5,3366010,-330912.500000,-0.098310,0.015411
39.0,2970520,-338550.000000,-0.113970,0.016421
39.5,3306419,-353062.500000,-0.106781,0.015554
40.0,3123858,-245350.000000,-0.078541,0.016008
40.5,3050673,-316550.000000,-0.103764,0.016197
41.0,3030781,-269462.500000,-0.088909,0.016242
41.5,2928365,-275412.500000,-0.094050,0.016521
42.0,2915383,-234812.500000,-0.080543,0.016575
42.5,2947487,-311025.000000,-0.105522,0.016476
43.0,2820512,-264262.500000,-0.093693,0.016837
43.5,2908399,-293100.000000,-0.100777,0.016592
44.0,2785747,-321987.500000,-0.115584,0.016941
44.5,2795581,-300225.000000,-0.107393,0.016916
45.0,2612690,-258437.500000,-0.098916,0.017499
45.5,2735949,-304550.000000,-0.111314,0.017092
46.0,2579525,-224925.000000,-0.087196,0.017615
46.5,2563190,-192200.000000,-0.074985,0.017659
47.0,2621933,-229512.500000,-0.087536,0.017465
47.5,2483206,-194812.500000,-0.078452,0.017937
48.0,2405610,-242887.500000,-0.100967,0.018214
48.5,2390033,-266687.500000,-0.111583,0.023430
49.0,2401798,-119675.000000,-0.049827,0.036412
49.5,2110175,-142300.000000,-0.067435,0.038854
50.0,2077114,-462200.000000,-0.222520,0.039230
50.5,2511931,-195750.000000,-0.077928,0.035656
51.0,2480908,335950.000000,0.135414,0.035702
51.5,1687667,152700.000000,0.090480,0.043398
52.0,1627098,173150.000000,0.106416,0.044150
52.5,1580033,112850.000000,0.071423,0.044795
53.0,1912119,430800.000000,0.225300,0.040596
53.5,2038216,316175.000000,0.155123,0.039398
54.0,1661230,121625.000000,0.073214,0.043666
54.5,1356480,281125.000000,0.207246,0.048210
55.0,1244786,439800.000000,0.353314,0.064022
55.5,1189476,443025.000000,0.372454,0.077015
56.0,1103331,659775.000000,0.597985,0.079924
56.5,1048980,689100.000000,0.656924,0.081881
57.0,997774,807937.500000,0.809740,0.083890
57.5,848460,752362.500000,0.886739,0.090895
58.0,779585,751087.500000,0.963445,0.094786
58.5,688361,456487.500000,0.663151,0.100810
59.0,615334,628762.500000,1.021823,0.106455
59.5,478869,546075.000000,1.140343,0.120394
60.0,436561,563025.000000,1.289682,0.125910
60.5,372252,570150.000000,1.531624,0.136257
61.0,288050,379125.000000,1.316178,0.154915
61.5,277727,393625.000000,1.417309,0.183673
62.0,237793,446800.000000,1.878945,0.227201
62.5,171037,356550.000000,2.084637,0.267212
63.0,161238,431200.000000,2.674308,0.275238
63.5,115701,251250.000000,2.171546,0.323757
64.0,108362,268300.000000,2.475960,0.334356
64.5,69612,167150.000000,2.401166,0.416849
65.0,65985,185200.000000,2.806698,0.427992
65.5,41954,147000.000000,3.503838,0.534625
66.0,39128,82800.000000,2.116132,0.553786
66.5,26044,32650.000000,1.253648,0.676081
67.0,23173,87000.000000,3.754369,0.715067
67.5,14776,41300.000000,2.795073,0.896155
68.0,10377,26700.000000,2.572998,1.235944
68.5,10144,18000.000000,1.774448,1.353068
69.0,5439,20062.500000,3.688638,1.828637
69.5,3888,13125.000000,3.375772,2.172380
70.0,3578,9562.500000,2.672582,2.291052
70.5,1987,15062.500000,7.580523,3.030710
71.0,1481,-5312.500000,-3.587103,3.510096
71.5,1125,10125.000000,9.000000,4.031769
72.0,610,12125.000000,19.877049,5.334074
72.5,453,-1937.500000,-4.277042,6.269445
73.0,293,-375.000000,-1.279863,7.726076
