TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar
-30.5,1,25.000000,25.000000,1.000000,0.000000
-29.5,1,25.000000,-25.000000,-1.000000,0.000000
-29.0,1,25.000000,25.000000,1.000000,0.000000
-27.5,1,25.000000,-25.000000,-1.000000,0.000000
-27.0,3,75.000000,-25.000000,-0.333333,0.108866
-26.0,2,50.000000,0.000000,0.000000,0.141421
-25.5,2,75.000000,25.000000,0.333333,0.108866
-25.0,1,25.000000,-25.000000,-1.000000,0.000000
-24.5,2,50.000000,-50.000000,-1.000000,0.000000
-24.0,3,75.000000,25.000000,0.333333,0.108866
-23.5,4,100.000000,0.000000,0.000000,0.100000
-23.0,4,100.000000,0.000000,0.000000,0.100000
-22.5,4,125.000000,-75.000000,-0.600000,0.071554
-22.0,8,200.000000,75.000000,0.375000,0.060596
-21.5,11,300.000000,-112.500000,-0.375000,0.054167
-21.0,18,550.000000,-125.000000,-0.227273,0.040517
-20.5,20,575.000000,100.000000,0.173913,0.039662
-20.0,27,775.000000,-262.500000,-0.338710,0.034559
-19.5,26,775.000000,-200.000000,-0.258065,0.032856
-19.0,48,1350.000000,-275.000000,-0.203704,0.025729
-18.5,39,1175.000000,87.500000,0.074468,0.029324
-18.0,62,1775.000000,-687.500000,-0.387324,0.022198
-17.5,95,2700.000000,-387.500000,-0.143519,0.018428
-17.0,114,3300.000000,-387.500000,-0.117424,0.017271
-16.5,140,3925.000000,-62.500000,-0.015924,0.015613
-16.0,169,4750.000000,-675.000000,-0.142105,0.013792
-15.5,202,5625.000000,-1175.000000,-0.208889,0.012702
-15.0,288,8075.000000,-362.500000,-0.044892,0.011017
-14.5,349,9975.000000,-175.000000,-0.017544,0.009802
-14.0,445,13200.000000,-1237.500000,-0.093750,0.008411
-13.5,504,14425.000000,-287.500000,-0.019931,0.008243
-13.0,644,18475.000000,-700.000000,-0.037889,0.007193
-12.5,779,22525.000000,-1062.500000,-0.047170,0.006524
-12.0,953,27250.000000,-987.500000,-0.036239,0.005934
-11.5,1178,34075.000000,-2412.500000,-0.070800,0.005318
-11.0,1445,40875.000000,-162.500000,-0.003976,0.004853
-10.5,1620,46000.000000,-1737.500000,-0.037772,0.004563
-10.0,2091,59375.000000,-512.500000,-0.008632,0.004012
-9.5,2541,71725.000000,100.000000,0.001394,0.003658
-9.0,2809,79225.000000,-1850.000000,-0.023351,0.003475
-8.5,3471,97950.000000,-3675.000000,-0.037519,0.003118
-8.0,4080,114300.000000,425.000000,0.003718,0.002896
-7.5,4818,135675.000000,-5112.500000,-0.037682,0.002660
-7.0,5816,163325.000000,-3112.500000,-0.019057,0.002427
-6.5,6729,189150.000000,-3437.500000,-0.018173,0.002265
-6.0,8049,224600.000000,-3187.500000,-0.014192,0.002068
-5.5,9695,272000.000000,-6062.500000,-0.022289,0.001883
-5.0,11731,328050.000000,-1162.500000,-0.003544,0.001719
-4.5,13493,377325.000000,-3850.000000,-0.010203,0.001594
-4.0,15854,440550.000000,-7037.500000,-0.015974,0.001476
-3.5,18640,517950.000000,-9137.500000,-0.017642,0.001361
-3.0,22156,615675.000000,-11650.000000,-0.018922,0.001252
-2.5,26011,723000.000000,-2525.000000,-0.003492,0.001153
-2.0,31108,861500.000000,-7550.000000,-0.008764,0.001058
-1.5,36312,1007400.000000,-7450.000000,-0.007395,0.000979
-1.0,43235,1198250.000000,-7787.500000,-0.006499,0.000896
-0.5,49654,1372600.000000,15237.500000,0.011101,0.000840
0.0,69464,1919525.000000,-5187.500000,-0.002702,0.000710
0.5,47072,1303475.000000,3975.000000,0.003050,0.000862
1.0,40815,1126900.000000,12575.000000,0.011159,0.000927
1.5,34682,956400.000000,-3437.500000,-0.003594,0.001008
2.0,29220,805200.000000,-5975.000000,-0.007421,0.001098
2.5,24773,680975.000000,-1287.500000,-0.001891,0.001194
3.0,20830,913100.000000,575.000000,0.000630,0.001029
3.5,17755,1600925.000000,3337.500000,0.002085,0.000780
4.0,15065,1952500.000000,-5025.000000,-0.002574,0.000706
4.5,12506,2189575.000000,-13400.000000,-0.006120,0.000668
5.0,10929,2373200.000000,26050.000000,0.010977,0.000641
5.5,9364,2438237.500000,27200.000000,0.011156,0.000634
6.0,7981,2392137.500000,44962.500000,0.018796,0.000641
6.5,7020,2372762.500000,-26987.500000,-0.011374,0.000646
7.0,5836,2194662.500000,64500.000000,0.029389,0.000679
