TrueCount,HandsPlayed,TotalPayout,EV,StdError
-3.5,1,-25.000000,-25.000000,0.000000
-3.0,1,-25.000000,-25.000000,0.000000
-2.5,9,-175.000000,-19.444444,7.635381
-2.0,107,100.000000,0.934579,2.631493
-1.5,3377,-3562.500000,-1.054930,0.483879
-1.0,97121,-28125.000000,-0.289587,0.091037
-0.5,1930814,-474275.000000,-0.245635,0.020359
0.0,24462526,-4191825.000000,-0.171357,0.005705
0.5,18079411,-3382512.500000,-0.187092,0.006641
1.0,20552821,-4020862.500000,-0.195636,0.006226
1.5,19676899,-3676837.500000,-0.186861,0.006363
2.0,18378284,-3776812.500000,-0.205504,0.006584
2.5,17378209,-3138300.000000,-0.180588,0.006770
3.0,17142634,-3311325.000000,-0.193163,0.006819
3.5,16840572,-3220900.000000,-0.191258,0.006877
4.0,16253253,-2936837.500000,-0.180692,0.006999
4.5,15801929,-2766337.500000,-0.175063,0.007100
5.0,15549028,-2954850.000000,-0.190034,0.007157
5.5,15106872,-2644100.000000,-0.175026,0.007260
6.0,14505109,-2669725.000000,-0.184054,0.007410
6.5,14321265,-2719637.500000,-0.189902,0.007456
7.0,13861085,-2588162.500000,-0.186721,0.007580
7.5,13584880,-2349612.500000,-0.172958,0.007656
8.0,13201570,-2301850.000000,-0.174362,0.007765
8.5,13087939,-2483025.000000,-0.189719,0.007799
9.0,12426526,-2305050.000000,-0.185494,0.008005
9.5,12197506,-2204712.500000,-0.180751,0.008079
10.0,12194815,-2269587.500000,-0.186111,0.008079
10.5,11667196,-2384587.500000,-0.204384,0.008261
11.0,11478787,-2030237.500000,-0.176869,0.008329
11.5,11208509,-1911600.000000,-0.170549,0.008429
12.0,10962084,-1853512.500000,-0.169084,0.008524
12.5,10796108,-1773737.500000,-0.164294,0.008586
13.0,10311552,-1834900.000000,-0.177946,0.008786
13.5,10370562,-1877062.500000,-0.180999,0.008763
14.0,10036470,-1709350.000000,-0.170314,0.008905
14.5,9659486,-1609737.500000,-0.166648,0.009077
15.0,9561251,-1672200.000000,-0.174893,0.009121
15.5,9321062,-1501425.000000,-0.161079,0.009239
16.0,8918912,-1378625.000000,-0.154573,0.009444
16.5,8836735,-1339287.500000,-0.151559,0.009485
17.0,8163507,-1072425.000000,-0.131368,0.009865
17.5,8137442,-1131662.500000,-0.139069,0.009879
18.0,7557277,-793950.000000,-0.105058,0.010245
18.5,6941410,-697175.000000,-0.100437,0.010682
19.0,6403635,-478550.000000,-0.074731,0.011118
19.5,5793243,-399287.500000,-0.068923,0.011682
20.0,5150128,-218012.500000,-0.042331,0.012382
20.5,4332647,-96812.500000,-0.022345,0.013486
21.0,3835005,25312.500000,0.006600,0.014321
21.5,3051741,-40287.500000,-0.013201,0.016036
22.0,2373553,124637.500000,0.052511,0.018166
22.5,1889526,118312.500000,0.062615,0.020342
23.0,1468532,133225.000000,0.090720,0.023040
23.5,1023482,150425.000000,0.146974,0.027583
24.0,728996,165287.500000,0.226733,0.032612
24.5,502468,109550.000000,0.218024,0.039236
25.0,327984,112512.500000,0.343043,0.048495
25.5,206920,52937.500000,0.255836,0.060997
26.0,125770,46662.500000,0.371015,0.078254
26.5,73693,27187.500000,0.368929,0.102096
27.0,41262,9175.000000,0.222360,0.136057
27.5,22263,11125.000000,0.499708,0.184619
28.0,11421,6587.500000,0.576788,0.257745
28.5,5549,1700.000000,0.306362,0.369605
29.0,2893,-625.000000,-0.216039,0.510860
29.5,1221,1875.000000,1.535627,0.795605
30.0,529,1362.500000,2.575614,1.216527
30.5,249,637.500000,2.560241,1.758142
31.0,103,-325.000000,-3.155340,2.829094
31.5,36,-200.000000,-5.555556,3.817690
32.0,20,100.000000,5.000000,6.274950
32.5,4,-50.000000,-12.500000,10.825318
33.0,2,0.000000,0.000000,17.677670
