TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar
-20.0,4,100.000000,100.000000,1.000000,0.000000
-19.5,6,175.000000,-25.000000,-0.142857,0.062968
-19.0,4,125.000000,-12.500000,-0.100000,0.099599
-18.5,5,175.000000,-25.000000,-0.142857,0.074818
-18.0,7,225.000000,-100.000000,-0.444444,0.055432
-17.5,14,425.000000,-75.000000,-0.176471,0.044753
-17.0,16,550.000000,50.000000,0.090909,0.040471
-16.5,32,1025.000000,-12.500000,-0.012195,0.030945
-16.0,37,1075.000000,125.000000,0.116279,0.028829
-15.5,44,1225.000000,0.000000,-0.000000,0.027074
-15.0,70,2100.000000,-275.000000,-0.130952,0.020901
-14.5,83,2400.000000,275.000000,0.114583,0.019459
-14.0,120,3425.000000,-700.000000,-0.204380,0.016502
-13.5,149,4475.000000,587.500000,0.131285,0.014074
-13.0,232,6475.000000,-200.000000,-0.030888,0.012421
-12.5,251,7050.000000,-375.000000,-0.053191,0.011561
-12.0,348,9600.000000,-450.000000,-0.046875,0.009987
-11.5,436,12500.000000,412.500000,0.033000,0.008825
-11.0,550,15600.000000,25.000000,0.001603,0.007867
-10.5,666,19175.000000,225.000000,0.011734,0.007069
-10.0,958,26725.000000,-300.000000,-0.011225,0.006014
-9.5,1135,32400.000000,837.500000,0.025849,0.005416
-9.0,1420,40375.000000,-1312.500000,-0.032508,0.004883
-8.5,1932,53825.000000,-3200.000000,-0.059452,0.004207
-8.0,2232,62775.000000,312.500000,0.004978,0.003905
-7.5,2790,78225.000000,-1537.500000,-0.019655,0.003512
-7.0,3445,97075.000000,-6037.500000,-0.062194,0.003143
-6.5,4165,116750.000000,-2150.000000,-0.018415,0.002868
-6.0,5081,142300.000000,-1087.500000,-0.007642,0.002603
-5.5,6374,178250.000000,-2637.500000,-0.014797,0.002319
-5.0,7866,219900.000000,-5337.500000,-0.024272,0.002102
-4.5,9064,254475.000000,-487.500000,-0.001916,0.001948
-4.0,10955,305275.000000,-825.000000,-0.002702,0.001773
-3.5,13334,372550.000000,-4575.000000,-0.012280,0.001612
-3.0,16186,449975.000000,-987.500000,-0.002195,0.001463
-2.5,18569,516675.000000,-14687.500000,-0.028427,0.001368
-2.0,22960,639550.000000,-3237.500000,-0.005062,0.001229
-1.5,28284,784200.000000,-6237.500000,-0.007954,0.001110
-1.0,33113,916450.000000,-11650.000000,-0.012712,0.001028
-0.5,39451,1090800.000000,-5287.500000,-0.004847,0.000941
0.0,48177,1334550.000000,1237.500000,0.000927,0.000853
0.5,37803,1045550.000000,-10437.500000,-0.009983,0.000961
1.0,30841,852400.000000,1962.500000,0.002302,0.001066
1.5,25916,716000.000000,1050.000000,0.001466,0.001161
2.0,21723,599725.000000,-4237.500000,-0.007066,0.001272
2.5,17723,488650.000000,7800.000000,0.015962,0.001410
3.0,14820,588737.500000,-1450.000000,-0.002463,0.001283
3.5,12736,1040275.000000,5600.000000,0.005383,0.000964
4.0,10436,1279762.500000,30562.500000,0.023881,0.000873
4.5,8659,1410912.500000,9600.000000,0.006804,0.000836
5.0,7679,1546575.000000,6537.500000,0.004227,0.000800
5.5,6129,1501012.500000,1425.000000,0.000949,0.000814
6.0,4972,1395212.500000,17237.500000,0.012355,0.000847
6.5,4105,1315275.000000,21400.000000,0.016270,0.000874
7.0,3336,1195612.500000,15925.000000,0.013320,0.000917
7.5,2741,1097175.000000,36625.000000,0.033381,0.000954
8.0,2195,959962.500000,31537.500000,0.032853,0.001027
8.5,1886,908437.500000,41550.000000,0.045738,0.001041
9.0,1328,689712.500000,-9650.000000,-0.013991,0.001203
9.5,1112,620250.000000,-337.500000,-0.000544,0.001273
10.0,873,516825.000000,-5050.000000,-0.009771,0.001398
10.5,727,461550.000000,-16775.000000,-0.036345,0.001467
11.0,547,362112.500000,25400.000000,0.070144,0.001675
11.5,455,328425.000000,10762.500000,0.032770,0.001732
12.0,290,217000.000000,12125.000000,0.055876,0.002102
12.5,257,206712.500000,20350.000000,0.098446,0.002207
13.0,206,169737.500000,16812.500000,0.099050,0.002437
13.5,124,109487.500000,1537.500000,0.014043,0.002967
14.0,105,95787.500000,2525.000000,0.026360,0.003207
14.5,60,56725.000000,-262.500000,-0.004628,0.004074
15.0,68,67537.500000,8425.000000,0.124746,0.003727
15.5,46,49525.000000,1487.500000,0.030035,0.004445
16.0,29,29412.500000,-13237.500000,-0.450064,0.005586
16.5,28,31862.500000,9150.000000,0.287171,0.005373
17.0,23,23487.500000,-4312.500000,-0.183608,0.005806
17.5,9,11275.000000,2275.000000,0.201774,0.009224
18.0,5,7025.000000,-7025.000000,-1.000000,0.000000
18.5,7,8475.000000,-2450.000000,-0.289086,0.007594
19.0,5,8075.000000,3700.000000,0.458204,0.009394
19.5,3,3825.000000,1912.500000,0.500000,0.017465
20.0,1,1300.000000,1300.000000,1.000000,0.000000
20.5,1,1350.000000,0.000000,0.000000,0.000000
21.5,2,2875.000000,-2875.000000,-1.000000,0.000000
