TrueCount,HandsPlayed,TotalPayout,EV,StdError
-4.0,16,-6.000000,-0.375000,0.288111
-3.5,122,10.500000,0.086066,0.111290
-3.0,1082,-15.500000,-0.014325,0.034931
-2.5,8978,-96.500000,-0.010748,0.012202
-2.0,73318,-1250.000000,-0.017049,0.004203
-1.5,513891,-6523.500000,-0.012694,0.001584
-1.0,3789139,-40083.500000,-0.010579,0.000581
-0.5,27840118,-225343.500000,-0.008094,0.000214
0.0,250717035,-1281310.000000,-0.005111,0.000071
0.5,160326965,-928586.500000,-0.005792,0.000089
1.0,157258134,-861650.500000,-0.005479,0.000090
1.5,148390985,-855416.000000,-0.005765,0.000092
2.0,153410366,-852759.500000,-0.005559,0.000091
2.5,147310764,-796384.500000,-0.005406,0.000093
3.0,137940064,-757889.000000,-0.005494,0.000096
3.5,135990963,-737564.500000,-0.005424,0.000097
4.0,130743651,-709109.500000,-0.005424,0.000098
4.5,127192106,-677438.500000,-0.005326,0.000100
5.0,121109056,-641843.000000,-0.005300,0.000102
5.5,116083088,-583865.500000,-0.005030,0.000104
6.0,116375643,-604716.500000,-0.005196,0.000104
6.5,109987423,-559016.000000,-0.005083,0.000107
7.0,107031180,-548896.000000,-0.005128,0.000109
7.5,104041592,-526395.500000,-0.005059,0.000110
8.0,100775289,-504603.500000,-0.005007,0.000112
8.5,99047148,-468694.000000,-0.004732,0.000113
9.0,93173157,-478537.500000,-0.005136,0.000117
9.5,92233792,-433119.500000,-0.004696,0.000117
10.0,88125568,-438200.500000,-0.004972,0.000120
10.5,87707558,-429516.000000,-0.004897,0.000120
11.0,84437233,-399581.000000,-0.004732,0.000122
11.5,81929424,-367635.500000,-0.004487,0.000124
12.0,79447992,-361482.500000,-0.004550,0.000126
12.5,77807098,-360164.500000,-0.004629,0.000128
13.0,73765176,-288039.000000,-0.003905,0.000131
13.5,73153281,-305190.500000,-0.004172,0.000131
14.0,69453594,-260792.500000,-0.003755,0.000135
14.5,68565555,-252727.500000,-0.003686,0.000136
15.0,63902613,-183002.000000,-0.002864,0.000141
15.5,61503698,-157813.000000,-0.002566,0.000143
16.0,56681724,-128048.000000,-0.002259,0.000149
16.5,55327830,-96022.000000,-0.001736,0.000151
17.0,54648214,-71862.500000,-0.001315,0.000152
17.5,43735293,-28513.500000,-0.000652,0.000169
18.0,42245555,21950.000000,0.000520,0.000172
18.5,38585775,35181.000000,0.000912,0.000180
19.0,34329023,65456.000000,0.001907,0.000191
19.5,29252906,92289.500000,0.003155,0.000207
20.0,25046958,92887.000000,0.003709,0.000223
20.5,23038195,113183.000000,0.004913,0.000232
21.0,17276588,104080.500000,0.006024,0.000268
21.5,14395199,104618.000000,0.007268,0.000293
22.0,12246193,92082.000000,0.007519,0.000318
22.5,8854272,85182.500000,0.009620,0.000373
23.0,6981644,78444.500000,0.011236,0.000420
23.5,5470913,61241.500000,0.011194,0.000474
24.0,4041391,53005.500000,0.013116,0.000550
24.5,2529713,36755.000000,0.014529,0.000695
25.0,2010239,29239.500000,0.014545,0.000779
25.5,1457026,21844.000000,0.014992,0.000914
26.0,769891,14316.000000,0.018595,0.001256
26.5,643306,12279.000000,0.019087,0.001372
27.0,389483,6998.000000,0.017967,0.001761
27.5,204723,3788.000000,0.018503,0.002425
28.0,151989,3428.000000,0.022554,0.002811
28.5,89520,2225.000000,0.024855,0.003653
29.0,41789,647.500000,0.015495,0.005360
29.5,28561,927.000000,0.032457,0.006480
30.0,16132,426.000000,0.026407,0.008581
30.5,6747,225.500000,0.033422,0.013231
31.0,4059,39.500000,0.009731,0.016990
31.5,2269,46.000000,0.020273,0.023024
32.0,836,16.000000,0.019139,0.036950
32.5,471,47.000000,0.099788,0.051278
33.0,196,-3.000000,-0.015306,0.077369
33.5,120,19.000000,0.158333,0.093909
34.0,46,7.500000,0.163043,0.155290
34.5,11,-4.000000,-0.363636,0.346714
35.0,8,0.000000,0.000000,0.353553
35.5,5,8.000000,1.600000,0.089443
36.0,2,0.000000,0.000000,0.707107
36.5,1,0.000000,0.000000,0.000000
