TrueCount,HandsPlayed,TotalPayout,EV,StdError
-3.5,11,37.500000,3.409091,8.517560
-3.0,96,-500.000000,-5.208333,2.814830
-2.5,1043,-1575.000000,-1.510067,0.891773
-2.0,8370,-2350.000000,-0.280765,0.311170
-1.5,58008,-19500.000000,-0.336161,0.117608
-1.0,427903,-130562.500000,-0.305122,0.043201
-0.5,3147263,-842900.000000,-0.267820,0.015904
0.0,28378397,-5050162.500000,-0.177958,0.005282
0.5,18071740,-3628025.000000,-0.200757,0.006623
1.0,17745804,-3407237.500000,-0.192002,0.006681
1.5,16760489,-2995650.000000,-0.178733,0.006877
2.0,17313930,-3420475.000000,-0.197556,0.006765
2.5,16626946,-3134075.000000,-0.188494,0.006902
3.0,15569583,-2818037.500000,-0.180996,0.007134
3.5,15356845,-2730775.000000,-0.177821,0.007182
4.0,14761904,-2598962.500000,-0.176059,0.007324
4.5,14360136,-2625775.000000,-0.182852,0.007427
5.0,13674533,-2628262.500000,-0.192201,0.007609
5.5,13105322,-2296800.000000,-0.175257,0.007774
6.0,13139499,-2358137.500000,-0.179469,0.007762
6.5,12421278,-2214725.000000,-0.178301,0.007985
7.0,12083821,-1978612.500000,-0.163741,0.008095
7.5,11745128,-1955462.500000,-0.166491,0.008209
8.0,11371321,-2037937.500000,-0.179217,0.008343
8.5,11185963,-1791487.500000,-0.160155,0.008411
9.0,10518056,-1934937.500000,-0.183963,0.008674
9.5,10418441,-1801125.000000,-0.172879,0.008713
10.0,9956392,-1805462.500000,-0.181337,0.008916
10.5,9912752,-1681912.500000,-0.169672,0.008935
11.0,9548667,-1503000.000000,-0.157404,0.009103
11.5,9279551,-1430637.500000,-0.154171,0.009233
12.0,9026130,-1559425.000000,-0.172768,0.009362
12.5,8850890,-1663037.500000,-0.187895,0.009457
13.0,8450331,-1419825.000000,-0.168020,0.009675
13.5,8415372,-1398262.500000,-0.166156,0.009696
14.0,8075958,-1429237.500000,-0.176974,0.009898
14.5,8075261,-1283687.500000,-0.158965,0.009895
15.0,7666335,-1168612.500000,-0.152434,0.010159
15.5,7527876,-1361525.000000,-0.180864,0.010249
16.0,7211605,-1270987.500000,-0.176242,0.010474
16.5,7278064,-1102662.500000,-0.151505,0.010425
17.0,7471818,-1306525.000000,-0.174860,0.010288
17.5,6451558,-872775.000000,-0.135281,0.011076
18.0,6589387,-1001275.000000,-0.151953,0.010953
18.5,6512993,-939475.000000,-0.144246,0.011017
19.0,6418854,-1086350.000000,-0.169244,0.011098
19.5,6183164,-1078937.500000,-0.174496,0.011306
20.0,6055538,-938325.000000,-0.154953,0.011424
20.5,6197790,-914900.000000,-0.147617,0.011294
21.0,5613284,-898712.500000,-0.160105,0.011866
21.5,5688710,-939087.500000,-0.165079,0.011788
22.0,5709230,-915000.000000,-0.160267,0.011768
22.5,5204920,-864600.000000,-0.166112,0.012326
23.0,5436402,-794537.500000,-0.146151,0.012060
23.5,5217891,-772487.500000,-0.148046,0.012312
24.0,5212131,-848675.000000,-0.162827,0.012316
24.5,5002616,-693300.000000,-0.138587,0.012570
25.0,4842014,-767875.000000,-0.158586,0.012772
25.5,4775604,-693112.500000,-0.145136,0.012866
26.0,4922765,-897312.500000,-0.182278,0.012680
26.5,4594667,-561550.000000,-0.122218,0.013112
27.0,4438182,-722425.000000,-0.162775,0.013349
27.5,4447105,-678312.500000,-0.152529,0.013335
28.0,4403113,-579075.000000,-0.131515,0.013393
28.5,4291889,-691587.500000,-0.161138,0.013571
29.0,4184527,-763200.000000,-0.182386,0.013745
29.5,4098608,-660375.000000,-0.161122,0.013884
30.0,4164339,-640700.000000,-0.153854,0.013775
30.5,3976109,-712787.500000,-0.179268,0.014096
