TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar
-18.0,2,50.000000,-50.000000,-1.000000,0.000000
-17.0,4,150.000000,-50.000000,-0.333333,0.076980
-16.5,10,275.000000,-75.000000,-0.272727,0.058016
-16.0,8,225.000000,-87.500000,-0.388889,0.062416
-15.5,19,550.000000,-125.000000,-0.227273,0.043942
-15.0,15,450.000000,-25.000000,-0.055556,0.045737
-14.5,30,875.000000,-150.000000,-0.171429,0.029677
-14.0,43,1225.000000,-187.500000,-0.153061,0.027714
-13.5,57,1625.000000,12.500000,0.007692,0.024080
-13.0,73,2025.000000,-100.000000,-0.049383,0.021709
-12.5,101,2850.000000,-150.000000,-0.052632,0.018540
-12.0,130,3625.000000,37.500000,0.010345,0.016565
-11.5,200,5525.000000,-262.500000,-0.047511,0.013184
-11.0,240,6950.000000,487.500000,0.070144,0.011960
-10.5,336,9550.000000,-387.500000,-0.040576,0.009915
-10.0,469,13375.000000,0.000000,0.000000,0.008471
-9.5,710,20125.000000,-1825.000000,-0.090683,0.006882
-9.0,855,24275.000000,-487.500000,-0.020082,0.006340
-8.5,1191,33350.000000,-462.500000,-0.013868,0.005336
-8.0,1661,47300.000000,962.500000,0.020349,0.004521
-7.5,2056,57950.000000,-3587.500000,-0.061907,0.004068
-7.0,2707,75825.000000,-2562.500000,-0.033795,0.003556
-6.5,3479,98475.000000,-1675.000000,-0.017009,0.003124
-6.0,4364,122300.000000,-3612.500000,-0.029538,0.002812
-5.5,5688,158975.000000,-3412.500000,-0.021466,0.002453
-5.0,6953,193400.000000,-2962.500000,-0.015318,0.002230
-4.5,8968,251375.000000,-2137.500000,-0.008503,0.001962
-4.0,11443,318600.000000,-5562.500000,-0.017459,0.001742
-3.5,14606,406725.000000,925.000000,0.002274,0.001539
-3.0,17563,488900.000000,-7037.500000,-0.014395,0.001401
-2.5,22525,624725.000000,-6262.500000,-0.010024,0.001244
-2.0,27807,769875.000000,-5112.500000,-0.006641,0.001120
-1.5,34924,968025.000000,-15162.500000,-0.015663,0.001000
-1.0,44356,1230275.000000,-13275.000000,-0.010790,0.000886
-0.5,55712,1541000.000000,-15675.000000,-0.010172,0.000792
0.0,65843,1820825.000000,-1600.000000,-0.000879,0.000728
0.5,53679,1482300.000000,-7125.000000,-0.004807,0.000807
1.0,42941,1188025.000000,-5012.500000,-0.004219,0.000901
1.5,33313,918500.000000,-6437.500000,-0.007009,0.001027
2.0,26769,739550.000000,-4250.000000,-0.005747,0.001145
2.5,21304,587175.000000,-7087.500000,-0.012071,0.001283
3.0,16895,681500.000000,3487.500000,0.005117,0.001193
3.5,13900,1138275.000000,-6337.500000,-0.005568,0.000924
4.0,10858,1336275.000000,-8562.500000,-0.006408,0.000855
4.5,8458,1388987.500000,-1962.500000,-0.001413,0.000838
5.0,6730,1369512.500000,12675.000000,0.009255,0.000841
5.5,5468,1332987.500000,12450.000000,0.009340,0.000858
6.0,4386,1238862.500000,30462.500000,0.024589,0.000901
6.5,3537,1145037.500000,-912.500000,-0.000797,0.000936
7.0,2671,953637.500000,22612.500000,0.023712,0.001027
7.5,2076,834612.500000,2012.500000,0.002411,0.001091
8.0,1606,695500.000000,30162.500000,0.043368,0.001198
8.5,1186,573087.500000,34275.000000,0.059808,0.001332
9.0,927,479800.000000,30312.500000,0.063177,0.001436
9.5,648,358600.000000,7050.000000,0.019660,0.001676
10.0,496,293187.500000,17550.000000,0.059859,0.001856
10.5,349,222675.000000,437.500000,0.001965,0.002141
11.0,259,175425.000000,20950.000000,0.119424,0.002332
11.5,176,126762.500000,13487.500000,0.106400,0.002768
12.0,146,110100.000000,187.500000,0.001703,0.003089
12.5,104,81137.500000,3312.500000,0.040826,0.003494
13.0,84,67912.500000,-1612.500000,-0.023744,0.003814
13.5,45,38275.000000,7375.000000,0.192685,0.005346
14.0,32,28237.500000,-2725.000000,-0.096503,0.006254
14.5,25,23175.000000,437.500000,0.018878,0.006667
15.0,15,14150.000000,2825.000000,0.199647,0.007648
15.5,17,16675.000000,5875.000000,0.352324,0.007843
16.0,6,6125.000000,2487.500000,0.406122,0.013057
16.5,12,12675.000000,-1075.000000,-0.084813,0.008473
17.0,2,2175.000000,-25.000000,-0.011494,0.021441
17.5,4,5700.000000,3450.000000,0.605263,0.006474
18.0,1,1175.000000,1175.000000,1.000000,0.000000
18.5,1,1200.000000,1200.000000,1.000000,0.000000
