TrueCount,HandsPlayed,TotalPayout,EV,StdError
-5.0,1,25.000000,25.000000,0.000000
-4.5,9,75.000000,8.333333,8.561686
-4.0,52,-250.000000,-4.807692,3.600218
-3.5,298,-275.000000,-0.922819,1.695781
-3.0,1486,-75.000000,-0.050471,0.744150
-2.5,7151,-3437.500000,-0.480702,0.337028
-2.0,37532,-17275.000000,-0.460274,0.148175
-1.5,200780,-44787.500000,-0.223068,0.063694
-1.0,1126072,-219325.000000,-0.194770,0.026905
-0.5,4813035,-984075.000000,-0.204460,0.012985
0.0,25328466,-3470050.000000,-0.137002,0.005650
0.5,15704619,-2704537.500000,-0.172213,0.007180
1.0,17719319,-2669112.500000,-0.150633,0.006759
1.5,17037268,-2502587.500000,-0.146889,0.006891
2.0,16177610,-2442975.000000,-0.151010,0.007072
2.5,15453264,-2421625.000000,-0.156706,0.007236
3.0,15229168,-2324962.500000,-0.152665,0.007289
3.5,15069292,-2343025.000000,-0.155483,0.007327
4.0,14559753,-1979112.500000,-0.135930,0.007455
4.5,14180616,-2028250.000000,-0.143030,0.007554
5.0,14019922,-2072387.500000,-0.147817,0.007598
5.5,13650573,-1971075.000000,-0.144395,0.007698
6.0,13143202,-1732787.500000,-0.131839,0.007845
6.5,13001211,-1863312.500000,-0.143318,0.007888
7.0,12674533,-1792187.500000,-0.141401,0.007990
7.5,12382469,-1653712.500000,-0.133553,0.008084
8.0,12119240,-1619125.000000,-0.133600,0.008171
8.5,11962812,-1678737.500000,-0.140330,0.008223
9.0,11484714,-1488900.000000,-0.129642,0.008393
9.5,11243007,-1511687.500000,-0.134456,0.008482
10.0,11286911,-1771700.000000,-0.156969,0.008464
10.5,10818472,-1473337.500000,-0.136187,0.008647
11.0,10648965,-1344637.500000,-0.126269,0.008716
11.5,10435176,-1529162.500000,-0.146539,0.008802
12.0,10226651,-1305387.500000,-0.127646,0.008893
12.5,10028407,-1400825.000000,-0.139686,0.008981
13.0,9792121,-1247075.000000,-0.127355,0.009085
13.5,9672021,-1403175.000000,-0.145076,0.009142
14.0,9451747,-1259200.000000,-0.133224,0.009251
14.5,9189583,-1258612.500000,-0.136961,0.009380
15.0,9090722,-1357925.000000,-0.149375,0.009429
15.5,8928431,-1298825.000000,-0.145471,0.009517
16.0,8652324,-1087012.500000,-0.125632,0.009666
16.5,8682701,-1193325.000000,-0.137437,0.009652
17.0,8253461,-1084437.500000,-0.131392,0.009896
17.5,8404414,-1129975.000000,-0.134450,0.009812
18.0,8156575,-1069950.000000,-0.131176,0.009956
18.5,7936042,-1098225.000000,-0.138384,0.010090
19.0,7824214,-1080625.000000,-0.138113,0.010168
19.5,7714149,-1052962.500000,-0.136498,0.010238
20.0,7543617,-920837.500000,-0.122068,0.010349
20.5,7299290,-1057075.000000,-0.144819,0.010521
21.0,7439646,-948437.500000,-0.127484,0.010424
21.5,7194608,-913875.000000,-0.127022,0.010601
22.0,6928159,-841325.000000,-0.121436,0.010802
22.5,6967809,-899400.000000,-0.129079,0.010768
23.0,6888219,-838275.000000,-0.121697,0.010832
23.5,6720708,-1015512.500000,-0.151102,0.010962
24.0,6535567,-835262.500000,-0.127803,0.011122
24.5,6504223,-897900.000000,-0.138049,0.011147
25.0,6394508,-779450.000000,-0.121894,0.011243
25.5,6098520,-676762.500000,-0.110972,0.011509
26.0,6623416,-1103062.500000,-0.166540,0.011050
26.5,5876824,-631662.500000,-0.107484,0.011724
