TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar
-48.0,1,50.000000,-50.000000,-1.000000,0.000000
-47.0,1,25.000000,-25.000000,-1.000000,0.000000
-46.0,1,50.000000,0.000000,0.000000,0.000000
-45.0,1,25.000000,25.000000,1.000000,0.000000
-44.5,2,100.000000,100.000000,1.000000,0.000000
-44.0,5,150.000000,-150.000000,-1.000000,0.000000
-43.5,2,50.000000,0.000000,0.000000,0.141421
-43.0,1,25.000000,25.000000,1.000000,0.000000
-42.5,3,75.000000,-25.000000,-0.333333,0.054433
-42.0,1,25.000000,-25.000000,-1.000000,0.000000
-41.0,2,50.000000,62.500000,1.250000,0.035355
-40.5,6,175.000000,12.500000,0.071429,0.076741
-40.0,3,100.000000,0.000000,-0.000000,0.100000
-39.5,5,175.000000,125.000000,0.714286,0.052904
-39.0,5,125.000000,-25.000000,-0.200000,0.066933
-38.5,11,300.000000,-125.000000,-0.416667,0.049768
-38.0,6,200.000000,-50.000000,-0.250000,0.068465
-37.5,11,275.000000,75.000000,0.272727,0.058016
-37.0,10,250.000000,25.000000,0.100000,0.052536
-36.5,14,400.000000,-250.000000,-0.625000,0.039031
-36.0,13,400.000000,50.000000,0.125000,0.049608
-35.5,15,475.000000,25.000000,0.052632,0.043334
-35.0,20,650.000000,-262.500000,-0.403846,0.034409
-34.5,16,475.000000,25.000000,0.052632,0.045820
-34.0,16,425.000000,-175.000000,-0.411765,0.040953
-33.5,21,625.000000,-50.000000,-0.080000,0.040271
-33.0,17,475.000000,-100.000000,-0.210526,0.043602
-32.5,27,775.000000,-225.000000,-0.290323,0.033141
-32.0,31,900.000000,-12.500000,-0.013889,0.033446
-31.5,43,1225.000000,162.500000,0.132653,0.029259
-31.0,35,1000.000000,-112.500000,-0.112500,0.029893
-30.5,28,825.000000,87.500000,0.106061,0.035276
-30.0,45,1350.000000,-175.000000,-0.129630,0.027114
-29.5,50,1450.000000,-550.000000,-0.379310,0.023679
-29.0,50,1425.000000,-150.000000,-0.105263,0.026807
-28.5,68,1900.000000,-125.000000,-0.065789,0.022356
-28.0,84,2575.000000,100.000000,0.038835,0.019109
-27.5,82,2475.000000,-237.500000,-0.095960,0.018717
-27.0,106,2800.000000,-250.000000,-0.089286,0.018044
-26.5,127,3550.000000,562.500000,0.158451,0.016132
-26.0,106,2900.000000,-487.500000,-0.168103,0.017832
-25.5,152,4200.000000,12.500000,0.002976,0.015257
-25.0,184,5475.000000,112.500000,0.020548,0.013239
-24.5,194,5675.000000,-850.000000,-0.149780,0.012810
-24.0,182,5275.000000,-287.500000,-0.054502,0.013442
