TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar
-84.0,2,75.000000,75.000000,1.000000,0.000000
-73.0,3,100.000000,25.000000,0.250000,0.082916
-72.0,2,75.000000,-75.000000,-1.000000,0.000000
-69.5,4,100.000000,-50.000000,-0.500000,0.086603
-68.5,1,50.000000,50.000000,1.000000,0.000000
-68.0,2,75.000000,-75.000000,-1.000000,0.000000
-67.0,1,25.000000,-25.000000,-1.000000,0.000000
-65.5,3,100.000000,-50.000000,-0.500000,0.086603
-65.0,2,75.000000,-75.000000,-1.000000,0.000000
-64.5,4,150.000000,50.000000,0.333333,0.076980
-64.0,2,50.000000,0.000000,0.000000,0.141421
-63.5,4,125.000000,-75.000000,-0.600000,0.071554
-63.0,3,75.000000,-50.000000,-0.666667,0.054433
-62.5,4,100.000000,25.000000,0.250000,0.082916
-62.0,5,175.000000,25.000000,0.142857,0.062968
-61.5,4,125.000000,-25.000000,-0.200000,0.087636
-61.0,9,300.000000,-100.000000,-0.333333,0.054433
-60.5,1,25.000000,-25.000000,-1.000000,0.000000
-60.0,6,175.000000,-75.000000,-0.428571,0.068299
-59.5,18,600.000000,-112.500000,-0.187500,0.040317
-59.0,5,125.000000,25.000000,0.200000,0.087636
-58.5,3,75.000000,25.000000,0.333333,0.108866
-58.0,5,125.000000,-75.000000,-0.600000,0.071554
-57.5,3,100.000000,50.000000,0.500000,0.086603
-57.0,10,300.000000,-75.000000,-0.250000,0.053359
-56.5,10,300.000000,-175.000000,-0.583333,0.043833
-56.0,13,375.000000,-75.000000,-0.200000,0.046952
-55.5,22,700.000000,-275.000000,-0.392857,0.034016
-55.0,6,225.000000,75.000000,0.333333,0.062854
-54.5,17,525.000000,50.000000,0.095238,0.040192
-54.0,18,525.000000,50.000000,0.095238,0.040192
-53.5,2,50.000000,0.000000,0.000000,0.141421
-53.0,19,575.000000,-25.000000,-0.043478,0.041663
-52.5,3,75.000000,-50.000000,-0.666667,0.054433
-52.0,44,1225.000000,-162.500000,-0.132653,0.026885
-51.0,46,1350.000000,-225.000000,-0.166667,0.025926
-50.5,6,150.000000,-100.000000,-0.666667,0.060858
-50.0,29,875.000000,-50.000000,-0.057143,0.033264
-49.5,20,575.000000,-200.000000,-0.347826,0.038120
-49.0,27,725.000000,-100.000000,-0.137931,0.034791
-48.5,37,1050.000000,-425.000000,-0.404762,0.026987
-48.0,22,675.000000,-125.000000,-0.185185,0.034802
-47.5,30,900.000000,-50.000000,-0.055556,0.033049
-47.0,54,1625.000000,0.000000,0.000000,0.023734
-46.5,48,1350.000000,-200.000000,-0.148148,0.024794
-46.0,76,2375.000000,112.500000,0.047368,0.020087
-45.5,46,1350.000000,-250.000000,-0.185185,0.025023
-45.0,45,1250.000000,-112.500000,-0.090000,0.027084
-44.5,74,2050.000000,-125.000000,-0.060976,0.020795
