TrueCount,HandsPlayed,TotalPayout,EV,StdError
-37.0,1,25.000000,25.000000,0.000000
-36.0,2,-25.000000,-12.500000,8.838835
-34.5,1,-25.000000,-25.000000,0.000000
-34.0,1,-25.000000,-25.000000,0.000000
-33.5,1,-25.000000,-25.000000,0.000000
-33.0,3,-25.000000,-8.333333,13.608276
-32.5,4,-75.000000,-18.750000,13.621559
-32.0,10,-75.000000,-7.500000,9.387492
-31.5,11,-75.000000,-6.818182,9.142416
-31.0,17,-25.000000,-1.470588,6.400215
-30.5,31,12.500000,0.403226,5.179023
-30.0,38,-150.000000,-3.947368,4.791924
-29.5,69,-250.000000,-3.623188,3.485626
-29.0,69,512.500000,7.427536,3.671050
-28.5,87,-275.000000,-3.160920,3.181869
-28.0,169,262.500000,1.553254,2.282605
-27.5,195,212.500000,1.089744,2.161994
-27.0,339,-387.500000,-1.143068,1.560987
-26.5,403,-550.000000,-1.364764,1.449940
-26.0,462,-1200.000000,-2.597403,1.358767
-25.5,859,-1637.500000,-1.906286,1.002599
-25.0,1241,-450.000000,-0.362611,0.822929
-24.5,1441,-2037.500000,-1.413949,0.777935
-24.0,2171,-3237.500000,-1.491248,0.620609
-23.5,2682,-2125.000000,-0.792319,0.545744
-23.0,3753,-5462.500000,-1.455502,0.467697
-22.5,5006,-4612.500000,-0.921394,0.411739
-22.0,6645,-5737.500000,-0.863431,0.354146
-21.5,8606,-12500.000000,-1.452475,0.312487
-21.0,11139,-12662.500000,-1.136772,0.273552
-20.5,15678,-15437.500000,-0.984660,0.229867
-20.0,19516,-19425.000000,-0.995337,0.204896
-19.5,25317,-27337.500000,-1.079808,0.180486
-19.0,32691,-28512.500000,-0.872182,0.159239
-18.5,41421,-39212.500000,-0.946682,0.141098
-18.0,53711,-46425.000000,-0.864348,0.124452
-17.5,64624,-46450.000000,-0.718773,0.113242
-17.0,87911,-83800.000000,-0.953237,0.096947
-16.5,109959,-109937.500000,-0.999804,0.086366
-16.0,135049,-109975.000000,-0.814334,0.077922
-15.5,165598,-131862.500000,-0.796281,0.070338
-15.0,212455,-150325.000000,-0.707562,0.062137
-14.5,263736,-198350.000000,-0.752078,0.055630
-14.0,324693,-260925.000000,-0.803605,0.050146
-13.5,399498,-249012.500000,-0.623314,0.045192
-13.0,473482,-320037.500000,-0.675923,0.041518
-12.5,601955,-388200.000000,-0.644899,0.036769
-12.0,717726,-439850.000000,-0.612838,0.033657
-11.5,869463,-525200.000000,-0.604051,0.030586
-11.0,1044850,-610612.500000,-0.584402,0.027862
-10.5,1238727,-672625.000000,-0.542997,0.025572
-10.0,1521346,-826200.000000,-0.543072,0.023052
-9.5,1784391,-886325.000000,-0.496710,0.021274
-9.0,2117660,-983562.500000,-0.464457,0.019524
-8.5,2512780,-1115975.000000,-0.444120,0.017921
-8.0,2924008,-1209912.500000,-0.413786,0.016604
-7.5,3490115,-1463425.000000,-0.419306,0.015180
-7.0,4087925,-1715250.000000,-0.419589,0.014020
-6.5,4743490,-1666637.500000,-0.351353,0.013009
-6.0,5574997,-1855400.000000,-0.332807,0.011988
-5.5,6367583,-2034162.500000,-0.319456,0.011209
-5.0,7410813,-2156275.000000,-0.290963,0.010384
-4.5,8656069,-2518987.500000,-0.291008,0.009603
-4.0,9942304,-2600637.500000,-0.261573,0.008956
-3.5,11481715,-2778875.000000,-0.242026,0.008329
-3.0,12908540,-2799900.000000,-0.216903,0.007850
-2.5,15015945,-2905550.000000,-0.193498,0.007274
-2.0,17224342,-3092075.000000,-0.179518,0.006787
-1.5,19602036,-3061350.000000,-0.156175,0.006359
-1.0,21541016,-2971475.000000,-0.137945,0.006063
-0.5,22041891,-2760175.000000,-0.125224,0.005990
0.0,42877935,-4791062.500000,-0.111737,0.004292
0.5,21259162,-1709287.500000,-0.080402,0.006095
1.0,20174401,-1018812.500000,-0.050500,0.006263
1.5,18218666,-538387.500000,-0.029551,0.006595
2.0,16079296,19837.500000,0.001234,0.007019
2.5,14190448,85487.500000,0.006024,0.007633
3.0,12171783,818662.500000,0.067259,0.016193
3.5,10697259,1473312.500000,0.137728,0.025967
4.0,9291589,2395437.500000,0.257807,0.037069
4.5,8070341,4229587.500000,0.524090,0.049657
5.0,6900920,4508250.000000,0.653282,0.064404
5.5,5927671,4827850.000000,0.814460,0.080919
6.0,5178190,6902075.000000,1.332913,0.099031
6.5,4395471,5970725.000000,1.358381,0.120841
7.0,3781224,7264537.500000,1.921213,0.144595
7.5,3224548,8304512.500000,2.575404,0.172376
8.0,2694326,7458087.500000,2.768072,0.205497
8.5,2313527,6989950.000000,3.021339,0.240262
9.0,1942843,6765412.500000,3.482223,0.283585
9.5,1631793,6786712.500000,4.159052,0.332658
10.0,1389529,7683287.500000,5.530571,0.385691
10.5,1129616,6722350.000000,5.971508,0.453987
11.0,953942,6711600.000000,7.106681,0.522282
11.5,794667,7085037.500000,9.064328,0.603196
12.0,654538,7365225.000000,11.567229,0.698264
12.5,547998,7819250.000000,14.869140,0.799363
13.0,428889,5865962.500000,14.347730,0.945881
13.5,362305,7051275.000000,20.492647,1.073329
14.0,292832,5973912.500000,21.555168,1.245914
14.5,237274,5054562.500000,22.523550,1.437814
15.0,191505,4708062.500000,26.056301,1.664335
15.5,148790,3960512.500000,28.005927,1.963055
16.0,121056,3288812.500000,28.609190,2.255197
16.5,98061,2477100.000000,26.822413,2.593152
17.0,78586,2128125.000000,28.714551,2.987956
17.5,57595,1762362.500000,32.486726,3.613829
18.0,47623,1293875.000000,29.079583,4.086209
18.5,36467,1213912.500000,35.544023,4.813497
19.0,28689,1394262.500000,51.316793,5.593324
19.5,22212,1025937.500000,49.620820,6.541449
20.0,16775,608975.000000,38.613940,7.697207
20.5,13691,580100.000000,45.553202,8.793870
21.0,9381,328825.000000,37.975692,10.865281
21.5,7470,355212.500000,52.124430,12.465362
22.0,5700,327912.500000,60.318059,14.684680
22.5,4073,410700.000000,105.849536,17.943407
23.0,3241,174637.500000,57.884287,20.402068
23.5,2402,172412.500000,80.030371,24.214554
24.0,1830,135987.500000,80.436667,28.606627
24.5,1247,40837.500000,38.679197,35.510081
25.0,973,102187.500000,111.201104,39.702827
25.5,729,69337.500000,100.233073,49.607269
26.0,394,-25575.000000,-68.141030,65.129852
26.5,375,-4012.500000,-11.165916,70.989456
27.0,277,-32162.500000,-120.899921,82.652630
27.5,164,2637.500000,-5.547630,108.575041
28.0,147,4525.000000,37.375100,118.549575
28.5,97,22050.000000,252.298912,137.020493
29.0,68,-13462.500000,-201.985294,188.306829
29.5,40,100.000000,37.291667,218.179694
30.0,26,8425.000000,316.071429,285.297571
30.5,21,-1425.000000,-70.039683,313.863773
31.0,13,-5125.000000,-394.230769,478.812586
31.5,14,5862.500000,170.810440,540.765266
32.0,5,3725.000000,745.000000,523.946562
32.5,4,762.500000,190.625000,873.853881
33.0,3,0.000000,0.000000,730.677007
33.5,3,1600.000000,533.333333,870.929686
34.0,4,812.500000,203.125000,919.816292
34.5,1,-1625.000000,-1625.000000,0.000000
37.5,2,3575.000000,1787.500000,8.838835
39.5,1,-1900.000000,-1900.000000,0.000000
