TrueCount,HandsPlayed,TotalPayout,EV,StdError
-33.5,2,0.000000,0.000000,17.677670
-33.0,3,75.000000,25.000000,0.000000
-32.5,1,25.000000,25.000000,0.000000
-32.0,5,-50.000000,-10.000000,13.416408
-31.5,7,0.000000,0.000000,8.748178
-31.0,9,-50.000000,-5.555556,9.442629
-30.5,16,-87.500000,-5.468750,7.731514
-30.0,24,-125.000000,-5.208333,6.025331
-29.5,35,-87.500000,-2.500000,5.096017
-29.0,48,337.500000,7.031250,4.433302
-28.5,72,-50.000000,-0.694444,3.540040
-28.0,101,-325.000000,-3.217822,2.890075
-27.5,149,-237.500000,-1.593960,2.286096
-27.0,226,-487.500000,-2.157080,2.008185
-26.5,275,-387.500000,-1.409091,1.776514
-26.0,479,450.000000,0.939457,1.332507
-25.5,549,-187.500000,-0.341530,1.246383
-25.0,903,-1100.000000,-1.218162,0.951977
-24.5,1179,-700.000000,-0.593723,0.849589
-24.0,1703,-3462.500000,-2.033177,0.705477
-23.5,2254,-3150.000000,-1.397516,0.606280
-23.0,3042,-5362.500000,-1.762821,0.518020
-22.5,4559,-5712.500000,-1.253016,0.429822
-22.0,5610,-3862.500000,-0.688503,0.386713
-21.5,7882,-9575.000000,-1.214793,0.324103
-21.0,10660,-12687.500000,-1.190197,0.279500
-20.5,13824,-23037.500000,-1.666486,0.246061
-20.0,18881,-28212.500000,-1.494227,0.209652
-19.5,24786,-24987.500000,-1.008130,0.183201
-19.0,31926,-40300.000000,-1.262294,0.161213
-18.5,41633,-36750.000000,-0.882713,0.141274
-18.0,55146,-45587.500000,-0.826669,0.122531
-17.5,72882,-61012.500000,-0.837141,0.106639
-17.0,86801,-78250.000000,-0.901487,0.097365
-16.5,117541,-113962.500000,-0.969555,0.083543
-16.0,147948,-112662.500000,-0.761501,0.074591
-15.5,183913,-161525.000000,-0.878269,0.066761
-15.0,238908,-204612.500000,-0.856449,0.058606
-14.5,296619,-220487.500000,-0.743336,0.052589
-14.0,372324,-259987.500000,-0.698283,0.046874
-13.5,463168,-364000.000000,-0.785892,0.042002
-13.0,564339,-379350.000000,-0.672202,0.038043
-12.5,710099,-506262.500000,-0.712946,0.033864
-12.0,874027,-575950.000000,-0.658961,0.030490
-11.5,1066996,-601775.000000,-0.563990,0.027607
-11.0,1305417,-834637.500000,-0.639365,0.024938
-10.5,1564889,-999762.500000,-0.638871,0.022767
-10.0,1939394,-1102062.500000,-0.568251,0.020435
-9.5,2282804,-1257700.000000,-0.550945,0.018813
-9.0,2764511,-1426825.000000,-0.516122,0.017089
-8.5,3320407,-1792225.000000,-0.539761,0.015582
-8.0,3914828,-1930087.500000,-0.493020,0.014344
-7.5,4706046,-2204700.000000,-0.468482,0.013073
-7.0,5570893,-2598737.500000,-0.466485,0.012010
-6.5,6550896,-2796400.000000,-0.426873,0.011068
-6.0,7782958,-3092900.000000,-0.397394,0.010148
-5.5,9025832,-3501487.500000,-0.387941,0.009416
-5.0,10615891,-3901425.000000,-0.367508,0.008678
-4.5,12469913,-4347200.000000,-0.348615,0.008003
-4.0,14506680,-4433150.000000,-0.305594,0.007416
-3.5,16975570,-4926025.000000,-0.290183,0.006851
-3.0,19354738,-5317375.000000,-0.274732,0.006412
-2.5,22627671,-5661012.500000,-0.250181,0.005928
-2.0,26221126,-6064325.000000,-0.231276,0.005503
-1.5,30622889,-6338812.500000,-0.206996,0.005089
