TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar
-26.0,3,100.000000,100.000000,1.000000,0.000000
-25.5,2,50.000000,50.000000,1.000000,0.000000
-25.0,1,25.000000,25.000000,1.000000,0.000000
-24.5,2,50.000000,50.000000,1.000000,0.000000
-24.0,9,225.000000,-75.000000,-0.333333,0.062854
-23.5,4,100.000000,-25.000000,-0.250000,0.082916
-23.0,8,225.000000,50.000000,0.222222,0.061083
-22.5,17,525.000000,125.000000,0.238095,0.040192
-22.0,15,375.000000,-112.500000,-0.300000,0.044020
-21.5,19,525.000000,-237.500000,-0.452381,0.039213
-21.0,40,1100.000000,12.500000,0.011364,0.027740
-20.5,31,825.000000,-212.500000,-0.257576,0.034316
-20.0,27,750.000000,125.000000,0.166667,0.034102
-19.5,58,1625.000000,-275.000000,-0.169231,0.023562
-19.0,49,1350.000000,87.500000,0.064815,0.026714
-18.5,59,1575.000000,-187.500000,-0.119048,0.024251
-18.0,98,2675.000000,-225.000000,-0.084112,0.018289
-17.5,116,3225.000000,162.500000,0.050388,0.016978
-17.0,141,4025.000000,512.500000,0.127329,0.015572
-16.5,174,4900.000000,362.500000,0.073980,0.013811
-16.0,209,5950.000000,-387.500000,-0.065126,0.012695
-15.5,231,6500.000000,200.000000,0.030769,0.012254
-15.0,298,8450.000000,-900.000000,-0.106509,0.010488
-14.5,386,10825.000000,650.000000,0.060046,0.009352
-14.0,443,12250.000000,-1175.000000,-0.095918,0.008768
-13.5,523,14575.000000,-1150.000000,-0.078902,0.008066
-13.0,640,17500.000000,-550.000000,-0.031429,0.007392
-12.5,746,20650.000000,625.000000,0.030266,0.006867
-12.0,836,23525.000000,-387.500000,-0.016472,0.006282
-11.5,1071,29900.000000,62.500000,0.002090,0.005702
-11.0,1331,37525.000000,2500.000000,0.066622,0.005045
-10.5,1558,43425.000000,-1575.000000,-0.036269,0.004695
-10.0,1951,54675.000000,-2675.000000,-0.048925,0.004163
