TrueCount,HandsPlayed,TotalPayout,EV,StdError
-27.0,1,-25.000000,-25.000000,0.000000
-26.5,2,50.000000,25.000000,0.000000
-26.0,2,50.000000,25.000000,0.000000
-25.5,4,-25.000000,-6.250000,16.237976
-25.0,2,25.000000,12.500000,26.516504
-24.5,4,-100.000000,-25.000000,8.838835
-24.0,16,-175.000000,-10.937500,5.833275
-23.5,16,250.000000,15.625000,7.534102
-23.0,23,0.000000,0.000000,5.953506
-22.5,26,12.500000,0.480769,5.708040
-22.0,79,100.000000,1.265823,3.513905
-21.5,115,-462.500000,-4.021739,2.647126
-21.0,162,-862.500000,-5.324074,2.352587
-20.5,262,-112.500000,-0.429389,1.757313
-20.0,418,-475.000000,-1.136364,1.459056
-19.5,732,-2362.500000,-3.227459,1.070821
-19.0,1078,-2550.000000,-2.365492,0.892435
-18.5,1609,-2925.000000,-1.817899,0.718854
-18.0,2469,-2350.000000,-0.951802,0.588409
-17.5,3208,-4287.500000,-1.336502,0.513931
-17.0,5991,-8850.000000,-1.477216,0.377392
-16.5,8192,-12062.500000,-1.472473,0.324196
-16.0,11625,-13075.000000,-1.124731,0.269139
-15.5,17039,-24662.500000,-1.447415,0.221792
-15.0,24928,-28037.500000,-1.124739,0.184118
-14.5,34321,-43087.500000,-1.255427,0.156891
-14.0,49724,-63787.500000,-1.282831,0.130130
-13.5,66051,-64200.000000,-0.971976,0.112373
-13.0,102845,-107437.500000,-1.044655,0.090322
-12.5,131961,-149837.500000,-1.135468,0.079449
-12.0,179888,-210150.000000,-1.168227,0.067966
-11.5,244731,-234612.500000,-0.958655,0.058228
-11.0,327200,-261750.000000,-0.799969,0.050315
-10.5,439970,-389187.500000,-0.884577,0.043315
-10.0,598707,-468625.000000,-0.782728,0.037083
-9.5,760571,-552912.500000,-0.726970,0.032875
-9.0,1018104,-767925.000000,-0.754270,0.028400
-8.5,1285333,-888950.000000,-0.691611,0.025226
-8.0,1702776,-1159800.000000,-0.681123,0.021889
-7.5,2138362,-1319062.500000,-0.616857,0.019523
-7.0,2769622,-1642475.000000,-0.593032,0.017136
-6.5,3518460,-1860637.500000,-0.528822,0.015187
-6.0,4359559,-2295037.500000,-0.526438,0.013632
-5.5,5571465,-2538175.000000,-0.455567,0.012046
-5.0,6912092,-3033025.000000,-0.438800,0.010801
-4.5,8545678,-3438300.000000,-0.402344,0.009706
-4.0,10590552,-3727337.500000,-0.351949,0.008707
-3.5,13103573,-4450000.000000,-0.339602,0.007819
-3.0,15908321,-4727800.000000,-0.297190,0.007089
-2.5,19618324,-4991762.500000,-0.254444,0.006377
-2.0,23890244,-5592787.500000,-0.234103,0.005773
-1.5,29069687,-5633700.000000,-0.193800,0.005228
-1.0,34826260,-5493400.000000,-0.157737,0.004772
-0.5,40562527,-5111825.000000,-0.126023,0.004417
0.0,61914023,-5981137.500000,-0.096604,0.003573
0.5,38537713,-2243337.500000,-0.058211,0.004530
1.0,32951838,-1098400.000000,-0.033333,0.004904
1.5,27500422,926937.500000,0.033706,0.010462
2.0,22626100,2535925.000000,0.112080,0.022440
2.5,18507721,7604237.500000,0.410868,0.036887
3.0,15001145,12525162.500000,0.834947,0.054465
3.5,12336328,16982050.000000,1.376589,0.075463
4.0,9946893,20649050.000000,2.075930,0.100684
4.5,8006006,22311925.000000,2.786898,0.130650
5.0,6468206,22864987.500000,3.534981,0.166325
5.5,5194237,27457400.000000,5.299443,0.209649
6.0,4059565,28753337.500000,7.171916,0.264246
6.5,3279040,32839675.000000,10.251571,0.322740
7.0,2583247,37192175.000000,14.995842,0.395435
7.5,1979304,37088462.500000,19.699558,0.487923
8.0,1579102,33687450.000000,22.495545,0.588342
8.5,1186606,27595675.000000,24.560095,0.727283
9.0,936992,25308687.500000,28.542795,0.870760
9.5,699566,20226300.000000,30.497793,1.068637
10.0,549736,18194237.500000,35.024801,1.275854
10.5,402682,14114137.500000,37.240361,1.571436
11.0,299728,12680487.500000,44.790705,1.916485
11.5,222142,9362262.500000,44.681637,2.331420
12.0,163362,7326075.000000,47.448356,2.845443
12.5,119126,5745750.000000,50.768886,3.477155
13.0,92419,5553300.000000,63.668902,4.115471
13.5,58767,3499325.000000,62.916345,5.388075
14.0,43488,2954587.500000,71.825227,6.474983
14.5,29886,1904887.500000,67.169267,8.106307
15.0,21915,2180925.000000,105.765305,9.803927
15.5,14847,1166975.000000,83.123849,12.364540
16.0,10124,1062175.000000,110.194595,15.504779
16.5,7137,507425.000000,74.921021,18.952275
17.0,5032,448300.000000,92.842436,23.349229
17.5,2829,231475.000000,88.058344,32.348301
18.0,2197,135587.500000,63.467784,37.257379
18.5,1386,44137.500000,34.451834,47.577563
19.0,904,-71487.500000,-81.616922,61.323955
19.5,591,80775.000000,149.730074,77.901586
20.0,351,117437.500000,354.529429,102.597239
20.5,245,-19512.500000,-89.268434,128.396588
21.0,148,12137.500000,97.183722,158.926016
21.5,90,16387.500000,228.098948,225.237079
22.0,78,51537.500000,705.330198,224.398979
22.5,32,-7100.000000,-227.785886,383.439334
23.0,18,16575.000000,978.750000,395.529691
23.5,20,6375.000000,496.947545,521.288215
24.0,9,-2100.000000,-233.333333,716.182007
24.5,3,-2250.000000,-750.000000,1224.744871
25.0,3,7875.000000,2625.000000,810.092587
25.5,3,1187.500000,395.833333,1373.665177
