TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar
-13.0,4,150.000000,-100.000000,-0.666667,0.060858
-12.5,3,75.000000,-25.000000,-0.333333,0.108866
-12.0,3,75.000000,-50.000000,-0.666667,0.054433
-11.5,10,300.000000,0.000000,0.000000,0.052705
-11.0,13,400.000000,-137.500000,-0.343750,0.045688
-10.5,33,875.000000,-50.000000,-0.057143,0.032267
-10.0,48,1300.000000,-25.000000,-0.019231,0.026780
-9.5,87,2425.000000,-37.500000,-0.015464,0.019639
-9.0,173,4875.000000,37.500000,0.007692,0.014128
-8.5,245,6800.000000,-1487.500000,-0.218750,0.011643
-8.0,370,10300.000000,25.000000,0.002427,0.009721
-7.5,521,14675.000000,-187.500000,-0.012777,0.008107
-7.0,746,20875.000000,12.500000,0.000599,0.006752
-6.5,1090,30775.000000,-125.000000,-0.004062,0.005570
-6.0,1659,47050.000000,-362.500000,-0.007705,0.004496
-5.5,2416,67150.000000,-2225.000000,-0.033135,0.003782
-5.0,3338,92375.000000,-787.500000,-0.008525,0.003221
-4.5,4515,125900.000000,-3050.000000,-0.024226,0.002751
-4.0,6042,168075.000000,-3812.500000,-0.022683,0.002394
-3.5,8516,237875.000000,-6625.000000,-0.027851,0.002008
-3.0,11384,316650.000000,-9150.000000,-0.028896,0.001744
-2.5,15316,424825.000000,-8675.000000,-0.020420,0.001504
-2.0,20178,560075.000000,-4687.500000,-0.008369,0.001313
-1.5,25374,704725.000000,-587.500000,-0.000834,0.001170
-1.0,33748,932525.000000,-9187.500000,-0.009852,0.001016
-0.5,42475,1174150.000000,8075.000000,0.006877,0.000907
0.0,52065,1440825.000000,-1125.000000,-0.000781,0.000819
0.5,40265,1114225.000000,-6350.000000,-0.005699,0.000932
1.0,31481,872125.000000,-10650.000000,-0.012212,0.001054
1.5,23739,655900.000000,-4962.500000,-0.007566,0.001216
2.0,18324,505700.000000,4300.000000,0.008503,0.001387
2.5,13844,381000.000000,-200.000000,-0.000525,0.001595
3.0,10570,330650.000000,-5575.000000,-0.016861,0.001704
3.5,8065,540675.000000,7950.000000,0.014704,0.001337
4.0,5711,599400.000000,6112.500000,0.010198,0.001271
4.5,4103,599925.000000,150.000000,0.000250,0.001275
5.0,2928,531500.000000,1562.500000,0.002940,0.001358
5.5,2117,477962.500000,15837.500000,0.033135,0.001433
6.0,1503,396575.000000,20012.500000,0.050463,0.001562
6.5,1101,325812.500000,-1712.500000,-0.005256,0.001746
7.0,761,254475.000000,1125.000000,0.004421,0.002007
7.5,524,189837.500000,-13062.500000,-0.068809,0.002311
8.0,338,135200.000000,-8887.500000,-0.065736,0.002752
8.5,235,98550.000000,6775.000000,0.068747,0.003141
9.0,175,82562.500000,5750.000000,0.069644,0.003517
9.5,110,55962.500000,3137.500000,0.056064,0.004354
10.0,53,28225.000000,2375.000000,0.084145,0.006119
10.5,42,22400.000000,5262.500000,0.234933,0.007030
11.0,22,13475.000000,1525.000000,0.113173,0.008671
11.5,11,7675.000000,1000.000000,0.130293,0.010470
12.0,6,5037.500000,-1037.500000,-0.205955,0.009148
12.5,8,4950.000000,762.500000,0.154040,0.016645
13.0,3,3000.000000,1500.000000,0.500000,0.015811
