TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar
-27.0,1,50.000000,-50.000000,-1.000000,0.000000
-25.5,1,25.000000,-25.000000,-1.000000,0.000000
-23.0,1,25.000000,0.000000,0.000000,0.000000
-21.5,1,25.000000,25.000000,1.000000,0.000000
-21.0,2,50.000000,0.000000,0.000000,0.141421
-20.5,3,75.000000,-25.000000,-0.333333,0.108866
-20.0,1,25.000000,0.000000,0.000000,0.000000
-19.5,4,100.000000,50.000000,0.500000,0.086603
-19.0,2,75.000000,-25.000000,-0.333333,0.108866
-18.5,5,150.000000,50.000000,0.333333,0.076980
-18.0,6,150.000000,-25.000000,-0.166667,0.073283
-17.5,5,125.000000,-50.000000,-0.400000,0.071554
-17.0,11,300.000000,112.500000,0.375000,0.056673
-16.5,20,650.000000,487.500000,0.750000,0.029916
-16.0,17,450.000000,-50.000000,-0.111111,0.044135
-15.5,27,750.000000,-200.000000,-0.266667,0.032569
-15.0,32,850.000000,137.500000,0.161765,0.034731
-14.5,68,2075.000000,-212.500000,-0.102410,0.021671
-14.0,68,1925.000000,50.000000,0.025974,0.022561
-13.5,83,2375.000000,350.000000,0.147368,0.020076
-13.0,138,3800.000000,-312.500000,-0.082237,0.016100
-12.5,169,4800.000000,-237.500000,-0.049479,0.014141
-12.0,258,7200.000000,-225.000000,-0.031250,0.011394
-11.5,314,9200.000000,-712.500000,-0.077446,0.010117
-11.0,467,12900.000000,-1012.500000,-0.078488,0.008615
-10.5,562,15975.000000,-37.500000,-0.002347,0.007804
-10.0,862,24325.000000,-1275.000000,-0.052415,0.006229
-9.5,1073,30350.000000,225.000000,0.007414,0.005628
-9.0,1389,39175.000000,125.000000,0.003191,0.004929
-8.5,1760,49350.000000,925.000000,0.018744,0.004370
-8.0,2211,61775.000000,-1025.000000,-0.016592,0.003956
-7.5,2757,77800.000000,-2512.500000,-0.032294,0.003494
-7.0,3542,99100.000000,-4062.500000,-0.040994,0.003118
-6.5,4283,119450.000000,-675.000000,-0.005651,0.002841
-6.0,5171,145350.000000,175.000000,0.001204,0.002575
-5.5,6474,180800.000000,-3087.500000,-0.017077,0.002304
-5.0,8027,224250.000000,-2387.500000,-0.010647,0.002071
-4.5,9993,280375.000000,-5637.500000,-0.020107,0.001847
-4.0,12186,339175.000000,-7512.500000,-0.022149,0.001685
-3.5,15602,432900.000000,-9875.000000,-0.022811,0.001489
-3.0,18730,522425.000000,-9275.000000,-0.017754,0.001358
-2.5,22640,628200.000000,-7225.000000,-0.011501,0.001239
-2.0,27606,765625.000000,-462.500000,-0.000604,0.001122
-1.5,33634,930100.000000,-3362.500000,-0.003615,0.001019
-1.0,42392,1175025.000000,-7125.000000,-0.006064,0.000908
-0.5,51459,1424250.000000,-13362.500000,-0.009382,0.000823
0.0,60870,1684825.000000,9950.000000,0.005906,0.000758
0.5,49447,1365825.000000,3500.000000,0.002563,0.000841
1.0,40061,1107600.000000,-850.000000,-0.000767,0.000934
1.5,32285,892250.000000,-1625.000000,-0.001821,0.001041
2.0,26463,729950.000000,5450.000000,0.007466,0.001153
2.5,21483,590950.000000,5987.500000,0.010132,0.001283
3.0,17177,538100.000000,1375.000000,0.002555,0.001345
3.5,14272,959050.000000,1625.000000,0.001694,0.001004
4.0,11372,1196050.000000,8725.000000,0.007295,0.000901
4.5,9361,1373975.000000,27850.000000,0.020270,0.000838
5.0,7337,1333250.000000,10925.000000,0.008194,0.000852
5.5,6117,1379812.500000,-4275.000000,-0.003098,0.000841
6.0,4927,1287250.000000,11112.500000,0.008633,0.000873
6.5,4051,1202437.500000,5450.000000,0.004532,0.000914
7.0,3118,1046262.500000,6125.000000,0.005854,0.000984
7.5,2667,974800.000000,6575.000000,0.006745,0.001021
8.0,2079,845287.500000,22550.000000,0.026677,0.001092
8.5,1693,739987.500000,3975.000000,0.005372,0.001159
9.0,1244,598500.000000,8275.000000,0.013826,0.001302
9.5,1072,554687.500000,-2275.000000,-0.004101,0.001353
10.0,825,450162.500000,5362.500000,0.011912,0.001499
10.5,664,379687.500000,19150.000000,0.050436,0.001627
11.0,488,303900.000000,4787.500000,0.015754,0.001817
11.5,345,229325.000000,6175.000000,0.026927,0.002073
12.0,237,163075.000000,-13150.000000,-0.080638,0.002533
12.5,192,138337.500000,4362.500000,0.031535,0.002743
13.0,141,106725.000000,11162.500000,0.104591,0.003085
13.5,105,81300.000000,5075.000000,0.062423,0.003515
14.0,66,54287.500000,-4187.500000,-0.077136,0.004391
14.5,43,37100.000000,3137.500000,0.084569,0.005503
15.0,34,34512.500000,87.500000,0.002535,0.005231
15.5,18,17412.500000,-1837.500000,-0.105528,0.006902
16.0,13,12375.000000,-2350.000000,-0.189899,0.009000
16.5,6,5475.000000,1000.000000,0.182648,0.013931
17.0,5,4587.500000,2562.500000,0.558583,0.010122
17.5,2,2100.000000,525.000000,0.250000,0.027277
18.0,7,7150.000000,-3300.000000,-0.461538,0.011931
18.5,2,2300.000000,575.000000,0.250000,0.026064
19.0,1,1150.000000,1725.000000,1.500000,0.000000
