TrueCount,HandsPlayed,TotalPayout,EV,StdError
-40.0,2,50.000000,25.000000,0.000000
-38.5,1,25.000000,25.000000,0.000000
-38.0,1,-25.000000,-25.000000,0.000000
-37.5,1,25.000000,25.000000,0.000000
-37.0,3,-50.000000,-16.666667,18.002057
-36.5,3,0.000000,0.000000,20.412415
-36.0,3,-125.000000,-41.666667,6.804138
-35.5,5,0.000000,0.000000,14.142136
-35.0,11,-25.000000,-2.272727,8.165733
-34.5,6,-12.500000,-2.083333,13.312701
-34.0,17,-75.000000,-4.411765,6.653593
-33.5,35,-400.000000,-11.428571,4.983939
-33.0,28,25.000000,0.892857,6.247722
-32.5,51,-312.500000,-6.127451,4.135880
-32.0,94,-237.500000,-2.526596,2.988797
-31.5,111,-775.000000,-6.981982,2.869676
-31.0,136,-375.000000,-2.757353,2.731778
-30.5,213,100.000000,0.469484,2.071272
-30.0,233,-137.500000,-0.590129,1.937639
-29.5,323,-1237.500000,-3.831269,1.667528
-29.0,496,-1037.500000,-2.091734,1.373225
-28.5,692,-3025.000000,-4.371387,1.148618
-28.0,884,-2350.000000,-2.658371,1.016136
-27.5,1152,-3000.000000,-2.604167,0.868598
-27.0,1483,-3187.500000,-2.149359,0.783075
-26.5,1875,-5900.000000,-3.146667,0.692152
-26.0,3815,-7325.000000,-1.920052,0.477521
-25.5,3475,-11100.000000,-3.194245,0.506480
-25.0,4738,-12475.000000,-2.632967,0.429360
-24.5,6210,-15275.000000,-2.459742,0.373895
-24.0,7956,-19200.000000,-2.413273,0.330976
-23.5,10654,-17325.000000,-1.626150,0.287357
-23.0,13080,-30250.000000,-2.312691,0.258141
-22.5,17035,-32237.500000,-1.892427,0.226591
-22.0,21497,-31537.500000,-1.467065,0.201464
-21.5,28587,-67675.000000,-2.367335,0.173630
-21.0,33620,-65350.000000,-1.943783,0.160683
-20.5,43333,-80725.000000,-1.862899,0.141349
-20.0,55581,-109812.500000,-1.975720,0.124263
-19.5,70403,-135987.500000,-1.931558,0.110642
-19.0,85859,-143225.000000,-1.668142,0.099628
-18.5,107332,-172575.000000,-1.607862,0.089215
-18.0,134310,-229212.500000,-1.706593,0.079646
-17.5,156867,-234087.500000,-1.492267,0.073677
-17.0,203727,-324225.000000,-1.591468,0.064585
-16.5,256713,-383325.000000,-1.493204,0.057402
-16.0,293465,-397175.000000,-1.353398,0.053691
-15.5,372254,-484250.000000,-1.300859,0.047626
-15.0,447606,-581062.500000,-1.298156,0.043371
-14.5,554091,-699212.500000,-1.261909,0.038919
-14.0,659884,-793112.500000,-1.201897,0.035683
-13.5,782244,-910800.000000,-1.164343,0.032698
-13.0,1004716,-1134187.500000,-1.128864,0.028831
-12.5,1155275,-1242025.000000,-1.075090,0.026863
-12.0,1384456,-1475625.000000,-1.065852,0.024510
-11.5,1651880,-1634637.500000,-0.989562,0.022413
-11.0,1981047,-2009062.500000,-1.014142,0.020442
-10.5,2343671,-2210625.000000,-0.943232,0.018774
-10.0,2858264,-2466212.500000,-0.862836,0.016980
-9.5,3325984,-2861037.500000,-0.860208,0.015718
-9.0,3904253,-3037487.500000,-0.777995,0.014497
-8.5,4780756,-3566925.000000,-0.746101,0.013086
-8.0,5586828,-3918887.500000,-0.701451,0.012095
-7.5,6549573,-4410100.000000,-0.673342,0.011155
-7.0,7801297,-5054887.500000,-0.647955,0.010211
-6.5,9286760,-5606850.000000,-0.603747,0.009349
-6.0,10840003,-6269562.500000,-0.578373,0.008642
-5.5,12921340,-6775787.500000,-0.524387,0.007909
-5.0,15399290,-7532100.000000,-0.489120,0.007236
-4.5,18130674,-8085937.500000,-0.445981,0.006662
-4.0,21432976,-9090175.000000,-0.424121,0.006121
-3.5,25748441,-9605162.500000,-0.373039,0.005579
-3.0,30310493,-10611062.500000,-0.350079,0.005136
-2.5,36201451,-11399987.500000,-0.314904,0.004696
-2.0,43381357,-12277762.500000,-0.283019,0.004285
-1.5,52050356,-12669600.000000,-0.243410,0.003907
-1.0,63584670,-13149250.000000,-0.206799,0.003532
-0.5,77079534,-13758437.500000,-0.178497,0.003205
0.0,87984953,-13071500.000000,-0.148565,0.002998
0.5,74404334,-8977012.500000,-0.120652,0.003258
1.0,60868944,-4871275.000000,-0.080029,0.003607
1.5,50104258,-4601237.500000,-0.091833,0.007830
2.0,41729683,-759062.500000,-0.018190,0.016534
2.5,34846272,4159012.500000,0.119353,0.026895
3.0,29171771,11929037.500000,0.408924,0.039101
3.5,24768707,21522662.500000,0.868946,0.053272
4.0,20608762,27206650.000000,1.320150,0.069990
4.5,17427072,40915262.500000,2.347799,0.088685
5.0,14809242,42034700.000000,2.838874,0.110083
5.5,12406371,51015362.500000,4.124917,0.135861
6.0,10427618,65408737.500000,6.344483,0.164900
6.5,8971345,80235962.500000,9.139839,0.195136
7.0,7543583,96234312.500000,13.238286,0.231556
7.5,6323112,105656037.500000,17.532861,0.273383
8.0,5387225,104672600.000000,20.435822,0.318696
8.5,4610190,105195037.500000,24.081270,0.368966
9.0,3760346,96070025.000000,27.038121,0.435700
9.5,3212497,94065462.500000,30.997706,0.499382
10.0,2756608,89025700.000000,34.141611,0.569929
10.5,2255336,81024150.000000,38.045817,0.665412
11.0,1910021,74629475.000000,41.382518,0.758261
11.5,1588327,66247187.500000,44.147931,0.872481
12.0,1332908,63626037.500000,50.444125,0.996325
12.5,1109213,57225225.000000,54.630101,1.140653
13.0,968374,51393050.000000,56.300906,1.272185
13.5,751151,43875587.500000,61.934628,1.505478
14.0,634002,40336700.000000,67.408542,1.700801
14.5,532454,35744387.500000,70.971230,1.925122
15.0,430881,32691062.500000,80.432009,2.215411
15.5,358836,26800625.000000,79.471993,2.513655
16.0,282266,23966875.000000,89.970797,2.924794
16.5,246951,21693812.500000,92.931812,3.228908
17.0,196706,18003037.500000,97.343320,3.731949
17.5,150564,15327012.500000,108.336145,4.390424
18.0,130184,13427837.500000,109.730217,4.860469
18.5,103482,11311012.500000,116.438063,5.601921
19.0,82913,9333062.500000,118.804887,6.432825
19.5,68241,8744700.000000,135.526907,7.268206
20.0,53855,5862500.000000,115.018010,8.398271
20.5,42408,5959487.500000,150.050510,9.699931
21.0,32641,4406300.000000,143.536444,11.325872
21.5,28141,4269987.500000,160.296794,12.527549
22.0,20988,2996062.500000,152.290029,14.796633
22.5,16463,2529537.500000,162.775534,17.174994
23.0,12727,2200687.500000,182.857173,19.935526
23.5,9939,1678450.000000,180.140332,23.006008
24.0,7919,1100487.500000,146.706368,26.406983
24.5,6019,1444112.500000,254.390246,30.656074
25.0,4690,1069262.500000,245.064758,35.418873
25.5,3465,783437.500000,237.412030,42.045599
26.0,3947,638112.500000,172.665384,40.399222
26.5,1909,523300.000000,287.221695,58.572675
27.0,1524,290137.500000,204.317495,67.468218
27.5,1177,424375.000000,378.074461,79.623246
28.0,938,218775.000000,261.024771,90.770192
28.5,704,161350.000000,233.515923,106.409502
29.0,484,166562.500000,369.092173,129.476600
29.5,353,103712.500000,323.638903,150.153274
30.0,284,151662.500000,562.758917,171.813100
30.5,202,86800.000000,442.424843,213.992897
31.0,167,86425.000000,525.607287,227.382142
31.5,119,59350.000000,510.447213,292.703518
32.0,74,20162.500000,309.029683,358.421462
32.5,53,16187.500000,316.609670,396.733654
33.0,35,-12137.500000,-279.352041,555.365840
33.5,15,18512.500000,1313.205128,764.525715
34.0,13,10962.500000,931.031469,934.283566
34.5,15,-4762.500000,-176.944444,1017.707310
35.0,9,16012.500000,1779.166667,1054.762129
35.5,16,-3150.000000,-234.895833,788.163778
36.0,7,8337.500000,1191.071429,1527.166231
36.5,4,-6725.000000,-2521.875000,2248.690483
37.0,3,3400.000000,1133.333333,1860.941120
37.5,5,-3450.000000,-605.625000,1821.763831
38.0,2,5212.500000,3475.000000,1228.598032
38.5,2,1775.000000,887.500000,3137.786342
