TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar
-29.0,1,25.000000,25.000000,1.000000,0.000000
-26.0,2,50.000000,-25.000000,-0.500000,0.070711
-25.0,3,75.000000,-75.000000,-1.000000,0.000000
-24.5,3,75.000000,-25.000000,-0.333333,0.108866
-24.0,4,100.000000,-75.000000,-0.750000,0.043301
-23.5,6,175.000000,-50.000000,-0.285714,0.066569
-23.0,5,175.000000,75.000000,0.428571,0.055064
-22.5,4,100.000000,50.000000,0.500000,0.086603
-22.0,15,425.000000,0.000000,0.000000,0.047059
-21.5,13,400.000000,50.000000,0.125000,0.049608
-21.0,12,350.000000,-50.000000,-0.142857,0.048894
-20.5,26,675.000000,-137.500000,-0.203704,0.037865
-20.0,13,375.000000,-75.000000,-0.200000,0.050596
-19.5,45,1325.000000,-112.500000,-0.084906,0.026108
-19.0,45,1275.000000,-337.500000,-0.264706,0.025317
-18.5,73,2200.000000,-500.000000,-0.227273,0.019676
-18.0,87,2475.000000,-100.000000,-0.040404,0.019880
-17.5,82,2325.000000,400.000000,0.172043,0.020087
-17.0,136,4025.000000,-937.500000,-0.232919,0.014908
-16.5,142,4375.000000,-375.000000,-0.085714,0.014756
-16.0,164,4925.000000,-462.500000,-0.093909,0.013564
-15.5,237,6950.000000,-1012.500000,-0.145683,0.011428
-15.0,298,8675.000000,-587.500000,-0.067723,0.010409
-14.5,312,9325.000000,75.000000,0.008043,0.009945
-14.0,445,13250.000000,-2150.000000,-0.162264,0.008319
-13.5,591,17575.000000,-1400.000000,-0.079659,0.007328
-13.0,468,13750.000000,-162.500000,-0.011818,0.008357
-12.5,820,24025.000000,-1687.500000,-0.070239,0.006325
-12.0,1008,29025.000000,-550.000000,-0.018949,0.005760
-11.5,1062,31375.000000,-2512.500000,-0.080080,0.005452
-11.0,1385,39600.000000,-4387.500000,-0.110795,0.004847
-10.5,1784,51425.000000,-1525.000000,-0.029655,0.004274
-10.0,2060,58725.000000,-4175.000000,-0.071094,0.004019
-9.5,2161,61775.000000,-3150.000000,-0.050992,0.003938
-9.0,2702,77750.000000,-2687.500000,-0.034566,0.003511
-8.5,3216,91175.000000,-5725.000000,-0.062791,0.003221
-8.0,4113,116400.000000,-5262.500000,-0.045210,0.002863
-7.5,4852,137475.000000,-5837.500000,-0.042462,0.002638
-7.0,5707,161900.000000,-5687.500000,-0.035130,0.002432
-6.5,6777,192500.000000,-4300.000000,-0.022338,0.002217
-6.0,7745,218375.000000,-9625.000000,-0.044076,0.002093
-5.5,9418,265500.000000,-8075.000000,-0.030414,0.001894
-5.0,10798,303050.000000,-3412.500000,-0.011261,0.001780
-4.5,13077,367250.000000,-8462.500000,-0.023043,0.001619
-4.0,15675,438750.000000,-14075.000000,-0.032080,0.001479
-3.5,18008,504650.000000,-9075.000000,-0.017983,0.001380
-3.0,21675,605300.000000,-5662.500000,-0.009355,0.001260
-2.5,25031,701325.000000,-3437.500000,-0.004901,0.001172
-2.0,31633,882075.000000,-5075.000000,-0.005753,0.001046
-1.5,38366,1067800.000000,-7000.000000,-0.006556,0.000951
-1.0,42326,1172575.000000,-800.000000,-0.000682,0.000908
-0.5,49938,1383575.000000,-13862.500000,-0.010019,0.000836
0.0,84901,2348362.500000,-6100.000000,-0.002598,0.000642
0.5,47293,1301325.000000,4450.000000,0.003420,0.000861
1.0,37612,1034150.000000,11512.500000,0.011132,0.000968
1.5,33879,928725.000000,12312.500000,0.013257,0.001024
2.0,28312,772887.500000,4025.000000,0.005208,0.001122
2.5,24043,1342900.000000,275.000000,0.000205,0.000854
3.0,20345,2618887.500000,22000.000000,0.008401,0.000615
3.5,17450,3370437.500000,8662.500000,0.002570,0.000542
4.0,15369,4049212.500000,108512.500000,0.026798,0.000495
4.5,12436,4090025.000000,57100.000000,0.013961,0.000495
5.0,11069,4346675.000000,94125.000000,0.021654,0.000483
5.5,9299,4296562.500000,165150.000000,0.038438,0.000485
6.0,7487,3952512.500000,126087.500000,0.031901,0.000508
6.5,6605,3901187.500000,62462.500000,0.016011,0.000512
7.0,5566,3683050.000000,121112.500000,0.032884,0.000526
7.5,4870,3520637.500000,106237.500000,0.030176,0.000539
8.0,4080,3189812.500000,118587.500000,0.037177,0.000565
8.5,3219,2749437.500000,99525.000000,0.036198,0.000613
9.0,2884,2646850.000000,89225.000000,0.033710,0.000620
9.5,2111,2071462.500000,76875.000000,0.037111,0.000712
10.0,2077,2182775.000000,139375.000000,0.063852,0.000686
10.5,1658,1873850.000000,71700.000000,0.038263,0.000742
11.0,1284,1511687.500000,42725.000000,0.028263,0.000822
11.5,1035,1290500.000000,107912.500000,0.083621,0.000886
12.0,989,1293962.500000,37162.500000,0.028720,0.000896
12.5,775,1065337.500000,58112.500000,0.054548,0.000990
13.0,514,735737.500000,52475.000000,0.071323,0.001187
13.5,565,841537.500000,64750.000000,0.076943,0.001112
14.0,445,690325.000000,60850.000000,0.088147,0.001253
14.5,289,481887.500000,68237.500000,0.141605,0.001457
15.0,245,408075.000000,32162.500000,0.078815,0.001614
15.5,209,364337.500000,29075.000000,0.079802,0.001651
16.0,157,279625.000000,12700.000000,0.045418,0.001897
16.5,166,298812.500000,42837.500000,0.143359,0.001873
17.0,113,212100.000000,-10737.500000,-0.050625,0.002299
17.5,92,179550.000000,24862.500000,0.138471,0.002497
18.0,80,155000.000000,13000.000000,0.083871,0.002636
18.5,64,123000.000000,8000.000000,0.065041,0.003025
19.0,45,89000.000000,25000.000000,0.280899,0.003187
19.5,44,85000.000000,17000.000000,0.200000,0.003551
20.0,19,38000.000000,0.000000,-0.000000,0.005197
20.5,21,40000.000000,12000.000000,0.300000,0.005356
21.0,13,24000.000000,6000.000000,0.250000,0.007569
21.5,13,24000.000000,-4000.000000,-0.166667,0.005794
22.0,12,22000.000000,2000.000000,0.090909,0.007513
22.5,3,6000.000000,-6000.000000,-1.000000,0.000000
23.0,5,12000.000000,10000.000000,0.833333,0.005693
23.5,7,15000.000000,9000.000000,0.600000,0.007024
24.0,2,4000.000000,-4000.000000,-1.000000,0.000000
24.5,3,5000.000000,2000.000000,0.400000,0.013711
25.0,4,7000.000000,4000.000000,0.571429,0.012547
25.5,1,2000.000000,2000.000000,1.000000,0.000000
26.0,1,2000.000000,-2000.000000,-1.000000,0.000000
27.0,1,2000.000000,3000.000000,1.500000,0.000000
