TrueCount,HandsPlayed,TotalPayout,EV,StdError
-3.5,5,3.500000,0.700000,0.481664
-3.0,82,-11.000000,-0.134146,0.129650
-2.5,1317,-77.500000,-0.058846,0.031874
-2.0,18446,-530.000000,-0.028733,0.008394
-1.5,248067,-5913.500000,-0.023838,0.002294
-1.0,3254269,-56720.500000,-0.017430,0.000630
-0.5,48778720,-544766.000000,-0.011168,0.000162
0.0,343244181,-2430059.000000,-0.007080,0.000061
0.5,329944591,-2448728.000000,-0.007422,0.000062
1.0,295859507,-2138824.500000,-0.007229,0.000066
1.5,274935711,-1916637.500000,-0.006971,0.000068
2.0,253978449,-1677131.500000,-0.006603,0.000071
2.5,233001904,-1440910.000000,-0.006184,0.000074
3.0,208734297,-1171629.500000,-0.005613,0.000078
3.5,186939637,-874079.500000,-0.004676,0.000082
4.0,155890507,-525475.500000,-0.003371,0.000090
4.5,127500305,-259616.000000,-0.002036,0.000099
5.0,96176334,-36203.500000,-0.000376,0.000114
5.5,66608096,105689.500000,0.001587,0.000137
6.0,44946332,152507.500000,0.003393,0.000167
6.5,26481228,158759.000000,0.005995,0.000217
7.0,14784783,116986.000000,0.007913,0.000289
7.5,7053370,65586.000000,0.009299,0.000418
8.0,3196869,39940.000000,0.012493,0.000620
8.5,1283108,16918.000000,0.013185,0.000977
9.0,433436,6507.000000,0.015013,0.001678
9.5,152055,3391.000000,0.022301,0.002831
10.0,39469,723.500000,0.018331,0.005547
10.5,9892,307.000000,0.031035,0.011077
11.0,2270,86.500000,0.038106,0.023089
11.5,419,31.000000,0.073986,0.053378
12.0,71,-4.000000,-0.056338,0.122604
12.5,7,-4.000000,-0.571429,0.396780
13.0,2,-2.000000,-1.000000,0.000000
