TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar
-9.0,3,100.000000,62.500000,0.625000,0.096014
-8.5,1,25.000000,-25.000000,-1.000000,0.000000
-8.0,7,175.000000,37.500000,0.214286,0.080451
-7.5,16,425.000000,-12.500000,-0.029412,0.047404
-7.0,26,750.000000,25.000000,0.033333,0.037986
-6.5,53,1550.000000,287.500000,0.185484,0.024486
-6.0,100,2925.000000,-62.500000,-0.021368,0.018663
-5.5,249,6775.000000,-337.500000,-0.049815,0.012106
-5.0,494,13875.000000,-550.000000,-0.039640,0.008313
-4.5,1076,30125.000000,-1250.000000,-0.041494,0.005638
-4.0,1932,54100.000000,-1700.000000,-0.031423,0.004202
-3.5,3516,97850.000000,-4587.500000,-0.046883,0.003131
-3.0,5980,166700.000000,-2350.000000,-0.014097,0.002418
-2.5,9938,276550.000000,-7962.500000,-0.028792,0.001866
-2.0,16539,460900.000000,-1987.500000,-0.004312,0.001446
-1.5,25622,711175.000000,-15062.500000,-0.021180,0.001163
-1.0,39610,1099125.000000,-9550.000000,-0.008689,0.000938
-0.5,61857,1714275.000000,-7775.000000,-0.004535,0.000751
0.0,84025,2319900.000000,-18212.500000,-0.007851,0.000646
0.5,56860,1564700.000000,-6862.500000,-0.004386,0.000787
1.0,37404,1028050.000000,-4537.500000,-0.004414,0.000971
1.5,24057,661650.000000,975.000000,0.001474,0.001212
2.0,15107,414750.000000,2512.500000,0.006058,0.001531
2.5,9339,515075.000000,15325.000000,0.029753,0.001374
3.0,5520,706050.000000,27625.000000,0.039126,0.001176
3.5,3286,631612.500000,4950.000000,0.007837,0.001245
4.0,1895,496650.000000,15537.500000,0.031285,0.001422
4.5,1081,345875.000000,-8050.000000,-0.023274,0.001714
5.0,568,226900.000000,-862.500000,-0.003801,0.002088
5.5,281,132200.000000,850.000000,0.006430,0.002758
6.0,123,65612.500000,-6375.000000,-0.097161,0.003983
6.5,53,29925.000000,-2375.000000,-0.079365,0.005714
7.0,26,17137.500000,4350.000000,0.253829,0.007851
7.5,6,4850.000000,-25.000000,-0.005155,0.013322
8.0,9,6475.000000,2362.500000,0.364865,0.011794
8.5,1,800.000000,-800.000000,-1.000000,0.000000
