TrueCount,HandsPlayed,TotalPayout,EV,StdError
-2.5,2,-50.000000,-25.000000,0.000000
-2.0,98,-125.000000,-1.275510,2.820521
-1.5,3538,-800.000000,-0.226116,0.479780
-1.0,111885,-57250.000000,-0.511686,0.084859
-0.5,3982828,-1308437.500000,-0.328520,0.014161
0.0,47286798,-10942025.000000,-0.231397,0.004097
0.5,50656717,-11438600.000000,-0.225806,0.003958
1.0,45006286,-10376712.500000,-0.230561,0.004199
1.5,42143215,-9285775.000000,-0.220339,0.004339
2.0,39186260,-8762125.000000,-0.223602,0.004500
2.5,36726258,-8272512.500000,-0.225248,0.004648
3.0,34014705,-7278950.000000,-0.213994,0.004829
3.5,32579236,-7178550.000000,-0.220341,0.004933
4.0,30312954,-6420762.500000,-0.211816,0.005115
4.5,28528070,-6084075.000000,-0.213266,0.005271
5.0,26894545,-5748537.500000,-0.213744,0.005429
5.5,25714586,-5077487.500000,-0.197456,0.005552
6.0,24058758,-5039987.500000,-0.209487,0.005740
6.5,22886696,-4626275.000000,-0.202138,0.005884
7.0,21717956,-4527800.000000,-0.208482,0.006040
7.5,20642003,-4108187.500000,-0.199021,0.006196
8.0,19620054,-4065900.000000,-0.207232,0.006355
8.5,18870409,-3663050.000000,-0.194116,0.006479
9.0,17595243,-3220262.500000,-0.183019,0.006707
9.5,16794829,-3232312.500000,-0.192459,0.006866
10.0,16234621,-3134012.500000,-0.193045,0.006981
10.5,15224404,-2635525.000000,-0.173112,0.007208
11.0,14381608,-2532875.000000,-0.176119,0.007413
11.5,13435208,-2034462.500000,-0.151428,0.007665
12.0,12418706,-1497187.500000,-0.120559,0.007970
12.5,11433775,-1274575.000000,-0.111475,0.008301
13.0,9938712,-716425.000000,-0.072084,0.008889
13.5,9021735,-528537.500000,-0.058585,0.009326
14.0,7534390,-49625.000000,-0.006586,0.010187
14.5,6216263,270025.000000,0.043438,0.011201
15.0,4994837,509725.000000,0.102050,0.017010
15.5,3801458,989325.000000,0.260249,0.028577
16.0,2855627,876025.000000,0.306772,0.032919
16.5,2060077,1246800.000000,0.605220,0.048696
17.0,1398304,1238212.500000,0.885510,0.070288
17.5,894185,730612.500000,0.817071,0.087746
18.0,537026,590525.000000,1.099621,0.140666
18.5,343692,518550.000000,1.508764,0.187771
19.0,182736,292350.000000,1.599849,0.257214
19.5,100744,198637.500000,1.971706,0.424664
20.0,51951,135000.000000,2.598603,0.601598
20.5,25449,75675.000000,2.973594,0.870870
21.0,11208,25125.000000,2.241702,1.548694
21.5,5023,3375.000000,0.671909,2.311829
22.0,2044,11212.500000,5.485568,3.762262
22.5,868,2450.000000,2.822581,6.461919
23.0,302,2537.500000,8.402318,11.139609
23.5,84,-925.000000,-11.011905,20.224309
24.0,43,-700.000000,-16.279070,35.563947
24.5,7,400.000000,57.142857,85.373472
25.0,4,850.000000,212.500000,133.023729
25.5,1,-225.000000,-225.000000,0.000000
