TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar
-49.0,3,75.000000,-75.000000,-1.000000,0.000000
-46.5,1,25.000000,-25.000000,-1.000000,0.000000
-42.5,1,25.000000,25.000000,1.000000,0.000000
-42.0,1,25.000000,-25.000000,-1.000000,0.000000
-40.5,1,25.000000,-25.000000,-1.000000,0.000000
-40.0,6,225.000000,125.000000,0.555556,0.033127
-39.5,2,100.000000,100.000000,1.000000,0.000000
-39.0,2,100.000000,-50.000000,-0.500000,0.050000
-38.5,5,175.000000,50.000000,0.285714,0.066569
-38.0,16,450.000000,-225.000000,-0.500000,0.039284
-37.5,6,225.000000,25.000000,0.111111,0.066254
-37.0,5,200.000000,50.000000,0.250000,0.068465
-36.5,5,125.000000,-75.000000,-0.600000,0.071554
-36.0,14,425.000000,-175.000000,-0.411765,0.040953
-35.5,7,175.000000,125.000000,0.714286,0.052904
-35.0,7,200.000000,-75.000000,-0.375000,0.060596
-34.5,16,525.000000,-75.000000,-0.142857,0.038770
-34.0,24,725.000000,-375.000000,-0.517241,0.031785
-33.5,11,375.000000,175.000000,0.466667,0.041598
-33.0,37,1075.000000,-37.500000,-0.034884,0.030570
-32.5,37,1100.000000,-450.000000,-0.409091,0.025967
-32.0,30,850.000000,-225.000000,-0.264706,0.031468
-31.5,36,1075.000000,-150.000000,-0.139535,0.029841
-31.0,51,1525.000000,-75.000000,-0.049180,0.025576
-30.5,44,1250.000000,25.000000,0.020000,0.028420
-30.0,53,1675.000000,-25.000000,-0.014925,0.023690
-29.5,56,1700.000000,-100.000000,-0.058824,0.023852
-29.0,86,2450.000000,-337.500000,-0.137755,0.019078
-28.5,65,1825.000000,-362.500000,-0.198630,0.022736
-28.0,69,2125.000000,-187.500000,-0.088235,0.020792
-27.5,145,4375.000000,-425.000000,-0.097143,0.014539
-27.0,78,2325.000000,-462.500000,-0.198925,0.018818
-26.5,123,3575.000000,150.000000,0.041958,0.015900
-26.0,205,6000.000000,-387.500000,-0.064583,0.012395
-25.5,172,5225.000000,-1012.500000,-0.193780,0.012764
-25.0,122,3475.000000,50.000000,0.014388,0.016498
-24.5,244,7025.000000,-362.500000,-0.051601,0.011488
-24.0,215,6500.000000,-475.000000,-0.073077,0.011944
-23.5,250,7550.000000,-375.000000,-0.049669,0.011126
-23.0,391,11400.000000,-2137.500000,-0.187500,0.008910
-22.5,318,9175.000000,-750.000000,-0.081744,0.010269
-22.0,343,10050.000000,-200.000000,-0.019900,0.009779
-21.5,451,13275.000000,-700.000000,-0.052731,0.008506
-21.0,549,16400.000000,362.500000,0.022104,0.007661
-20.5,435,12600.000000,-175.000000,-0.013889,0.008680
-20.0,640,17975.000000,-575.000000,-0.031989,0.007366
-19.5,746,21425.000000,-1600.000000,-0.074679,0.006643
-19.0,765,21850.000000,-1350.000000,-0.061785,0.006621
-18.5,780,22775.000000,-1787.500000,-0.078485,0.006394
-18.0,1041,29400.000000,-1750.000000,-0.059524,0.005700
-17.5,1199,34575.000000,-1975.000000,-0.057122,0.005221
-17.0,916,26600.000000,-2125.000000,-0.079887,0.005994
-16.5,1394,40250.000000,-3437.500000,-0.085404,0.004857
-16.0,1407,40775.000000,-3600.000000,-0.088289,0.004769
-15.5,1534,43925.000000,-2575.000000,-0.058623,0.004657
-15.0,1580,45900.000000,-1775.000000,-0.038671,0.004572
-14.5,2158,62100.000000,-750.000000,-0.012077,0.003928
-14.0,2300,66050.000000,-2225.000000,-0.033687,0.003780
-13.5,2435,69250.000000,-6487.500000,-0.093682,0.003674
-13.0,2478,70525.000000,-5250.000000,-0.074442,0.003676
-12.5,2897,81975.000000,-4725.000000,-0.057640,0.003395
-12.0,3171,90325.000000,-2062.500000,-0.022834,0.003278
-11.5,3461,98175.000000,-4637.500000,-0.047237,0.003115
