TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar
-16.0,2,50.000000,-25.000000,-0.500000,0.070711
-15.5,6,175.000000,75.000000,0.428571,0.068299
-15.0,9,275.000000,-112.500000,-0.409091,0.058660
-14.5,10,325.000000,175.000000,0.538462,0.041369
-14.0,18,450.000000,-112.500000,-0.250000,0.045980
-13.5,23,600.000000,-150.000000,-0.250000,0.039528
-13.0,44,1200.000000,-50.000000,-0.041667,0.028080
-12.5,65,1875.000000,-187.500000,-0.100000,0.022390
-12.0,90,2625.000000,-412.500000,-0.157143,0.018384
-11.5,135,3900.000000,-150.000000,-0.038462,0.015950
-11.0,153,4200.000000,200.000000,0.047619,0.015228
-10.5,245,6800.000000,-1112.500000,-0.163603,0.011590
-10.0,383,11050.000000,412.500000,0.037330,0.009297
-9.5,488,13725.000000,-962.500000,-0.070128,0.008367
-9.0,712,20450.000000,-887.500000,-0.043399,0.006882
-8.5,934,26150.000000,-662.500000,-0.025335,0.006033
-8.0,1273,35625.000000,-337.500000,-0.009474,0.005208
-7.5,1682,47300.000000,-2637.500000,-0.055761,0.004481
-7.0,2229,62600.000000,600.000000,0.009585,0.003910
-6.5,2863,80100.000000,-1425.000000,-0.017790,0.003464
-6.0,3596,101000.000000,350.000000,0.003465,0.003084
-5.5,4842,134900.000000,-2250.000000,-0.016679,0.002666
-5.0,6235,174675.000000,-4212.500000,-0.024116,0.002336
-4.5,7567,211775.000000,-9787.500000,-0.046217,0.002132
-4.0,9882,275900.000000,-2400.000000,-0.008699,0.001869
-3.5,12657,352650.000000,-6837.500000,-0.019389,0.001646
-3.0,15486,430375.000000,-8350.000000,-0.019402,0.001497
-2.5,19702,547000.000000,-7700.000000,-0.014077,0.001327
-2.0,24326,676600.000000,-7187.500000,-0.010623,0.001195
-1.5,30139,836950.000000,-15862.500000,-0.018953,0.001074
-1.0,36882,1020100.000000,-10387.500000,-0.010183,0.000973
-0.5,43238,1196325.000000,-20412.500000,-0.017063,0.000898
0.0,65329,1804925.000000,-19950.000000,-0.011053,0.000731
0.5,41039,1135425.000000,-12200.000000,-0.010745,0.000921
1.0,34699,959175.000000,-4037.500000,-0.004209,0.001005
1.5,28338,783400.000000,-4312.500000,-0.005505,0.001111
2.0,22892,631225.000000,5037.500000,0.007981,0.001240
2.5,18404,507200.000000,737.500000,0.001454,0.001383
3.0,14510,636500.000000,4225.000000,0.006638,0.001233
3.5,11827,1060025.000000,-7112.500000,-0.006710,0.000956
4.0,9272,1196087.500000,3187.500000,0.002665,0.000904
4.5,7419,1289050.000000,8887.500000,0.006895,0.000869
5.0,5865,1248225.000000,11175.000000,0.008953,0.000889
5.5,4794,1214512.500000,47100.000000,0.038781,0.000912
6.0,3701,1081625.000000,-3587.500000,-0.003317,0.000957
6.5,2834,937750.000000,34762.500000,0.037070,0.001038
7.0,2169,813537.500000,31275.000000,0.038443,0.001123
7.5,1609,666275.000000,-2475.000000,-0.003715,0.001219
8.0,1301,597575.000000,-7462.500000,-0.012488,0.001300
8.5,949,470112.500000,-1162.500000,-0.002473,0.001484
9.0,667,357087.500000,16675.000000,0.046697,0.001689
9.5,515,297887.500000,13175.000000,0.044228,0.001857
10.0,397,249237.500000,9337.500000,0.037464,0.002004
10.5,284,179325.000000,14000.000000,0.078071,0.002411
11.0,189,133600.000000,11187.500000,0.083739,0.002803
11.5,139,108787.500000,18325.000000,0.168448,0.003017
12.0,102,78212.500000,-687.500000,-0.008790,0.003574
12.5,45,37475.000000,-862.500000,-0.023015,0.005273
13.0,52,44687.500000,8687.500000,0.194406,0.004612
13.5,31,26762.500000,-362.500000,-0.013545,0.006036
14.0,30,27850.000000,2237.500000,0.080341,0.006070
14.5,18,15412.500000,-1287.500000,-0.083536,0.007780
15.0,9,8312.500000,-4412.500000,-0.530827,0.007628
15.5,3,3075.000000,-3075.000000,-1.000000,0.000000
16.0,3,3150.000000,2100.000000,0.666667,0.008399
16.5,6,6075.000000,1675.000000,0.275720,0.011058
17.0,2,2275.000000,-1125.000000,-0.494505,0.010482
17.5,2,2350.000000,-2350.000000,-1.000000,0.000000
19.0,1,1300.000000,1300.000000,1.000000,0.000000
19.5,1,1325.000000,1987.500000,1.500000,0.000000
