TrueCount,HandsPlayed,TotalPayout,EV,StdError
-41.0,1,-50.000000,-50.000000,0.000000
-39.0,2,0.000000,0.000000,35.355339
-38.5,4,0.000000,0.000000,12.500000
-38.0,5,-25.000000,-5.000000,10.954451
-37.5,10,-125.000000,-12.500000,11.319231
-37.0,8,75.000000,9.375000,8.769510
-36.5,10,-125.000000,-12.500000,8.100926
-36.0,23,12.500000,0.543478,6.452452
-35.5,18,-150.000000,-8.333333,7.349309
-35.0,40,-162.500000,-4.062500,5.046415
-34.5,39,-475.000000,-12.179487,4.521098
-34.0,41,-325.000000,-7.926829,4.598630
-33.5,92,-625.000000,-6.793478,3.028478
-33.0,96,-450.000000,-4.687500,2.947717
-32.5,143,-1012.500000,-7.080420,2.559143
-32.0,196,-200.000000,-1.020408,2.185830
-31.5,241,-1600.000000,-6.639004,2.028808
-31.0,384,-2375.000000,-6.184896,1.507970
-30.5,424,-487.500000,-1.149764,1.476829
-30.0,556,-2550.000000,-4.586331,1.326849
-29.5,794,-2837.500000,-3.573678,1.045949
-29.0,1022,-3450.000000,-3.375734,0.960066
-28.5,1305,-2575.000000,-1.973180,0.846468
-28.0,1747,-5075.000000,-2.904980,0.734704
-27.5,1925,-7150.000000,-3.714286,0.684627
-27.0,3218,-12962.500000,-4.028123,0.526545
-26.5,4220,-15525.000000,-3.678910,0.462962
-26.0,3511,-12075.000000,-3.439191,0.505582
-25.5,6662,-20912.500000,-3.139072,0.368202
-25.0,8751,-19512.500000,-2.229745,0.320144
-24.5,8958,-22437.500000,-2.504744,0.316025
-24.0,12655,-29712.500000,-2.347886,0.264844
-23.5,15812,-33150.000000,-2.096509,0.237521
-23.0,20526,-49950.000000,-2.433499,0.209844
-22.5,25805,-59150.000000,-2.292191,0.185690
-22.0,30967,-68050.000000,-2.197501,0.169539
-21.5,38604,-92837.500000,-2.404867,0.150878
-21.0,50296,-102450.000000,-2.036941,0.132012
-20.5,59698,-119187.500000,-1.996507,0.121442
-20.0,75595,-157462.500000,-2.082975,0.107722
-19.5,89317,-188587.500000,-2.111440,0.098657
-19.0,111098,-201462.500000,-1.813376,0.088513
-18.5,144113,-280587.500000,-1.946996,0.077564
-18.0,156118,-278137.500000,-1.781585,0.074436
-17.5,213657,-362825.000000,-1.698166,0.063607
-17.0,244927,-426087.500000,-1.739651,0.059300
-16.5,306777,-500675.000000,-1.632049,0.052909
-16.0,357488,-545062.500000,-1.524702,0.048938
-15.5,440859,-672550.000000,-1.525544,0.044000
-15.0,521626,-736762.500000,-1.412434,0.040421
-14.5,615812,-843800.000000,-1.370223,0.037135
-14.0,746131,-1024887.500000,-1.373603,0.033701
-13.5,925296,-1169737.500000,-1.264177,0.030205
-13.0,1044951,-1308450.000000,-1.252164,0.028404
-12.5,1288941,-1551925.000000,-1.204031,0.025552
-12.0,1510248,-1698400.000000,-1.124584,0.023556
-11.5,1780735,-1941012.500000,-1.090006,0.021670
-11.0,2132756,-2173437.500000,-1.019075,0.019775
-10.5,2531703,-2467825.000000,-0.974769,0.018123
-10.0,3010979,-2857387.500000,-0.948990,0.016599
-9.5,3456520,-3141012.500000,-0.908721,0.015479
