UserValue,DealerValue,TrueCount,Hit EV,Hit Variance,Stand EV,Stand Variance,Double EV,Double Variance,Split EV,Split Variance,Surrender EV,Surrender Variance,Insurance Accept EV,Insurance Accept Variance,Insurance Decline EV,Insurance Decline Variance,Hands Played
9,2,-6.5,-1.000000,0.000000,0.000000,0.000000,-2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2
9,2,-6,-1.000000,0.000000,0.000000,0.000000,-2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2
9,2,-5.5,0.000000,1.000000,0.000000,0.000000,-2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2
9,2,-5,0.428571,0.673469,0.000000,0.000000,0.857143,2.693878,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14
9,2,-4.5,0.033333,0.898889,0.000000,0.000000,-0.066667,3.595556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30
9,2,-4,-0.093750,0.855794,0.000000,0.000000,-0.250000,3.437500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,96
9,2,-3.5,0.024390,0.921356,0.000000,0.000000,-0.087805,3.680095,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,205
9,2,-3,-0.024752,0.910278,0.000000,0.000000,-0.089109,3.675228,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,404
9,2,-2.5,-0.020270,0.921886,0.000000,0.000000,-0.143581,3.712493,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1184
9,2,-2,-0.011564,0.925527,0.000000,0.000000,-0.126652,3.730655,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1816
9,2,-1.5,0.015541,0.919862,0.000000,0.000000,-0.070930,3.723202,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5019
9,2,-1,0.027761,0.919891,0.000000,0.000000,-0.010316,3.719554,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13184
9,2,-0.5,0.031236,0.915473,0.000000,0.000000,-0.022198,3.704633,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,33967
9,2,0,0.047358,0.916402,0.000000,0.000000,0.014947,3.712296,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,75066
9,2,0.5,0.051242,0.917418,0.000000,0.000000,0.016657,3.717509,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,152608
9,2,1,0.055569,0.916340,0.000000,0.000000,0.029370,3.713981,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,284167
9,2,1.5,0.074775,0.913199,0.000000,0.000000,0.078320,3.704945,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2077414
9,2,2,0.062756,0.915061,0.000000,0.000000,0.045264,3.711772,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,658539
9,2,2.5,0.081137,0.911584,0.000000,0.000000,0.081090,3.703537,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4582652
9,2,3,0.066378,0.917374,0.000000,0.000000,0.058641,3.708594,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,985530
9,2,3.5,0.065909,0.918715,0.000000,0.000000,0.058692,3.710089,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1274034
9,2,4,0.069683,0.918070,0.000000,0.000000,0.068482,3.708015,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1367972
9,2,4.5,0.066630,0.918620,0.000000,0.000000,0.060275,3.710200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1212467
9,2,5,0.067994,0.918191,0.000000,0.000000,0.064275,3.707985,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1113965
9,2,5.5,0.071869,0.917349,0.000000,0.000000,0.071827,3.706434,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1472879
9,2,6,0.073002,0.917113,0.000000,0.000000,0.073108,3.705926,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1463376
9,2,6.5,0.072960,0.917438,0.000000,0.000000,0.073293,3.706510,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1337922
9,2,7,0.070072,0.918208,0.000000,0.000000,0.067214,3.709359,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1174317
9,2,7.5,0.071626,0.917637,0.000000,0.000000,0.069279,3.707343,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1291208
9,2,8,0.070552,0.918017,0.000000,0.000000,0.069318,3.708162,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1166303
9,2,8.5,0.073394,0.917516,0.000000,0.000000,0.074421,3.707465,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1107483
9,2,9,0.073605,0.916936,0.000000,0.000000,0.073433,3.705209,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1227139
9,2,9.5,0.074727,0.917216,0.000000,0.000000,0.076232,3.706369,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1117170
9,2,10,0.073605,0.917068,0.000000,0.000000,0.075244,3.705778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1100789
9,2,10.5,0.071517,0.917140,0.000000,0.000000,0.069254,3.705938,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1067722
9,2,11,0.073066,0.917554,0.000000,0.000000,0.073249,3.707756,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1041429
9,2,11.5,0.072123,0.917218,0.000000,0.000000,0.071741,3.705590,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,975650
9,2,12,0.075523,0.916974,0.000000,0.000000,0.078433,3.705665,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1092957
9,2,12.5,0.078281,0.916194,0.000000,0.000000,0.083077,3.703926,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,968764
9,2,13,0.071926,0.916853,0.000000,0.000000,0.071399,3.704497,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,916899
9,2,13.5,0.075019,0.916666,0.000000,0.000000,0.077543,3.704759,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,940434
9,2,14,0.075798,0.916598,0.000000,0.000000,0.079849,3.704350,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,962146
9,2,14.5,0.070628,0.917451,0.000000,0.000000,0.067808,3.706379,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,819961
9,2,15,0.075094,0.916729,0.000000,0.000000,0.078049,3.704313,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,883192
