UserValue,DealerValue,TrueCount,Hit EV,Hit Variance,Stand EV,Stand Variance,Double EV,Double Variance,Split EV,Split Variance,Surrender EV,Surrender Variance,Insurance Accept EV,Insurance Accept Variance,Insurance Decline EV,Insurance Decline Variance,Hands Played
9,2,-12,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
9,2,-11.5,-0.666667,0.222222,0.000000,0.000000,-1.333333,0.888889,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3
9,2,-10,-0.000000,1.000000,0.000000,0.000000,0.666667,3.555556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6
9,2,-9.5,-0.000000,1.000000,0.000000,0.000000,-0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4
9,2,-9,-0.500000,0.500000,0.000000,0.000000,-1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8
9,2,-8.5,0.062500,0.933594,0.000000,0.000000,-0.375000,3.609375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16
9,2,-8,0.421053,0.770083,0.000000,0.000000,0.631579,3.390582,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19
9,2,-7.5,0.304348,0.820416,0.000000,0.000000,0.260870,3.584121,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23
9,2,-7,0.127273,0.874711,0.000000,0.000000,0.254545,3.644298,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55
9,2,-6.5,0.064103,0.931788,0.000000,0.000000,-0.051282,3.792242,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,78
9,2,-6,-0.119048,0.882653,0.000000,0.000000,-0.269841,3.514487,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,126
9,2,-5.5,-0.038462,0.921598,0.000000,0.000000,-0.125000,3.695913,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,208
9,2,-5,-0.048023,0.910123,0.000000,0.000000,-0.180791,3.628332,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,354
9,2,-4.5,0.018657,0.925025,0.000000,0.000000,-0.055970,3.720748,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,536
9,2,-4,-0.016129,0.926007,0.000000,0.000000,-0.119816,3.736796,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,868
9,2,-3.5,0.021505,0.912799,0.000000,0.000000,-0.058781,3.698337,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1395
9,2,-3,0.047921,0.919759,0.000000,0.000000,0.009238,3.704303,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1732
9,2,-2.5,0.046144,0.918589,0.000000,0.000000,-0.027872,3.729170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3229
9,2,-2,0.035698,0.914031,0.000000,0.000000,-0.003266,3.692943,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4286
9,2,-1.5,0.044150,0.924031,0.000000,0.000000,0.001749,3.742966,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6863
9,2,-1,0.055037,0.913546,0.000000,0.000000,0.024176,3.704910,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10920
9,2,-0.5,0.048986,0.917592,0.000000,0.000000,0.017757,3.721153,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19373
9,2,0,0.051621,0.916995,0.000000,0.000000,0.009111,3.715126,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32487
9,2,0.5,0.046427,0.918804,0.000000,0.000000,0.016715,3.718279,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,46546
9,2,1,0.059990,0.914754,0.000000,0.000000,0.035008,3.711363,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,60443
9,2,1.5,0.061356,0.914896,0.000000,0.000000,0.041383,3.708251,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,84817
9,2,2,0.067490,0.915674,0.000000,0.000000,0.052472,3.715617,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,111068
9,2,2.5,0.077062,0.912763,0.000000,0.000000,0.081522,3.704561,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,540566
9,2,3,0.079277,0.912565,0.000000,0.000000,0.079379,3.705138,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,634196
9,2,3.5,0.069971,0.914459,0.000000,0.000000,0.061380,3.710381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,207786
9,2,4,0.071812,0.914818,0.000000,0.000000,0.066226,3.713122,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,250598
9,2,4.5,0.078912,0.911792,0.000000,0.000000,0.075215,3.704460,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,702837
9,2,5,0.067965,0.914110,0.000000,0.000000,0.053080,3.709816,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,198645
9,2,5.5,0.072535,0.913279,0.000000,0.000000,0.064556,3.706917,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,280594
9,2,6,0.071927,0.912849,0.000000,0.000000,0.066097,3.706078,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,296775
9,2,6.5,0.071691,0.913430,0.000000,0.000000,0.064066,3.706867,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,286048
9,2,7,0.074027,0.913307,0.000000,0.000000,0.070415,3.707632,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,279573
9,2,7.5,0.074044,0.914042,0.000000,0.000000,0.070382,3.710195,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,296042
9,2,8,0.070147,0.913996,0.000000,0.000000,0.060517,3.709100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,264060
9,2,8.5,0.075431,0.912855,0.000000,0.000000,0.068877,3.706378,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,260290
9,2,9,0.076652,0.913248,0.000000,0.000000,0.073619,3.708334,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,289764
9,2,9.5,0.076057,0.913954,0.000000,0.000000,0.069244,3.710463,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,262118
9,2,10,0.077428,0.911908,0.000000,0.000000,0.079370,3.702887,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,267732
9,2,10.5,0.076451,0.911870,0.000000,0.000000,0.073145,3.705023,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,262600
9,2,11,0.076389,0.912425,0.000000,0.000000,0.076960,3.704579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,236409
9,2,11.5,0.078836,0.912407,0.000000,0.000000,0.078580,3.706671,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,226596
9,2,12,0.074036,0.913928,0.000000,0.000000,0.068411,3.709989,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,237857
9,2,12.5,0.077393,0.911785,0.000000,0.000000,0.074494,3.703693,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,242140
9,2,13,0.074466,0.912111,0.000000,0.000000,0.069357,3.704156,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,226077
9,2,13.5,0.076785,0.912835,0.000000,0.000000,0.077573,3.705876,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,225903
9,2,14,0.074378,0.912547,0.000000,0.000000,0.070885,3.703944,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,221543
9,2,14.5,0.073867,0.912260,0.000000,0.000000,0.071808,3.701941,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,198168
9,2,15,0.078283,0.912606,0.000000,0.000000,0.082494,3.706753,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,214173
9,2,15.5,0.081132,0.911886,0.000000,0.000000,0.077631,3.705448,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,212543
9,2,16,0.075570,0.913165,0.000000,0.000000,0.076620,3.707918,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,191411
9,2,16.5,0.083448,0.912265,0.000000,0.000000,0.088545,3.706337,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,210718
9,2,17,0.077619,0.912122,0.000000,0.000000,0.079456,3.704204,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,176425
9,2,17.5,0.077279,0.911747,0.000000,0.000000,0.075340,3.703093,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,188744
9,2,18,0.079001,0.912840,0.000000,0.000000,0.079127,3.707287,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,207085
9,2,18.5,0.078151,0.912435,0.000000,0.000000,0.079926,3.704606,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,180868
9,2,19,0.077215,0.912746,0.000000,0.000000,0.078006,3.705497,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,181986
9,2,19.5,0.081085,0.911714,0.000000,0.000000,0.083838,3.703477,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,180563
9,2,20,0.077331,0.912392,0.000000,0.000000,0.077437,3.704047,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,170591
9,2,20.5,0.077841,0.912760,0.000000,0.000000,0.076951,3.705676,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,167405
9,2,21,0.080650,0.911838,0.000000,0.000000,0.082793,3.704473,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,180620
9,2,21.5,0.073741,0.912971,0.000000,0.000000,0.071162,3.705795,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,165594
9,2,22,0.082082,0.911845,0.000000,0.000000,0.083092,3.704652,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,153444
9,2,22.5,0.076289,0.912225,0.000000,0.000000,0.078349,3.703130,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,160258
9,2,23,0.076077,0.913108,0.000000,0.000000,0.076367,3.707577,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,162322
9,2,23.5,0.077525,0.911607,0.000000,0.000000,0.080412,3.701384,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,156221
9,2,24,0.079199,0.912000,0.000000,0.000000,0.082518,3.703606,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,153033
9,2,24.5,0.081926,0.910780,0.000000,0.000000,0.082628,3.701706,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,149561
9,2,25,0.077867,0.912878,0.000000,0.000000,0.069943,3.709417,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,160131
9,2,25.5,0.081354,0.912094,0.000000,0.000000,0.084321,3.704432,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,151634
9,2,26,0.079724,0.911648,0.000000,0.000000,0.078147,3.705932,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,116627
9,2,26.5,0.082715,0.912463,0.000000,0.000000,0.090833,3.704086,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,143626
9,2,27,0.078302,0.913281,0.000000,0.000000,0.075839,3.709653,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,153509
9,2,27.5,0.079664,0.912138,0.000000,0.000000,0.083923,3.703602,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,136649
9,2,28,0.084003,0.911965,0.000000,0.000000,0.095638,3.704031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,131245
9,2,28.5,0.083530,0.912866,0.000000,0.000000,0.091811,3.706971,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132228
9,2,29,0.080482,0.911424,0.000000,0.000000,0.078471,3.702277,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,134776
9,2,29.5,0.082139,0.911979,0.000000,0.000000,0.085871,3.705096,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,131826
