TrueCount,HandsPlayed,TotalPayout,EV,StdError
-28.0,1,2.000000,2.000000,0.000000
-27.5,3,-2.000000,-0.666667,0.720082
-27.0,12,-1.000000,-0.083333,0.381123
-26.5,15,2.000000,0.133333,0.363522
-26.0,28,-6.000000,-0.214286,0.184592
-25.5,33,-11.500000,-0.348485,0.179895
-25.0,43,-4.500000,-0.104651,0.170545
-24.5,95,10.000000,0.105263,0.114320
-24.0,140,4.000000,0.028571,0.098298
-23.5,218,-10.000000,-0.045872,0.078391
-23.0,283,-43.500000,-0.153710,0.069743
-22.5,484,-50.000000,-0.103306,0.050581
-22.0,682,-70.000000,-0.102639,0.043393
-21.5,1132,-109.000000,-0.096290,0.033789
-21.0,1649,-81.500000,-0.049424,0.028403
-20.5,2445,-110.500000,-0.045194,0.023576
-20.0,3727,-88.000000,-0.023611,0.019059
-19.5,5352,-192.000000,-0.035874,0.015730
-19.0,8005,-457.000000,-0.057089,0.012851
-18.5,11469,-535.500000,-0.046691,0.010758
-18.0,16036,-423.000000,-0.026378,0.009087
-17.5,25069,-1140.000000,-0.045474,0.007251
-17.0,30617,-657.500000,-0.021475,0.006578
-16.5,46175,-1464.000000,-0.031705,0.005347
-16.0,63380,-2321.000000,-0.036620,0.004561
-15.5,85759,-2759.500000,-0.032177,0.003909
-15.0,118563,-3292.500000,-0.027770,0.003331
-14.5,157229,-5002.000000,-0.031813,0.002885
-14.0,222538,-7190.500000,-0.032311,0.002425
-13.5,287118,-8201.000000,-0.028563,0.002133
-13.0,392535,-11396.500000,-0.029033,0.001823
-12.5,497009,-12453.000000,-0.025056,0.001620
-12.0,675129,-18611.500000,-0.027567,0.001387
-11.5,858040,-21451.500000,-0.025001,0.001231
-11.0,1130479,-28448.000000,-0.025165,0.001071
-10.5,1427854,-36731.500000,-0.025725,0.000953
-10.0,1811178,-39243.500000,-0.021667,0.000846
-9.5,2327408,-51544.000000,-0.022147,0.000745
-9.0,2874229,-62656.500000,-0.021799,0.000671
-8.5,3698403,-75207.000000,-0.020335,0.000591
-8.0,4561811,-91773.000000,-0.020118,0.000532
-7.5,5624956,-106785.500000,-0.018984,0.000478
-7.0,6904161,-123075.500000,-0.017826,0.000432
-6.5,8357398,-139934.500000,-0.016744,0.000392
-6.0,10443836,-167377.500000,-0.016026,0.000350
-5.5,12180330,-188747.500000,-0.015496,0.000324
-5.0,14772078,-204783.000000,-0.013863,0.000294
-4.5,18111509,-243830.500000,-0.013463,0.000266
-4.0,21329171,-267847.500000,-0.012558,0.000245
-3.5,25604002,-296521.000000,-0.011581,0.000223
-3.0,29572488,-318419.000000,-0.010767,0.000208
-2.5,35290379,-350883.000000,-0.009943,0.000190
-2.0,41211364,-372854.500000,-0.009047,0.000176
-1.5,47999770,-388499.000000,-0.008094,0.000163
-1.0,53436244,-404643.500000,-0.007572,0.000154
-0.5,54904756,-367506.000000,-0.006694,0.000152
0.0,117778966,-707186.500000,-0.006004,0.000104
0.5,52622808,-275858.500000,-0.005242,0.000155
1.0,49573832,-204691.000000,-0.004129,0.000160
1.5,44026284,-147979.500000,-0.003361,0.000170
2.0,37989053,-93468.500000,-0.002460,0.000183
2.5,33033603,-60604.500000,-0.001835,0.000196
3.0,27540664,-33518.000000,-0.001217,0.000214
3.5,23467189,-14161.000000,-0.000603,0.000232
4.0,19618771,18766.500000,0.000957,0.000254
4.5,16590006,35523.000000,0.002141,0.000276
5.0,13514347,39158.000000,0.002898,0.000305
5.5,11100805,35955.000000,0.003239,0.000337
6.0,9502938,35607.000000,0.003747,0.000364
6.5,7574816,35500.000000,0.004687,0.000407
7.0,6238080,35575.500000,0.005703,0.000448
7.5,5070657,29845.500000,0.005886,0.000497
8.0,4090508,27946.000000,0.006832,0.000553
8.5,3309231,27874.500000,0.008423,0.000616
9.0,2556618,23396.500000,0.009151,0.000703
9.5,2062123,21128.000000,0.010246,0.000786
