TrueCount,HandsPlayed,TotalPayout,EV,StdError
-30.0,2,-1.000000,-0.500000,1.060660
-29.0,1,-1.000000,-1.000000,0.000000
-28.5,3,-2.000000,-0.666667,0.272166
-28.0,6,1.000000,0.166667,0.641901
-27.5,8,2.000000,0.250000,0.342327
-27.0,16,-2.000000,-0.125000,0.304587
-26.5,34,-16.500000,-0.485294,0.186580
-26.0,45,-5.500000,-0.122222,0.167152
-25.5,62,-6.500000,-0.104839,0.143873
-25.0,95,1.000000,0.010526,0.126967
-24.5,139,-13.500000,-0.097122,0.098100
-24.0,209,5.500000,0.026316,0.080221
-23.5,347,-69.000000,-0.198847,0.061389
-23.0,603,-61.000000,-0.101161,0.046798
-22.5,828,-100.500000,-0.121377,0.041461
-22.0,1355,-187.500000,-0.138376,0.032613
-21.5,1764,-203.000000,-0.115079,0.027578
-21.0,2753,-147.500000,-0.053578,0.022529
-20.5,4365,-231.500000,-0.053036,0.017681
-20.0,6066,-379.500000,-0.062562,0.015067
-19.5,8555,-632.000000,-0.073875,0.012671
-19.0,12813,-876.000000,-0.068368,0.010322
-18.5,18966,-1194.500000,-0.062981,0.008528
-18.0,24918,-1489.500000,-0.059776,0.007393
-17.5,34133,-2218.000000,-0.064981,0.006330
-17.0,52580,-3230.000000,-0.061430,0.005097
-16.5,71137,-4442.000000,-0.062443,0.004365
-16.0,93666,-5492.500000,-0.058639,0.003800
-15.5,135197,-6820.000000,-0.050445,0.003164
-15.0,181551,-9468.000000,-0.052151,0.002724
-14.5,232292,-11978.000000,-0.051564,0.002406
-14.0,321257,-16007.500000,-0.049828,0.002043
-13.5,435922,-20726.500000,-0.047546,0.001753
-13.0,555667,-24917.500000,-0.044843,0.001551
-12.5,757107,-32227.500000,-0.042567,0.001327
-12.0,982131,-40616.500000,-0.041355,0.001164
-11.5,1267097,-52916.000000,-0.041762,0.001024
-11.0,1608439,-63823.500000,-0.039680,0.000907
-10.5,2182264,-81013.500000,-0.037124,0.000778
-10.0,2702263,-96618.500000,-0.035755,0.000699
-9.5,3332735,-113181.500000,-0.033961,0.000628
-9.0,4362941,-140837.000000,-0.032280,0.000549
-8.5,5363375,-162783.000000,-0.030351,0.000494
-8.0,6757834,-191436.000000,-0.028328,0.000440
-7.5,8492706,-236364.000000,-0.027831,0.000392
-7.0,10544580,-276104.000000,-0.026184,0.000351
-6.5,12911384,-307996.000000,-0.023855,0.000317
-6.0,15829198,-360127.000000,-0.022751,0.000286
-5.5,19675623,-410770.000000,-0.020877,0.000256
-5.0,23953029,-456891.500000,-0.019074,0.000232
-4.5,29045124,-519617.500000,-0.017890,0.000211
-4.0,35137083,-600268.500000,-0.017084,0.000191
-3.5,43187284,-662223.500000,-0.015334,0.000172
-3.0,51490435,-705025.000000,-0.013692,0.000158
-2.5,62102021,-785166.000000,-0.012643,0.000143
-2.0,75509544,-836664.500000,-0.011080,0.000130
-1.5,90860207,-875125.000000,-0.009632,0.000118
-1.0,105902767,-863343.000000,-0.008152,0.000109
-0.5,126649996,-909580.500000,-0.007182,0.000100
0.0,185516541,-1082133.500000,-0.005833,0.000083
0.5,120719650,-518618.500000,-0.004296,0.000102
1.0,100418064,-292011.000000,-0.002908,0.000112
1.5,86217667,-118248.500000,-0.001372,0.000121
2.0,71774685,-11983.000000,-0.000167,0.000133
2.5,58814877,72387.500000,0.001231,0.000146
3.0,48754487,126809.500000,0.002601,0.000161
3.5,40863469,154710.000000,0.003786,0.000175
4.0,33177535,159122.000000,0.004796,0.000194
4.5,27375079,177927.500000,0.006500,0.000214
5.0,22538374,185348.500000,0.008224,0.000236
5.5,18471509,196076.500000,0.010648,0.000262
6.0,14842792,203530.000000,0.013874,0.000293
6.5,12139302,211432.000000,0.017820,0.000323
7.0,9909248,231549.500000,0.024278,0.000356
7.5,7954493,215172.500000,0.028369,0.000397
8.0,6332043,191122.000000,0.031867,0.000444
8.5,5010778,160357.000000,0.033892,0.000499
9.0,4069442,142381.500000,0.036986,0.000553
9.5,3107484,111494.000000,0.037926,0.000632
10.0,2516959,97468.000000,0.040997,0.000701
10.5,2029340,81382.000000,0.042369,0.000780
11.0,1491883,62824.500000,0.044482,0.000909
11.5,1177082,50290.000000,0.045207,0.001021
12.0,907153,40491.000000,0.047301,0.001162
12.5,696840,34656.500000,0.052542,0.001324
13.0,509987,23614.500000,0.049202,0.001546
13.5,400586,18595.500000,0.049282,0.001742
14.0,294987,13917.500000,0.049962,0.002027
14.5,212549,10284.500000,0.051364,0.002385
15.0,165981,9435.500000,0.060178,0.002698
15.5,123086,7114.000000,0.061173,0.003124
16.0,85242,4695.500000,0.057981,0.003749
16.5,64485,3351.000000,0.055591,0.004307
17.0,47563,2946.000000,0.065140,0.005037
17.5,30651,1919.500000,0.066415,0.006233
18.0,22627,1499.000000,0.071813,0.007215
18.5,16755,1258.000000,0.078995,0.008415
19.0,11274,710.500000,0.066262,0.010241
19.5,7653,377.000000,0.051831,0.012383
20.0,5639,541.000000,0.102193,0.014426
20.5,3884,389.000000,0.104321,0.017485
21.0,2429,212.000000,0.091044,0.021426
21.5,1581,117.500000,0.078363,0.026838
22.0,1200,74.000000,0.064321,0.031101
22.5,660,36.500000,0.057555,0.040993
23.0,496,69.000000,0.147369,0.048694
23.5,303,54.000000,0.194508,0.062513
24.0,234,6.000000,0.023648,0.073553
24.5,118,35.000000,0.321067,0.098894
25.0,78,11.000000,0.134029,0.127304
25.5,50,-9.000000,-0.192021,0.142879
26.0,31,3.500000,0.111046,0.182529
26.5,18,9.500000,0.527778,0.216853
27.0,15,4.000000,0.200000,0.332666
