TrueCount,HandsPlayed,TotalPayout,EV,StdError
-2.5,15,-4.500000,-0.300000,0.274064
-2.0,334,2.000000,0.005988,0.064527
-1.5,11089,-156.000000,-0.014068,0.010780
-1.0,329528,-7128.500000,-0.021632,0.001979
-0.5,11701132,-146227.000000,-0.012497,0.000330
0.0,139071769,-1294391.500000,-0.009307,0.000096
0.5,148990911,-1360219.500000,-0.009130,0.000092
1.0,132325447,-1212403.000000,-0.009162,0.000098
1.5,123942898,-1117012.000000,-0.009012,0.000101
2.0,115263197,-1025384.000000,-0.008896,0.000105
2.5,108063602,-964898.000000,-0.008929,0.000108
3.0,100075119,-867948.500000,-0.008673,0.000113
3.5,95810594,-819338.500000,-0.008552,0.000115
4.0,89143549,-766645.000000,-0.008600,0.000119
4.5,83952909,-702179.500000,-0.008364,0.000123
5.0,79091448,-666475.000000,-0.008427,0.000127
5.5,75640060,-625286.500000,-0.008267,0.000129
6.0,70761001,-575269.500000,-0.008130,0.000134
6.5,67316830,-556450.500000,-0.008266,0.000137
7.0,63890000,-522287.000000,-0.008175,0.000141
7.5,60721774,-494544.000000,-0.008144,0.000144
8.0,57749531,-474175.000000,-0.008211,0.000148
8.5,55558172,-437327.500000,-0.007872,0.000151
9.0,51912462,-418143.000000,-0.008055,0.000156
9.5,49686451,-394178.500000,-0.007933,0.000160
10.0,48305388,-376328.000000,-0.007791,0.000162
10.5,45758321,-364236.500000,-0.007960,0.000166
11.0,43899680,-335338.500000,-0.007639,0.000170
11.5,42048484,-314776.500000,-0.007486,0.000174
12.0,40321265,-303159.000000,-0.007519,0.000177
12.5,38936865,-285557.000000,-0.007334,0.000180
13.0,36823632,-267830.500000,-0.007273,0.000185
13.5,36142176,-271320.000000,-0.007507,0.000187
14.0,34409238,-244899.500000,-0.007117,0.000192
14.5,33169484,-254188.500000,-0.007663,0.000195
15.0,31917745,-244692.500000,-0.007666,0.000199
15.5,30952662,-242130.000000,-0.007823,0.000202
16.0,29164414,-221225.000000,-0.007585,0.000208
16.5,29308116,-218121.000000,-0.007442,0.000208
17.0,28081090,-206711.000000,-0.007361,0.000212
17.5,26476888,-199205.000000,-0.007524,0.000219
18.0,25969691,-196834.000000,-0.007579,0.000221
18.5,24989984,-184270.000000,-0.007374,0.000225
19.0,24351851,-180714.000000,-0.007421,0.000228
19.5,23550056,-162563.500000,-0.006903,0.000232
20.0,22826367,-167978.500000,-0.007359,0.000236
20.5,22069361,-155371.500000,-0.007040,0.000239
21.0,21474506,-171103.000000,-0.007968,0.000243
21.5,20734800,-145843.000000,-0.007034,0.000247
22.0,20268607,-136107.500000,-0.006715,0.000250
22.5,19316236,-133619.000000,-0.006917,0.000256
23.0,19484804,-142435.500000,-0.007310,0.000255
23.5,18654538,-129533.500000,-0.006944,0.000260
24.0,17935883,-121965.500000,-0.006800,0.000266
24.5,17571612,-122706.000000,-0.006983,0.000269
25.0,17433635,-128330.000000,-0.007361,0.000270
25.5,14915624,-85853.500000,-0.005756,0.000292
26.0,19215188,-148605.000000,-0.007734,0.000258
26.5,13907746,-86816.000000,-0.006242,0.000303
27.0,15940233,-101278.500000,-0.006354,0.000283
27.5,15019123,-103703.500000,-0.006905,0.000291
28.0,14403270,-95704.000000,-0.006645,0.000297
28.5,14353979,-89715.500000,-0.006250,0.000298
29.0,13684768,-82697.500000,-0.006043,0.000305
29.5,13603146,-70784.000000,-0.005204,0.000306
30.0,12462132,-66781.500000,-0.005359,0.000319
30.5,12754913,-66181.500000,-0.005189,0.000316
31.0,12136472,-43264.000000,-0.003565,0.000323
31.5,10852139,-32634.500000,-0.003007,0.000342
32.0,10922778,-17079.500000,-0.001564,0.000340
32.5,10383108,-12315.000000,-0.001186,0.000349
33.0,9445148,5289.000000,0.000560,0.000365
33.5,8775068,14654.000000,0.001670,0.000379
34.0,8104012,23586.500000,0.002910,0.000394
34.5,7939183,34476.000000,0.004343,0.000397
35.0,6269262,40660.000000,0.006486,0.000447
35.5,5755383,49283.000000,0.008563,0.000465
36.0,5147449,47934.000000,0.009312,0.000491
36.5,4547032,52944.000000,0.011644,0.000522
37.0,3785837,47594.500000,0.012572,0.000571
37.5,3093220,44530.500000,0.014396,0.000631
38.0,2555134,41241.500000,0.016141,0.000693
38.5,2046002,36936.000000,0.018053,0.000773
39.0,1967500,36921.500000,0.018766,0.000787
39.5,1236079,28003.000000,0.022655,0.000991
40.0,967882,24017.000000,0.024814,0.001117
40.5,735311,18445.500000,0.025085,0.001280
41.0,552218,13525.500000,0.024493,0.001474
41.5,408530,10996.500000,0.026917,0.001710
42.0,280968,8330.500000,0.029649,0.002059
42.5,195383,5842.500000,0.029903,0.002463
43.0,134170,3925.500000,0.029258,0.002970
43.5,98128,3390.500000,0.034552,0.003460
44.0,57696,2040.000000,0.035358,0.004507
44.5,37537,1833.000000,0.048832,0.005579
45.0,23667,1030.000000,0.043521,0.007015
45.5,15009,676.000000,0.045040,0.008759
46.0,8745,293.500000,0.033562,0.011502
46.5,5121,195.500000,0.038176,0.015024
47.0,3011,163.500000,0.054323,0.019489
47.5,1656,90.500000,0.054699,0.026308
48.0,883,4.500000,0.005207,0.036212
48.5,529,40.000000,0.075960,0.046282
49.0,254,12.000000,0.047928,0.064318
49.5,145,37.000000,0.275007,0.082838
50.0,66,10.000000,0.156613,0.143554
50.5,36,-8.000000,-0.213235,0.163430
51.0,14,-3.500000,-0.321429,0.309736
51.5,9,-3.500000,-0.388889,0.366648
52.0,1,-1.000000,-1.000000,0.000000
