TrueCount,HandsPlayed,TotalPayout,EV,StdError
-65.5,1,2.000000,2.000000,0.000000
-63.5,5,-2.000000,-0.400000,0.536656
-63.0,4,3.000000,0.750000,0.544862
-62.5,1,0.000000,0.000000,0.000000
-61.5,15,-10.000000,-0.666667,0.277555
-61.0,1,-2.000000,-2.000000,0.000000
-60.5,2,0.000000,0.000000,1.414214
-60.0,2,3.000000,1.500000,0.353553
-59.5,36,-19.000000,-0.527778,0.209667
-59.0,12,-13.000000,-1.083333,0.248840
-58.5,5,-4.000000,-0.800000,0.438178
-58.0,37,-20.000000,-0.540541,0.193369
-57.5,45,-25.000000,-0.555556,0.182047
-57.0,29,-18.000000,-0.620690,0.240954
-56.5,5,-5.000000,-1.000000,0.000000
-56.0,71,-43.000000,-0.605634,0.144294
-55.5,87,-30.500000,-0.350575,0.135787
-55.0,17,-7.000000,-0.411765,0.263839
-54.5,1,-2.000000,-2.000000,0.000000
-54.0,269,-131.000000,-0.486989,0.076836
-53.5,79,-33.000000,-0.417722,0.147192
-52.0,707,-244.500000,-0.345827,0.048105
-50.5,347,-177.500000,-0.511527,0.064469
-50.0,957,-285.500000,-0.298328,0.040686
-49.5,11,-7.000000,-0.636364,0.193819
-49.0,280,-79.500000,-0.283929,0.072902
-48.5,1345,-345.500000,-0.256877,0.034550
-48.0,879,-214.500000,-0.244027,0.044476
-47.5,295,-58.000000,-0.196610,0.075197
-47.0,945,-285.500000,-0.302116,0.041045
-46.5,1704,-335.500000,-0.196890,0.031648
-46.0,1658,-425.500000,-0.256634,0.031433
-45.5,1132,-328.500000,-0.290194,0.037044
-45.0,2023,-445.500000,-0.220217,0.028347
-44.5,4248,-950.500000,-0.223752,0.019431
-44.0,1065,-261.000000,-0.245070,0.037453
-43.5,2403,-529.500000,-0.220350,0.025481
-43.0,2657,-627.000000,-0.235980,0.023995
-42.5,8252,-1652.000000,-0.200194,0.013762
-42.0,1936,-429.500000,-0.221849,0.028317
-41.5,3512,-630.500000,-0.179527,0.021390
-41.0,9128,-1893.500000,-0.207439,0.013112
-40.5,10728,-2180.000000,-0.203207,0.012107
-40.0,5645,-1192.000000,-0.211160,0.016538
-39.5,7724,-1367.500000,-0.177046,0.014205
-39.0,10391,-2111.000000,-0.203157,0.012050
