TrueCount,HandsPlayed,TotalPayout,EV,StdError
-3.0,17,-3.500000,-0.205882,0.239155
-2.5,168,11.500000,0.068452,0.089575
-2.0,2352,-101.000000,-0.042942,0.023414
-1.5,37907,-279.000000,-0.007360,0.005812
-1.0,696634,-8710.500000,-0.012504,0.001353
-0.5,10275388,-93375.500000,-0.009087,0.000352
0.0,83775045,-594440.000000,-0.007096,0.000123
0.5,74327424,-584005.500000,-0.007857,0.000131
1.0,77832818,-580890.500000,-0.007463,0.000128
1.5,70021061,-519695.500000,-0.007422,0.000135
2.0,66777617,-500422.000000,-0.007494,0.000138
2.5,64480906,-474091.500000,-0.007352,0.000140
3.0,62119581,-445048.000000,-0.007164,0.000143
3.5,60932563,-443333.000000,-0.007276,0.000144
4.0,58095911,-424323.500000,-0.007304,0.000148
4.5,55999980,-409030.000000,-0.007304,0.000150
5.0,54878188,-387078.500000,-0.007053,0.000152
5.5,52444446,-375369.500000,-0.007157,0.000155
6.0,50636732,-361579.500000,-0.007141,0.000158
6.5,49396823,-336695.000000,-0.006816,0.000160
7.0,47651829,-333508.000000,-0.006999,0.000163
7.5,46155566,-320434.500000,-0.006942,0.000166
8.0,44874668,-322776.000000,-0.007193,0.000168
8.5,43196153,-300860.500000,-0.006965,0.000171
9.0,42511854,-300987.500000,-0.007080,0.000173
9.5,40481053,-276392.500000,-0.006828,0.000177
10.0,39915754,-273803.500000,-0.006860,0.000178
10.5,38946499,-263161.500000,-0.006757,0.000180
11.0,37715401,-258072.500000,-0.006843,0.000183
11.5,36558514,-233511.000000,-0.006387,0.000186
12.0,35640406,-243512.500000,-0.006832,0.000188
12.5,34232588,-235573.500000,-0.006882,0.000192
13.0,33993494,-226256.000000,-0.006656,0.000193
13.5,32750109,-226155.000000,-0.006905,0.000197
14.0,31842871,-230741.000000,-0.007246,0.000199
14.5,31508016,-202854.000000,-0.006438,0.000200
15.0,30194796,-210508.500000,-0.006972,0.000205
15.5,29439048,-198204.000000,-0.006733,0.000207
16.0,28619143,-180938.500000,-0.006322,0.000210
16.5,28550822,-184019.000000,-0.006445,0.000210
17.0,26226498,-174814.000000,-0.006666,0.000220
17.5,27939916,-183851.500000,-0.006580,0.000213
18.0,26397306,-168158.000000,-0.006370,0.000219
18.5,25647428,-163559.500000,-0.006377,0.000222
19.0,24857947,-171782.500000,-0.006911,0.000226
19.5,24569251,-152865.000000,-0.006222,0.000227
20.0,23968823,-157097.500000,-0.006554,0.000230
20.5,22566213,-154723.500000,-0.006856,0.000237
21.0,23311800,-147336.500000,-0.006320,0.000233
21.5,22348424,-136158.500000,-0.006093,0.000238
22.0,21312169,-124422.000000,-0.005838,0.000244
22.5,21441063,-126258.500000,-0.005889,0.000243
23.0,20446361,-111606.500000,-0.005459,0.000249
23.5,19837657,-107666.500000,-0.005427,0.000252
24.0,19208580,-98453.500000,-0.005125,0.000256
24.5,18355348,-92766.000000,-0.005054,0.000262
25.0,17993472,-84331.000000,-0.004687,0.000265
25.5,17199487,-72401.500000,-0.004210,0.000271
26.0,14530943,-30138.000000,-0.002074,0.000294
26.5,15275731,-51013.500000,-0.003340,0.000287
27.0,14329655,-32569.000000,-0.002273,0.000296
27.5,12344620,-12944.500000,-0.001049,0.000319
28.0,11760176,-9295.000000,-0.000790,0.000326
28.5,10299426,5279.000000,0.000513,0.000348
29.0,8852707,13563.000000,0.001532,0.000375
29.5,8090288,22721.500000,0.002808,0.000392
30.0,6995191,26688.500000,0.003815,0.000422
30.5,5774231,26844.000000,0.004649,0.000464
31.0,4582047,28405.500000,0.006199,0.000520
31.5,4246293,28137.000000,0.006626,0.000539
32.0,3127354,25042.500000,0.008008,0.000628
32.5,2542616,24271.500000,0.009546,0.000696
33.0,1909624,18797.000000,0.009843,0.000801
33.5,1454797,15526.000000,0.010672,0.000917
34.0,1083229,14009.500000,0.012933,0.001062
34.5,757051,8575.000000,0.011327,0.001269
35.0,625626,9519.500000,0.015216,0.001395
35.5,379381,5554.500000,0.014641,0.001789
36.0,292454,5073.000000,0.017346,0.002036
36.5,166114,2875.000000,0.017307,0.002696
37.0,130809,3084.000000,0.023576,0.003047
37.5,78281,1335.500000,0.017060,0.003925
38.0,50822,972.500000,0.019135,0.004875
38.5,28618,859.500000,0.030034,0.006469
39.0,16077,445.000000,0.027679,0.008691
39.5,11850,329.500000,0.027806,0.009989
40.0,6194,181.000000,0.029222,0.013926
40.5,3231,39.000000,0.012071,0.019193
41.0,1657,31.000000,0.018709,0.026718
41.5,917,-10.000000,-0.010905,0.035911
42.0,572,28.000000,0.048951,0.045375
42.5,281,39.500000,0.140569,0.066691
43.0,112,5.500000,0.049107,0.105637
43.5,60,-4.500000,-0.075000,0.132720
44.0,22,-7.000000,-0.318182,0.216913
44.5,16,-5.500000,-0.343750,0.244944
45.0,6,3.000000,0.500000,0.311805
45.5,2,0.000000,0.000000,0.707107
46.0,1,-1.000000,-1.000000,0.000000
46.5,1,1.000000,1.000000,0.000000
