TrueCount,HandsPlayed,TotalPayout,EV,StdError
-2.5,18,-2.000000,-0.111111,0.247068
-2.0,386,13.000000,0.033679,0.056851
-1.5,11001,-244.000000,-0.022180,0.010838
-1.0,329674,-6712.500000,-0.020361,0.001979
-0.5,11716189,-153822.000000,-0.013129,0.000330
0.0,139057065,-1294723.500000,-0.009311,0.000096
0.5,148989875,-1348764.000000,-0.009053,0.000092
1.0,132308692,-1206118.000000,-0.009116,0.000098
1.5,123966977,-1114276.500000,-0.008988,0.000101
2.0,115264170,-1023075.500000,-0.008876,0.000105
2.5,108037837,-959798.000000,-0.008884,0.000108
3.0,100067568,-869688.500000,-0.008691,0.000113
3.5,95827634,-816110.500000,-0.008516,0.000115
4.0,89158936,-763483.500000,-0.008563,0.000119
4.5,83938752,-723559.000000,-0.008620,0.000123
5.0,79095072,-674041.500000,-0.008522,0.000127
5.5,75642441,-632279.500000,-0.008359,0.000129
6.0,70740562,-586788.500000,-0.008295,0.000134
6.5,67308999,-553309.500000,-0.008220,0.000137
7.0,63885530,-495880.000000,-0.007762,0.000141
7.5,60710308,-485089.500000,-0.007990,0.000145
8.0,57767446,-450257.000000,-0.007794,0.000148
8.5,55567863,-445091.000000,-0.008010,0.000151
9.0,51924208,-399656.000000,-0.007697,0.000156
9.5,49690997,-389409.500000,-0.007837,0.000160
10.0,48307594,-380942.500000,-0.007886,0.000162
10.5,45750815,-351140.000000,-0.007675,0.000166
11.0,43901455,-343490.500000,-0.007824,0.000170
11.5,42051930,-321687.500000,-0.007650,0.000174
12.0,40327548,-311241.500000,-0.007718,0.000177
12.5,38934543,-306692.500000,-0.007877,0.000180
13.0,36836644,-286159.000000,-0.007768,0.000185
13.5,36140434,-261973.500000,-0.007249,0.000187
14.0,34408901,-252714.500000,-0.007344,0.000192
14.5,33167593,-247536.000000,-0.007463,0.000195
15.0,31916073,-233090.000000,-0.007303,0.000199
15.5,30942748,-223471.500000,-0.007222,0.000202
16.0,29162710,-218990.000000,-0.007509,0.000208
16.5,29299666,-216217.500000,-0.007380,0.000208
17.0,28086822,-190208.500000,-0.006772,0.000212
17.5,26481491,-197229.500000,-0.007448,0.000219
18.0,25972260,-186962.000000,-0.007199,0.000221
18.5,24994602,-192101.500000,-0.007686,0.000225
19.0,24346461,-168767.500000,-0.006932,0.000228
19.5,23548607,-162352.500000,-0.006894,0.000232
20.0,22818568,-169037.500000,-0.007408,0.000236
20.5,22072647,-156748.500000,-0.007101,0.000239
21.0,21470685,-155271.000000,-0.007232,0.000243
21.5,20738700,-147843.500000,-0.007129,0.000247
22.0,20265880,-137765.500000,-0.006798,0.000250
22.5,19320055,-142465.000000,-0.007374,0.000256
23.0,19481078,-134801.500000,-0.006920,0.000255
23.5,18653224,-139052.500000,-0.007455,0.000261
24.0,17930559,-120587.000000,-0.006725,0.000266
24.5,17586481,-135635.000000,-0.007712,0.000269
25.0,17438530,-131095.500000,-0.007518,0.000270
25.5,14930223,-86621.000000,-0.005802,0.000292
26.0,19223669,-153578.000000,-0.007989,0.000258
26.5,13918432,-97555.000000,-0.007009,0.000303
27.0,15987473,-106751.500000,-0.006677,0.000282
27.5,15078846,-118513.000000,-0.007860,0.000291
28.0,14504179,-98192.500000,-0.006770,0.000297
28.5,14504109,-112245.000000,-0.007739,0.000296
29.0,13896490,-95373.000000,-0.006863,0.000303
29.5,13904854,-92720.000000,-0.006668,0.000303
30.0,12891834,-92155.000000,-0.007148,0.000314
30.5,13340155,-88857.000000,-0.006661,0.000309
31.0,12907490,-81731.500000,-0.006332,0.000314
31.5,11901134,-87684.500000,-0.007368,0.000327
32.0,12268554,-82407.000000,-0.006717,0.000322
32.5,11980419,-79717.500000,-0.006654,0.000326
33.0,11541945,-80112.000000,-0.006941,0.000332
33.5,11287562,-82025.500000,-0.007267,0.000336
34.0,11144769,-76952.000000,-0.006905,0.000338
34.5,11118346,-73715.500000,-0.006630,0.000338
35.0,10424414,-86202.000000,-0.008269,0.000350
35.5,10258511,-69365.000000,-0.006762,0.000352
36.0,10406626,-73780.500000,-0.007090,0.000350
36.5,9988185,-66239.500000,-0.006632,0.000357
37.0,9752433,-64469.000000,-0.006611,0.000362
37.5,9661085,-65959.500000,-0.006827,0.000363
38.0,9381181,-53955.000000,-0.005751,0.000368
38.5,9624220,-75882.000000,-0.007884,0.000364
39.0,8036299,-32722.000000,-0.004072,0.000398
39.5,9330976,-68986.000000,-0.007393,0.000370
40.0,8505483,-43571.500000,-0.005123,0.000387
40.5,8475242,-43489.000000,-0.005131,0.000387
41.0,8045680,-38424.000000,-0.004776,0.000398
41.5,7751372,-26759.500000,-0.003452,0.000405
42.0,7578836,-17546.500000,-0.002315,0.000409
42.5,7530411,-22735.500000,-0.003019,0.000410
43.0,7581704,-12347.000000,-0.001629,0.000408
43.5,6517221,-6937.500000,-0.001064,0.000441
44.0,6156511,10205.500000,0.001658,0.000452
44.5,6336230,4117.500000,0.000650,0.000446
45.0,5577925,19960.500000,0.003578,0.000475
45.5,5350204,22391.500000,0.004185,0.000485
46.0,4899093,26853.000000,0.005481,0.000507
46.5,4815400,36839.000000,0.007650,0.000511
47.0,4005425,38912.000000,0.009723,0.000562
47.5,3684902,43893.500000,0.011983,0.000587
48.0,3254646,54649.500000,0.017083,0.000623
48.5,3038707,61320.000000,0.020819,0.000644
49.0,2640789,74471.500000,0.029490,0.000688
49.5,2112383,67127.000000,0.033374,0.000766
50.0,2119552,67885.500000,0.033665,0.000765
50.5,1103966,43535.500000,0.041500,0.001056
51.0,1623588,61546.000000,0.039943,0.000870
51.5,1284316,53554.000000,0.043840,0.000976
52.0,530141,23558.000000,0.046778,0.001517
52.5,870017,39997.000000,0.048508,0.001181
53.0,650486,32157.500000,0.052007,0.001363
53.5,271425,12917.000000,0.049906,0.002103
54.0,394838,20408.500000,0.054386,0.001743
54.5,208899,11371.500000,0.057126,0.002388
55.0,194519,11159.500000,0.060282,0.002472
55.5,159060,8759.500000,0.057909,0.002725
56.0,77459,4960.000000,0.067317,0.003890
56.5,75177,4804.500000,0.067226,0.003958
57.0,43946,2926.000000,0.069520,0.005143
57.5,35628,2821.500000,0.082941,0.005724
58.0,24065,1443.000000,0.062932,0.006929
58.5,13218,890.500000,0.070716,0.009378
59.0,9725,661.000000,0.071793,0.010876
59.5,7260,361.000000,0.051131,0.012516
60.0,2841,297.500000,0.110455,0.020364
60.5,3001,182.500000,0.063342,0.019468
61.0,1340,52.000000,0.041574,0.028951
61.5,1078,120.500000,0.119048,0.033157
62.0,631,76.000000,0.126833,0.041849
62.5,265,24.500000,0.095211,0.067508
63.0,182,18.500000,0.104756,0.075448
63.5,101,8.000000,0.065909,0.107163
64.0,60,2.500000,0.047353,0.126532
64.5,35,-12.000000,-0.342857,0.152224
65.0,7,0.500000,0.071429,0.383706
65.5,8,2.000000,0.250000,0.375000
66.0,5,0.000000,0.000000,0.282843
66.5,3,-1.000000,-0.333333,0.544331
67.0,1,0.500000,0.500000,0.000000
