TrueCount,HandsPlayed,TotalPayout,EV,StdError
-35.5,1,-1.000000,-1.000000,0.000000
-31.5,1,-2.000000,-2.000000,0.000000
-30.5,1,-1.000000,-1.000000,0.000000
-30.0,6,-3.000000,-0.500000,0.456435
-29.5,3,0.000000,0.000000,0.816497
-29.0,7,3.000000,0.428571,0.341494
-28.5,16,-3.000000,-0.187500,0.344814
-28.0,18,-4.500000,-0.250000,0.255344
-27.5,33,-10.000000,-0.303030,0.207680
-27.0,57,-31.500000,-0.552632,0.128732
-26.5,60,-16.000000,-0.266667,0.139177
-26.0,124,-11.000000,-0.088710,0.109845
-25.5,159,-23.500000,-0.147799,0.095232
-25.0,277,-48.000000,-0.173285,0.072038
-24.5,353,-0.500000,-0.001416,0.063265
-24.0,514,-92.000000,-0.178988,0.052710
-23.5,980,-93.000000,-0.094898,0.037984
-23.0,1325,-84.500000,-0.063774,0.033202
-22.5,1700,-98.500000,-0.057941,0.029436
-22.0,2975,-193.500000,-0.065042,0.022239
-21.5,3621,-269.000000,-0.074289,0.019946
-21.0,5516,-440.500000,-0.079859,0.016116
-20.5,8670,-742.500000,-0.085640,0.012671
-20.0,13283,-1021.500000,-0.076903,0.010298
-19.5,13078,-1188.500000,-0.090878,0.010304
-19.0,26548,-1931.500000,-0.072755,0.007278
-18.5,33014,-2428.000000,-0.073545,0.006507
-18.0,40124,-2640.500000,-0.065808,0.005901
-17.5,64558,-4515.000000,-0.069937,0.004618
-17.0,80377,-4753.000000,-0.059134,0.004144
-16.5,97015,-6219.500000,-0.064109,0.003770
-16.0,153134,-9714.000000,-0.063435,0.002991
-15.5,209587,-12875.500000,-0.061433,0.002556
-15.0,241049,-12999.000000,-0.053927,0.002377
-14.5,329171,-16990.000000,-0.051615,0.002034
-14.0,438502,-21868.000000,-0.049870,0.001759
-13.5,528406,-26372.500000,-0.049910,0.001600
-13.0,789297,-38452.500000,-0.048717,0.001307
-12.5,791736,-35039.000000,-0.044256,0.001303
-12.0,1227928,-52955.000000,-0.043125,0.001046
-11.5,1477039,-59216.000000,-0.040091,0.000952
-11.0,1697847,-64583.000000,-0.038038,0.000887
-10.5,2779035,-103244.000000,-0.037151,0.000692
-10.0,2743755,-96025.000000,-0.034998,0.000696
-9.5,3041267,-102168.500000,-0.033594,0.000660
-9.0,4693219,-147517.000000,-0.031432,0.000531
-8.5,5219148,-153510.000000,-0.029413,0.000503
-8.0,5961410,-173071.000000,-0.029032,0.000469
-7.5,8005556,-206914.500000,-0.025846,0.000405
