TrueCount,HandsPlayed,TotalPayout,EV,StdError
-30.0,2,4.000000,2.000000,0.000000
-28.0,1,1.000000,1.000000,0.000000
-26.5,2,-1.000000,-0.500000,1.060660
-26.0,1,-1.000000,-1.000000,0.000000
-25.5,4,0.000000,0.000000,0.500000
-25.0,19,-11.000000,-0.578947,0.271609
-24.5,12,-3.000000,-0.250000,0.335927
-24.0,25,-1.500000,-0.060000,0.237183
-23.5,36,-16.000000,-0.444444,0.213164
-23.0,75,-2.000000,-0.026667,0.150818
-22.5,112,-26.000000,-0.232143,0.114329
-22.0,160,-22.500000,-0.140625,0.101375
-21.5,356,-111.500000,-0.313202,0.063425
-21.0,460,-92.500000,-0.201087,0.058540
-20.5,831,-201.500000,-0.242479,0.041168
-20.0,1281,-237.500000,-0.185402,0.033250
-19.5,1630,-278.000000,-0.170552,0.030131
-19.0,3141,-536.000000,-0.170646,0.021712
-18.5,4215,-649.500000,-0.154093,0.018612
-18.0,7556,-1152.000000,-0.152462,0.013907
-17.5,10531,-1444.000000,-0.137119,0.011785
-17.0,14095,-2269.500000,-0.161015,0.010066
-16.5,24337,-3065.000000,-0.125940,0.007689
-16.0,27269,-3271.000000,-0.119953,0.007273
-15.5,46415,-5938.000000,-0.127933,0.005535
-15.0,63818,-7100.000000,-0.111254,0.004737
-14.5,85386,-9132.000000,-0.106950,0.004089
-14.0,140876,-15168.500000,-0.107673,0.003167
-13.5,158355,-16379.500000,-0.103435,0.002986
-13.0,272435,-25983.000000,-0.095373,0.002269
-12.5,324847,-30369.000000,-0.093487,0.002076
-12.0,469610,-40028.500000,-0.085238,0.001722
-11.5,634108,-52069.000000,-0.082114,0.001478
-11.0,812811,-64052.500000,-0.078804,0.001303
-10.5,1233523,-91206.500000,-0.073940,0.001056
-10.0,1577880,-108226.000000,-0.068589,0.000931
-9.5,1910332,-122025.000000,-0.063876,0.000845
-9.0,2801757,-167484.000000,-0.059778,0.000696
-8.5,3366972,-190383.000000,-0.056544,0.000634
-8.0,4605315,-243953.500000,-0.052972,0.000541
-7.5,5879806,-289710.000000,-0.049272,0.000478
-7.0,7759963,-358891.500000,-0.046249,0.000415
-6.5,10048612,-424578.000000,-0.042252,0.000364
-6.0,12836174,-499842.000000,-0.038940,0.000321
-5.5,17014070,-607123.000000,-0.035684,0.000278
-5.0,21497119,-699855.000000,-0.032556,0.000247
-4.5,27648953,-821266.000000,-0.029703,0.000218
-4.0,36790036,-986393.500000,-0.026811,0.000188
-3.5,46480124,-1119094.000000,-0.024077,0.000167
-3.0,61645590,-1302212.500000,-0.021124,0.000145
-2.5,80087315,-1458796.000000,-0.018215,0.000127
-2.0,104866571,-1630915.500000,-0.015552,0.000111
-1.5,142312306,-1868025.000000,-0.013126,0.000095
-1.0,184146507,-1900805.500000,-0.010322,0.000083
-0.5,251920719,-2029704.500000,-0.008057,0.000071
0.0,351744916,-1969928.000000,-0.005600,0.000060
0.5,238152008,-696336.000000,-0.002924,0.000073
1.0,175769824,-6912.000000,-0.000039,0.000085
1.5,135898508,335373.500000,0.002468,0.000096
2.0,100192141,510680.500000,0.005097,0.000112
2.5,76581713,632056.500000,0.008268,0.000128
3.0,58990032,787222.500000,0.013496,0.000146
3.5,44682697,898773.500000,0.020708,0.000168
4.0,35456374,972969.500000,0.028698,0.000188
4.5,26602585,861130.000000,0.034104,0.000216
5.0,20717135,744248.500000,0.037924,0.000245
5.5,16425016,651574.500000,0.042015,0.000274
6.0,12376664,536142.500000,0.045891,0.000315
6.5,9679842,445080.500000,0.048725,0.000355
7.0,7470484,368859.000000,0.052336,0.000403
7.5,5655688,298457.000000,0.055925,0.000462
8.0,4425534,243453.500000,0.058326,0.000521
8.5,3231354,188803.500000,0.062011,0.000609
9.0,2684502,164949.000000,0.065186,0.000666
9.5,1828809,117977.500000,0.068592,0.000806
10.0,1509943,99419.000000,0.069848,0.000885
10.5,1174659,82041.000000,0.073983,0.001001
11.0,771941,56248.000000,0.077232,0.001231
11.5,600562,46647.000000,0.082685,0.001392
12.0,445503,35335.500000,0.084101,0.001614
12.5,306436,25148.500000,0.087337,0.001943
13.0,257074,22030.500000,0.091030,0.002114
13.5,148717,12945.000000,0.092318,0.002777
14.0,133717,11468.000000,0.091080,0.002916
14.5,79850,7769.000000,0.103561,0.003774
15.0,59981,5579.500000,0.098923,0.004333
15.5,43615,4224.000000,0.102323,0.005068
16.0,25771,2390.000000,0.098494,0.006611
16.5,22771,2019.500000,0.094797,0.006989
17.0,13479,1521.500000,0.119883,0.009049
17.5,9870,1137.000000,0.124163,0.010567
18.0,7001,884.500000,0.135159,0.012498
18.5,4094,422.500000,0.109761,0.016337
19.0,2801,281.000000,0.106077,0.019837
19.5,1606,201.500000,0.130940,0.025496
20.0,1171,189.500000,0.169992,0.030863
20.5,848,99.000000,0.128151,0.035470
21.0,406,24.500000,0.058279,0.051779
21.5,328,59.000000,0.196839,0.054911
22.0,151,36.500000,0.241441,0.081457
22.5,116,17.000000,0.158979,0.095329
23.0,86,10.500000,0.109749,0.120362
23.5,34,8.500000,0.243192,0.166512
24.0,16,10.500000,0.656250,0.215234
24.5,13,-0.500000,-0.089744,0.270924
25.0,9,2.500000,0.444444,0.404026
25.5,5,-1.000000,-0.100000,0.219089
26.0,2,1.000000,0.500000,1.060660
26.5,5,-0.500000,-0.100000,0.497996
27.0,1,0.000000,0.000000,0.000000
29.0,1,1.000000,1.000000,0.000000
