TrueCount,HandsPlayed,TotalPayout,EV,StdError
-8.5,3,0.000000,0.000000,0.816497
-8.0,13,2.500000,0.192308,0.333257
-7.5,24,-4.000000,-0.166667,0.240563
-7.0,50,4.000000,0.080000,0.148566
-6.5,169,-8.500000,-0.050296,0.090771
-6.0,417,-62.000000,-0.148681,0.056738
-5.5,1284,-93.000000,-0.072430,0.032000
-5.0,3099,-63.500000,-0.020490,0.020906
-4.5,7908,-431.000000,-0.054502,0.012968
-4.0,20772,-745.500000,-0.035890,0.007989
-3.5,51264,-1769.000000,-0.034508,0.005087
-3.0,102466,-2868.000000,-0.027990,0.003576
-2.5,276826,-7143.000000,-0.025803,0.002167
-2.0,642741,-12691.000000,-0.019745,0.001420
-1.5,1334577,-24041.000000,-0.018014,0.000986
-1.0,2562243,-41914.500000,-0.016359,0.000711
-0.5,4264167,-61514.000000,-0.014426,0.000551
0.0,57645592,-275999.000000,-0.004788,0.000149
0.5,8609428,-94749.500000,-0.011005,0.000387
1.0,10681230,-114859.500000,-0.010753,0.000347
1.5,11712532,-95379.000000,-0.008143,0.000331
2.0,12753005,-105259.000000,-0.008254,0.000317
2.5,12275893,-85894.000000,-0.006997,0.000323
3.0,12432167,-85559.000000,-0.006882,0.000321
3.5,12494055,-84252.000000,-0.006743,0.000320
4.0,12436314,-80564.000000,-0.006478,0.000321
4.5,10592316,-74793.500000,-0.007061,0.000348
5.0,9546232,-66216.000000,-0.006936,0.000366
5.5,11436048,-68424.500000,-0.005983,0.000334
6.0,10909178,-61466.500000,-0.005634,0.000342
6.5,10187063,-55285.000000,-0.005427,0.000354
7.0,9108354,-46269.500000,-0.005080,0.000374
7.5,9510062,-35426.500000,-0.003725,0.000366
8.0,8699541,-41543.500000,-0.004775,0.000383
8.5,7937088,-21699.000000,-0.002734,0.000400
9.0,8604977,-20723.000000,-0.002408,0.000384
9.5,7329924,-4061.500000,-0.000554,0.000416
10.0,6963534,-12385.000000,-0.001779,0.000427
10.5,6200095,5014.000000,0.000809,0.000452
11.0,5867480,740.500000,0.000126,0.000464
11.5,5323735,14022.000000,0.002634,0.000486
12.0,5363451,17368.000000,0.003238,0.000484
12.5,4290174,15011.500000,0.003499,0.000541
13.0,3375782,13967.000000,0.004137,0.000609
13.5,3344782,22257.000000,0.006654,0.000611
14.0,2969224,20366.500000,0.006859,0.000649
14.5,2289429,18798.000000,0.008211,0.000738
15.0,2227621,20350.000000,0.009135,0.000746
15.5,1569155,17255.500000,0.010997,0.000888
16.0,1284097,14919.500000,0.011619,0.000981
16.5,1389952,19833.000000,0.014269,0.000941
17.0,740068,11098.500000,0.014997,0.001288
17.5,651310,9911.500000,0.015218,0.001372
18.0,678582,10756.000000,0.015851,0.001344
18.5,359551,6540.000000,0.018189,0.001841
19.0,273934,6161.500000,0.022493,0.002110
19.5,284398,5894.000000,0.020724,0.002065
20.0,133479,3404.000000,0.025502,0.003012
20.5,110183,2532.000000,0.022980,0.003312
21.0,86635,1679.000000,0.019380,0.003729
21.5,58819,1035.500000,0.017605,0.004528
22.0,31311,1138.000000,0.036345,0.006222
22.5,21475,561.500000,0.026147,0.007480
23.0,17350,686.000000,0.039539,0.008296
23.5,10812,260.500000,0.024094,0.010544
24.0,4738,115.500000,0.024377,0.015900
24.5,4258,145.000000,0.034054,0.016542
25.0,1250,45.000000,0.036000,0.031111
25.5,1424,43.000000,0.030197,0.028389
26.0,394,-25.000000,-0.063452,0.055369
26.5,428,38.000000,0.088785,0.052719
27.0,114,-10.500000,-0.092105,0.100508
27.5,118,5.000000,0.042373,0.098388
28.0,26,3.500000,0.134615,0.202714
28.5,17,0.500000,0.029412,0.267859
29.0,6,3.500000,0.583333,0.247674
29.5,3,-2.000000,-0.666667,0.720082
