TrueCount,HandsPlayed,TotalPayout,EV,StdError
-59.5,1,1.000000,1.000000,0.000000
-59.0,1,-1.000000,-1.000000,0.000000
-58.5,1,-1.000000,-1.000000,0.000000
-58.0,2,-3.000000,-1.500000,0.353553
-57.5,3,0.500000,0.166667,0.892354
-56.5,3,1.000000,0.333333,0.544331
-56.0,4,-5.000000,-1.250000,0.414578
-55.5,3,2.000000,0.666667,0.720082
-55.0,1,-1.000000,-1.000000,0.000000
-54.5,7,-1.000000,-0.142857,0.374088
-54.0,10,-3.000000,-0.300000,0.246982
-53.5,17,2.000000,0.117647,0.286759
-53.0,14,-5.000000,-0.357143,0.296358
-52.5,24,-1.000000,-0.041667,0.216339
-52.0,26,3.000000,0.115385,0.262706
-51.5,21,0.000000,0.000000,0.269374
-51.0,34,3.500000,0.102941,0.238743
-50.5,44,-7.500000,-0.170455,0.170032
-50.0,58,-13.500000,-0.232759,0.157650
-49.5,71,-9.000000,-0.126761,0.133141
-49.0,83,-5.000000,-0.060241,0.129594
-48.5,138,-40.000000,-0.289855,0.092204
-48.0,142,-17.500000,-0.123239,0.096711
-47.5,184,-20.500000,-0.111413,0.092546
-47.0,224,-20.500000,-0.091518,0.081266
-46.5,252,-18.000000,-0.071429,0.074421
-46.0,313,18.500000,0.059105,0.065293
-45.5,413,-32.500000,-0.078692,0.057919
-45.0,492,-61.000000,-0.123984,0.052293
-44.5,602,-109.000000,-0.181063,0.048380
-44.0,755,-8.000000,-0.010596,0.042948
-43.5,998,-127.000000,-0.127255,0.038028
-43.0,1098,-207.500000,-0.188980,0.034758
-42.5,1390,-87.500000,-0.062950,0.031554
-42.0,1838,-195.000000,-0.106094,0.027479
-41.5,1940,-250.500000,-0.129124,0.026712
-41.0,2639,-372.500000,-0.141152,0.023126
-40.5,2900,-254.500000,-0.087759,0.021958
-40.0,3553,-313.000000,-0.088095,0.019846
-39.5,3925,-283.500000,-0.072229,0.018824
-39.0,5864,-426.000000,-0.072647,0.015461
-38.5,5839,-624.500000,-0.106953,0.015390
-38.0,7233,-652.500000,-0.090212,0.013882
-37.5,9389,-915.500000,-0.097508,0.012214
-37.0,10220,-916.000000,-0.089628,0.011687
-36.5,11716,-920.500000,-0.078568,0.010808
-36.0,15153,-1190.500000,-0.078565,0.009565
-35.5,17155,-1296.500000,-0.075576,0.009012
-35.0,20435,-1550.500000,-0.075875,0.008205
-34.5,22577,-1641.000000,-0.072685,0.007828
-34.0,29659,-2199.000000,-0.074143,0.006821
-33.5,33578,-2315.000000,-0.068944,0.006403
-33.0,38389,-2436.500000,-0.063469,0.005990
-32.5,44726,-3066.500000,-0.068562,0.005553
-32.0,54282,-4250.500000,-0.078304,0.005004
-31.5,61379,-4417.000000,-0.071963,0.004719
-31.0,69416,-4246.000000,-0.061167,0.004448
-30.5,88256,-6089.000000,-0.068992,0.003936
-30.0,97403,-5841.500000,-0.059972,0.003733
